"","P1_2020Oct","P3_2023Jan"
"AHR",44,156
"AR",16,128
"ARID3A",41,29
"ARNT",75,124
"ARNTL",2,60
"ASCL2",104,45
"ATF1",152,155
"ATF2",165,173
"ATF3",79,44
"BACH1",122,153
"BACH2",4,21
"BARX2",124,59
"BATF",155,131
"BCL11A",30,38
"BCL6",151,94
"BHLHE40",144,33
"CEBPA",77,31
"CEBPD",54,100
"CLOCK",83,163
"CTCF",118,39
"E2F2",153,36
"E2F3",140,74
"E2F4",81,159
"E2F6",93,111
"E2F7",42,77
"E2F8",143,178
"EBF1",76,26
"EGR1",18,147
"EGR2",117,71
"EHF",162,181
"ELF1",90,64
"ELK1",172,119
"ELK3",100,43
"ELK4",66,93
"EPAS1",7,9
"ESR1",12,47
"ESR2",28,116
"ESRRA",13,68
"ETS2",176,176
"ETV1",105,150
"ETV5",32,109
"ETV6",182,180
"ETV7",63,79
"FOS",149,72
"FOSL1",19,55
"FOSL2",158,34
"FOXD2",43,97
"FOXH1",99,46
"FOXK1",110,174
"FOXM1",175,134
"FOXO3",133,1
"FOXP1",161,122
"FOXP2",24,15
"FOXP3",173,95
"GATA1",73,58
"GATA2",71,89
"GATA3",31,73
"GATA4",106,67
"GLI2",3,4
"GLIS1",6,5
"GMEB1",146,161
"GMEB2",40,27
"GRHL2",9,63
"GTF2B",181,183
"GTF2I",50,140
"HEY1",55,35
"HIF1A",8,3
"HINFP",112,61
"HNF1B",166,144
"HNF4A",138,8
"HNF4G",116,76
"HOXA1",78,139
"HOXA4",180,164
"HOXB13",168,84
"HOXC6",174,86
"HSF1",120,98
"HSF2",38,167
"IRF2",170,62
"IRF3",147,10
"IRF4",82,123
"JUN",53,108
"JUNB",107,117
"JUND",183,182
"KLF1",91,69
"KLF10",157,137
"KLF3",179,172
"KLF4",130,118
"KLF9",102,115
"KMT2A",96,14
"LHX2",74,7
"MAF",64,168
"MAFF",23,82
"MAFK",22,85
"MECOM",167,177
"MEF2A",114,92
"MEF2C",177,136
"MEIS1",1,81
"MITF",20,2
"MNT",89,24
"MXI1",68,151
"MYB",59,12
"MYBL2",108,48
"MYC",70,149
"NANOG",21,75
"NFAT5",39,78
"NFATC1",14,13
"NFE2",25,83
"NFIC",139,19
"NFYA",33,120
"NFYB",49,142
"NKX2-1",45,28
"NR2C2",51,107
"NR2F2",127,101
"NRF1",88,135
"PAX5",160,88
"PAX6",145,138
"PBX1",15,18
"PBX3",69,65
"PGR",67,171
"POU2F1",11,133
"POU2F2",10,52
"PPARG",142,170
"PRDM1",137,51
"RARA",121,66
"RARG",132,114
"RBPJ",85,145
"RELA",178,127
"REST",98,25
"RFX2",92,169
"RFX5",156,166
"RUNX1",48,96
"RUNX2",80,99
"RUNX3",148,130
"RXRA",87,110
"RXRG",159,179
"SETDB1",163,16
"SIX5",94,158
"SMAD3",113,54
"SOX17",37,11
"SP1",169,121
"SP4",109,125
"SPDEF",46,6
"SPI1",115,91
"SPIB",154,87
"SREBF1",36,32
"SRF",150,23
"STAT1",171,146
"STAT2",134,42
"STAT3",103,165
"STAT4",35,40
"STAT5A",123,80
"STAT5B",136,148
"TBP",135,30
"TBX21",84,90
"TCF12",62,152
"TCF21",5,57
"TCF3",141,113
"TCF4",86,56
"TCF7L2",58,175
"TEAD4",27,103
"TFAP2A",17,22
"TFAP2C",34,112
"TFAP4",111,49
"TFDP1",125,126
"THAP1",128,106
"TP63",129,157
"TP73",47,20
"USF1",29,102
"USF2",60,70
"VDR",164,50
"VEZF1",56,37
"XBP1",131,53
"YY1",95,141
"ZBTB33",126,129
"ZBTB7A",61,143
"ZBTB7B",65,160
"ZEB1",101,154
"ZFX",26,162
"ZKSCAN1",97,17
"ZNF143",57,104
"ZNF263",119,105
"ZNF384",72,132
"ZNF76",52,41
