"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",80,63,48
"AR",21,28,60
"ARID3A",58,84,66
"ARNT",77,40,128
"ARNTL",51,32,9
"ASCL2",49,150,25
"ATF1",107,144,99
"ATF2",179,172,183
"ATF3",14,104,83
"BACH1",18,58,3
"BACH2",24,108,1
"BARX2",102,53,147
"BATF",70,79,87
"BCL11A",42,8,14
"BCL6",16,50,111
"BHLHE40",41,100,153
"CEBPA",72,30,91
"CEBPD",106,15,101
"CLOCK",79,89,106
"CTCF",122,127,110
"E2F2",109,44,13
"E2F3",29,178,165
"E2F4",52,174,17
"E2F6",84,141,126
"E2F7",114,161,98
"E2F8",145,160,155
"EBF1",101,24,115
"EGR1",137,69,148
"EGR2",120,137,90
"EHF",168,180,46
"ELF1",17,45,36
"ELK1",96,107,57
"ELK3",82,132,21
"ELK4",123,118,169
"EPAS1",37,163,11
"ESR1",69,4,51
"ESR2",25,153,67
"ESRRA",1,11,2
"ETS2",35,166,134
"ETV1",65,130,121
"ETV5",33,61,75
"ETV6",180,176,178
"ETV7",73,78,100
"FOS",83,94,158
"FOSL1",155,119,20
"FOSL2",141,62,41
"FOXD2",88,156,4
"FOXH1",86,80,113
"FOXK1",95,91,132
"FOXM1",34,75,85
"FOXO3",63,12,8
"FOXP1",128,112,117
"FOXP2",112,52,124
"FOXP3",135,129,123
"GATA1",43,33,109
"GATA2",53,115,154
"GATA3",3,149,72
"GATA4",20,102,55
"GLI2",160,72,89
"GLIS1",11,74,63
"GMEB1",127,169,131
"GMEB2",19,60,54
"GRHL2",55,81,82
"GTF2B",183,182,181
"GTF2I",10,96,125
"HEY1",22,95,47
"HIF1A",45,148,34
"HINFP",148,170,114
"HNF1B",170,147,172
"HNF4A",169,111,64
"HNF4G",159,14,166
"HOXA1",115,93,74
"HOXA4",172,181,151
"HOXB13",118,173,107
"HOXC6",67,155,175
"HSF1",66,165,24
"HSF2",64,48,162
"IRF2",126,135,26
"IRF3",92,86,171
"IRF4",156,5,58
"JUN",153,146,133
"JUNB",143,37,118
"JUND",182,183,182
"KLF1",6,21,40
"KLF10",177,167,159
"KLF3",164,175,170
"KLF4",173,106,140
"KLF9",40,168,73
"KMT2A",4,16,52
"LHX2",93,103,167
"MAF",60,3,95
"MAFF",38,142,78
"MAFK",39,138,161
"MECOM",181,151,135
"MEF2A",134,2,105
"MEF2C",144,36,136
"MEIS1",9,68,145
"MITF",15,51,103
"MNT",100,159,116
"MXI1",47,139,152
"MYB",68,56,30
"MYBL2",8,39,6
"MYC",110,82,119
"NANOG",116,154,139
"NFAT5",146,34,50
"NFATC1",119,9,127
"NFE2",44,20,22
"NFIC",152,46,108
"NFYA",130,59,80
"NFYB",54,54,77
"NKX2-1",133,7,15
"NR2C2",140,122,43
"NR2F2",132,27,31
"NRF1",5,101,19
"PAX5",136,47,23
"PAX6",174,66,45
"PBX1",62,29,69
"PBX3",151,131,49
"PGR",165,18,142
"POU2F1",28,67,29
"POU2F2",78,43,42
"PPARG",162,41,174
"PRDM1",85,162,37
"RARA",175,152,180
"RARG",76,98,35
"RBPJ",61,73,44
"RELA",161,49,143
"REST",98,76,122
"RFX2",129,65,38
"RFX5",97,35,176
"RUNX1",150,99,61
"RUNX2",125,55,12
"RUNX3",104,25,130
"RXRA",138,120,94
"RXRG",158,164,137
"SETDB1",87,134,76
"SIX5",108,64,39
"SMAD3",171,77,157
"SOX17",117,70,164
"SP1",176,157,160
"SP4",157,179,179
"SPDEF",154,38,84
"SPI1",166,109,86
"SPIB",57,26,5
"SREBF1",30,6,59
"SRF",121,83,28
"STAT1",167,128,146
"STAT2",59,171,112
"STAT3",142,10,163
"STAT4",46,87,32
"STAT5A",163,22,97
"STAT5B",139,1,65
"TBP",48,136,149
"TBX21",36,124,56
"TCF12",124,116,71
"TCF21",12,19,168
"TCF3",113,126,79
"TCF4",91,114,156
"TCF7L2",149,145,173
"TEAD4",111,113,150
"TFAP2A",103,123,27
"TFAP2C",131,105,10
"TFAP4",89,133,92
"TFDP1",31,71,62
"THAP1",99,85,18
"TP63",27,92,7
"TP73",2,121,16
"USF1",94,158,70
"USF2",7,177,104
"VDR",74,13,53
"VEZF1",71,97,177
"XBP1",147,140,129
"YY1",75,57,68
"ZBTB33",81,17,96
"ZBTB7A",90,88,88
"ZBTB7B",50,117,120
"ZEB1",105,143,93
"ZFX",32,23,102
"ZKSCAN1",13,42,81
"ZNF143",178,125,141
"ZNF263",56,110,33
"ZNF384",23,90,138
"ZNF76",26,31,144
