"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",115,135,106,147
"AR",32,6,5,39
"ARID3A",44,10,28,32
"ARNT",66,111,93,131
"ARNTL",99,101,32,35
"ASCL1",86,136,119,124
"ASCL2",69,91,99,60
"ATF1",137,172,184,157
"ATF2",173,190,173,191
"ATF3",174,25,185,45
"BACH1",163,176,139,163
"BACH2",12,45,50,24
"BARX2",55,129,101,89
"BATF",116,120,131,166
"BCL11A",74,39,124,5
"BCL6",75,65,22,83
"BHLHE40",14,158,81,44
"CEBPA",141,114,63,26
"CEBPB",1,106,145,95
"CEBPD",8,117,72,94
"CLOCK",26,3,150,42
"CTCF",190,83,129,169
"CTCFL",65,15,25,58
"DUX4",45,80,37,30
"E2F1",2,7,27,36
"E2F2",36,4,31,18
"E2F3",177,168,154,161
"E2F4",43,23,68,112
"E2F6",186,75,88,162
"E2F7",3,12,1,20
"E2F8",134,170,38,186
"EBF1",54,49,66,177
"EGR1",31,182,125,129
"EGR2",51,108,82,57
"EHF",158,184,194,182
"ELF1",40,53,116,4
"ELK1",46,86,39,111
"ELK3",91,68,128,86
"ELK4",60,167,96,146
"EPAS1",82,60,170,67
"ESR1",15,37,159,54
"ESR2",17,156,87,29
"ESRRA",35,16,17,33
"ETS2",176,113,151,135
"ETV1",124,97,6,122
"ETV5",78,28,48,31
"ETV6",191,193,190,193
"ETV7",142,133,149,175
"FOS",50,63,134,152
"FOSL1",138,93,44,16
"FOSL2",52,35,4,3
"FOXA1",193,187,57,185
"FOXA2",53,1,8,1
"FOXD2",94,66,30,121
"FOXG1",144,38,34,25
"FOXH1",109,103,11,132
"FOXK1",112,142,143,133
"FOXM1",93,146,165,136
"FOXO3",143,48,64,134
"FOXP1",121,151,71,139
"FOXP2",80,46,60,21
"FOXP3",157,124,41,179
"GATA1",41,69,20,79
"GATA2",49,90,183,96
"GATA3",147,43,95,117
"GATA4",122,73,51,77
"GLI2",96,55,13,11
"GLIS1",9,87,56,109
"GMEB1",128,119,73,84
"GMEB2",42,143,178,52
"GRHL2",18,21,70,27
"GTF2B",194,194,189,180
"GTF2I",34,89,126,130
"HEY1",88,27,47,78
"HIF1A",125,122,97,145
"HINFP",95,145,67,85
"HNF1B",179,127,141,106
"HNF4A",38,24,120,15
"HNF4G",100,50,61,113
"HOXA1",156,179,118,165
"HOXA4",169,186,169,168
"HOXA6",120,173,123,97
"HOXB13",28,107,146,107
"HOXC6",165,141,174,160
"HSF1",83,54,54,71
"HSF2",185,175,182,183
"IRF1",139,126,187,188
"IRF2",81,132,135,126
"IRF3",181,160,162,110
"IRF4",27,33,23,37
"JUN",76,115,65,62
