"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",95,151,18,83
"AR",17,6,121,69
"ARID3A",52,95,46,164
"ARNT",159,75,48,152
"ARNTL",92,63,94,62
"ASCL1",31,190,10,173
"ASCL2",111,79,63,123
"ATF1",130,145,159,109
"ATF2",161,175,164,185
"ATF3",2,31,70,71
"BACH1",153,180,184,118
"BACH2",87,58,128,80
"BARX2",49,150,111,155
"BATF",190,112,82,169
"BCL11A",102,30,41,14
"BCL6",121,136,81,117
"BHLHE40",90,81,174,150
"CEBPA",178,32,108,26
"CEBPB",6,167,170,179
"CEBPD",118,87,127,70
"CLOCK",14,2,53,2
"CTCF",96,143,177,96
"CTCFL",82,4,7,49
"DUX4",104,61,130,58
"E2F1",128,28,64,1
"E2F2",7,5,27,41
"E2F3",168,189,158,105
"E2F4",36,15,187,27
"E2F6",132,135,52,101
"E2F7",143,33,44,63
"E2F8",171,177,191,145
"EBF1",158,120,112,136
"EGR1",48,127,51,17
"EGR2",83,98,90,115
"EHF",181,188,188,187
"ELF1",18,131,45,4
"ELK1",157,105,167,37
"ELK3",77,101,162,59
"ELK4",113,70,21,182
"EPAS1",65,64,75,21
"ESR1",62,49,56,6
"ESR2",133,94,140,64
"ESRRA",76,43,37,28
"ETS2",38,119,189,168
"ETV1",167,78,144,67
"ETV5",147,55,59,61
"ETV6",192,193,192,194
"ETV7",172,142,172,141
"FOS",34,133,93,68
"FOSL1",88,46,110,87
"FOSL2",85,34,19,10
"FOXA1",186,169,80,166
"FOXA2",4,10,98,120
"FOXD2",50,42,100,51
"FOXG1",74,109,13,81
"FOXH1",135,137,43,143
"FOXK1",93,115,132,113
"FOXM1",166,152,145,131
"FOXO3",75,62,8,65
"FOXP1",45,69,85,15
"FOXP2",5,104,62,86
"FOXP3",114,38,105,154
"GATA1",155,50,68,72
"GATA2",107,166,180,172
"GATA3",19,25,97,102
"GATA4",70,66,20,57
"GLI2",134,9,15,79
"GLIS1",64,67,16,108
"GMEB1",79,111,137,91
"GMEB2",61,102,84,174
"GRHL2",144,100,5,52
"GTF2B",188,192,193,192
"GTF2I",73,124,55,128
"HEY1",26,52,23,25
"HIF1A",109,99,61,110
"HINFP",67,130,122,103
"HNF1B",98,122,113,30
"HNF4A",140,116,17,39
"HNF4G",16,45,161,176
"HOXA1",59,147,78,142
"HOXA4",154,191,175,190
"HOXA6",163,173,186,137
"HOXB13",137,54,152,84
"HOXC6",150,153,86,90
"HSF1",106,13,49,46
"HSF2",179,156,156,157
"IRF1",187,176,69,50
"IRF2",115,159,109,163
