"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",105,23,138,54
"AR",11,99,6,144
"ARID3A",47,185,47,23
"ARNT",29,166,103,10
"ARNTL",90,165,44,51
"ASCL1",163,150,178,46
"ASCL2",85,141,83,116
"ATF1",175,183,145,72
"ATF2",158,162,184,136
"ATF3",2,49,22,13
"BACH1",131,74,180,52
"BACH2",12,151,36,112
"BARX2",88,88,128,74
"BATF",139,191,176,50
"BCL11A",25,167,29,142
"BCL6",71,133,79,156
"BHLHE40",41,187,157,194
"CEBPA",9,108,52,2
"CEBPB",181,42,168,92
"CEBPD",48,163,110,181
"CLOCK",4,139,4,15
"CTCF",103,72,71,174
"CTCFL",97,161,15,67
"DUX4",46,45,55,141
"E2F1",1,32,19,1
"E2F2",6,91,2,86
"E2F3",31,58,153,184
"E2F4",27,62,28,60
"E2F6",162,28,81,180
"E2F7",36,112,25,122
"E2F8",173,190,186,126
"EBF1",174,173,86,132
"EGR1",109,64,134,177
"EGR2",65,70,98,82
"EHF",185,169,187,169
"ELF1",133,35,82,7
"ELK1",51,21,57,117
"ELK3",30,104,72,175
"ELK4",154,124,87,104
"EPAS1",32,33,63,35
"ESR1",33,8,26,8
"ESR2",104,20,70,56
"ESRRA",78,1,21,164
"ETS2",180,192,158,88
"ETV1",160,189,135,129
"ETV5",130,86,54,96
"ETV6",193,193,193,192
"ETV7",120,154,109,78
"FOS",14,73,92,48
"FOSL1",84,24,111,115
"FOSL2",52,120,23,148
"FOXA1",184,57,147,183
"FOXA2",24,11,43,71
"FOXD2",38,109,45,79
"FOXG1",114,22,66,153
"FOXH1",159,40,164,179
"FOXK1",80,172,133,152
"FOXM1",129,92,124,165
"FOXO3",108,29,14,127
"FOXP1",81,178,73,155
"FOXP2",73,145,40,58
"FOXP3",155,105,161,120
"GATA1",45,2,74,191
"GATA2",126,85,62,57
"GATA3",55,15,50,89
"GATA4",68,65,30,137
"GLI2",110,93,17,59
"GLIS1",66,46,95,37
"GMEB1",96,71,68,32
"GMEB2",116,135,107,6
"GRHL2",18,67,49,34
"GTF2B",192,84,192,193
"GTF2I",102,146,67,109
"HEY1",40,48,10,81
"HIF1A",128,9,171,94
"HINFP",82,68,80,17
"HNF1B",94,77,159,172
"HNF4A",37,16,9,178
"HNF4G",132,60,123,102
"HOXA1",151,53,146,45
"HOXA4",186,63,188,106
"HOXA6",152,132,139,160
"HOXB13",76,142,118,26
"HOXC6",98,177,155,185
"HSF1",49,43,41,39
"HSF2",178,160,174,158
"IRF1",148,76,179,188
"IRF2",121,97,140,22
"IRF3",182,83,129,28
"IRF4",23,143,31,147
"JUN",111,137,154,113
"JUNB",56,27,99,5
"JUND",194,194,194,150
"KLF1",119,122,85,125
"KLF10",100,14,20,20
"KLF3",190,134,190,163
"KLF4",75,149,166,21
"KLF9",189,66,115,103
"KMT2A",83,98,32,157
"LHX2",137,34,170,42
"MAF",43,82,53,40
"MAFF",10,25,1,24
"MAFK",176,131,167,189
"MECOM",167,118,132,12
"MEF2A",64,164,37,123
"MEF2C",161,79,160,131
"MEIS1",50,51,65,154
"MITF",16,18,46,36
"MNT",63,26,11,101
"MXI1",20,179,16,173
"MYB",117,174,58,3
"MYBL2",42,126,35,11
"MYC",113,36,150,93
"MYOD1",19,121,5,16
"NANOG",122,159,101,63
"NFAT5",21,128,69,49
"NFATC1",145,175,77,4
"NFE2",7,10,51,134
"NFIC",101,100,113,68
