"","P1_2020Oct","P2_2021Mar"
"AHR",126,26
"AR",67,2
"ARID3A",174,149
"ARNT",4,107
"ARNTL",49,45
"ASCL2",63,19
"ATF1",74,110
"ATF2",94,139
"ATF3",182,146
"BACH1",98,25
"BACH2",85,3
"BARX2",69,112
"BATF",112,59
"BCL11A",128,15
"BCL6",129,98
"BHLHE40",165,88
"CEBPA",110,33
"CEBPD",135,34
"CLOCK",93,1
"CTCF",171,102
"E2F2",172,165
"E2F3",24,30
"E2F4",12,93
"E2F6",99,160
"E2F7",151,101
"E2F8",58,122
"EBF1",102,6
"EGR1",154,168
"EGR2",170,176
"EHF",81,117
"ELF1",159,21
"ELK1",90,43
"ELK3",78,96
"ELK4",169,111
"EPAS1",150,113
"ESR1",65,164
"ESR2",43,85
"ESRRA",107,5
"ETS2",134,151
"ETV1",179,178
"ETV5",36,134
"ETV6",138,119
"ETV7",163,28
"FOS",167,147
"FOSL1",118,78
"FOSL2",88,97
"FOXD2",25,46
"FOXH1",162,16
"FOXK1",152,152
"FOXM1",62,171
"FOXO3",91,104
"FOXP1",180,53
"FOXP2",28,158
"FOXP3",160,173
"GATA1",7,20
"GATA2",55,174
"GATA3",143,80
"GATA4",51,123
"GLI2",157,73
"GLIS1",73,38
"GMEB1",42,55
"GMEB2",29,13
"GRHL2",17,77
"GTF2B",56,182
"GTF2I",3,7
"HEY1",6,99
"HIF1A",92,106
"HINFP",100,125
"HNF1B",66,121
"HNF4A",106,143
"HNF4G",114,115
"HOXA1",50,120
"HOXA4",115,90
"HOXB13",19,84
"HOXC6",16,68
"HSF1",82,91
"HSF2",109,162
"IRF2",60,60
"IRF3",175,89
"IRF4",20,136
"JUN",101,135
"JUNB",34,144
"JUND",164,183
"KLF1",13,37
"KLF10",54,153
"KLF3",5,109
"KLF4",137,163
"KLF9",181,32
"KMT2A",87,116
"LHX2",142,133
"MAF",120,172
"MAFF",48,70
"MAFK",26,128
"MECOM",177,156
"MEF2A",70,35
"MEF2C",18,22
"MEIS1",83,95
"MITF",96,118
"MNT",122,148
"MXI1",80,105
"MYB",46,179
"MYBL2",45,66
"MYC",124,65
"NANOG",97,86
"NFAT5",130,141
"NFATC1",47,76
"NFE2",15,124
"NFIC",31,44
"NFYA",35,48
"NFYB",21,92
"NKX2-1",147,42
"NR2C2",173,82
"NR2F2",23,114
"NRF1",148,47
"PAX5",64,94
"PAX6",8,83
"PBX1",149,61
"PBX3",166,108
"PGR",111,24
"POU2F1",105,129
"POU2F2",144,150
"PPARG",22,79
"PRDM1",61,167
"RARA",125,177
"RARG",132,52
"RBPJ",123,81
"RELA",9,159
"REST",75,127
"RFX2",33,29
"RFX5",79,11
"RUNX1",108,23
"RUNX2",121,67
"RUNX3",14,138
"RXRA",32,10
"RXRG",131,180
"SETDB1",95,131
"SIX5",10,142
"SMAD3",145,140
"SOX17",139,4
"SP1",39,69
"SP4",117,74
"SPDEF",53,12
"SPI1",52,130
"SPIB",158,40
"SREBF1",72,57
"SRF",155,126
"STAT1",38,87
"STAT2",89,157
"STAT3",113,63
"STAT4",68,31
"STAT5A",76,18
"STAT5B",119,27
"TBP",146,170
"TBX21",41,36
"TCF12",2,72
"TCF21",127,8
"TCF3",183,154
"TCF4",176,132
"TCF7L2",59,50
"TEAD4",133,64
"TFAP2A",57,166
"TFAP2C",136,181
"TFAP4",153,17
"TFDP1",104,14
"THAP1",27,9
"TP63",178,155
"TP73",11,137
"USF1",116,161
"USF2",161,75
"VDR",86,58
"VEZF1",141,71
"XBP1",140,175
"YY1",103,169
"ZBTB33",156,103
"ZBTB7A",71,62
"ZBTB7B",168,51
"ZEB1",37,41
"ZFX",44,56
"ZKSCAN1",40,49
"ZNF143",84,100
"ZNF263",1,54
"ZNF384",30,39
"ZNF76",77,145
