"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",62,79,175
"AR",7,13,14
"ARID3A",15,32,86
"ARNT",42,75,79
"ARNTL",69,46,70
"ASCL1",150,184,185
"ASCL2",61,93,146
"ATF1",170,161,81
"ATF2",140,178,183
"ATF3",25,20,13
"BACH1",173,147,124
"BACH2",11,33,29
"BARX2",85,122,92
"BATF",94,111,147
"BCL11A",113,2,112
"BCL6",65,51,151
"BHLHE40",38,90,19
"CEBPA",120,99,59
"CEBPB",137,136,35
"CEBPD",100,60,159
"CLOCK",55,5,21
"CTCF",174,138,157
"CTCFL",67,71,43
"DUX4",74,56,36
"E2F1",8,76,166
"E2F2",1,15,3
"E2F3",128,171,128
"E2F4",53,69,25
"E2F6",29,63,158
"E2F7",21,30,23
"E2F8",146,185,143
"EBF1",89,129,98
"EGR1",40,135,173
"EGR2",106,101,63
"EHF",192,177,184
"ELF1",6,22,24
"ELK1",47,131,115
"ELK3",177,31,83
"ELK4",117,48,171
"EPAS1",92,94,108
"ESR1",87,10,53
"ESR2",50,103,78
"ESRRA",83,14,57
"ETS2",143,172,167
"ETV1",23,153,126
"ETV5",154,55,88
"ETV6",187,193,193
"ETV7",68,145,93
"FOS",43,155,172
"FOSL1",18,170,105
"FOSL2",80,6,8
"FOXA1",189,176,189
"FOXA2",4,1,2
"FOXD2",34,35,127
"FOXG1",130,34,87
"FOXH1",132,139,133
"FOXK1",82,104,99
"FOXM1",167,112,69
"FOXO3",20,41,31
"FOXP1",129,119,125
"FOXP2",66,57,138
"FOXP3",139,120,56
"GATA1",58,98,140
"GATA2",123,140,54
"GATA3",54,96,16
"GATA4",96,29,71
"GLI2",111,26,65
"GLIS1",14,17,55
"GMEB1",91,44,152
"GMEB2",147,106,74
"GRHL2",45,50,46
"GTF2B",182,192,192
"GTF2I",148,81,122
"HEY1",75,65,22
"HIF1A",176,126,121
"HINFP",51,107,58
"HNF1B",184,83,72
"HNF4A",118,66,84
"HNF4G",86,87,42
"HOXA1",152,158,106
"HOXA4",175,189,190
"HOXA6",169,180,165
"HOXB13",98,73,85
"HOXC6",126,173,155
"HSF1",33,72,52
"HSF2",161,154,141
"IRF1",144,169,9
"IRF2",124,148,150
"IRF3",180,179,123
"IRF4",3,68,97
"JUN",178,146,76
"JUNB",133,67,39
"JUND",194,194,194
"KLF1",164,127,6
"KLF10",48,61,33
"KLF3",160,188,187
"KLF4",190,190,181
"KLF9",16,121,27
"KMT2A",138,58,144
"LHX2",142,100,162
"MAF",149,156,182
"MAFF",36,19,60
"MAFK",104,89,96
"MECOM",107,167,134
"MEF2A",35,39,37
"MEF2C",166,186,136
"MEIS1",32,28,113
"MITF",112,78,90
"MNT",76,116,62
"MXI1",185,97,80
"MYB",156,125,51
"MYBL2",135,42,82
"MYC",64,117,68
"MYOD1",30,3,11
"NANOG",73,95,104
"NFAT5",60,54,77
"NFATC1",141,113,95
"NFE2",26,132,50
"NFIC",78,77,114
"NFYA",59,88,145
"NFYB",39,85,132
"NKX2-1",49,11,41
"NR2C2",24,80,139
"NR2F2",165,149,186
"NRF1",110,23,168
"ONECUT1",114,40,17
"OTX2",57,133,148
"PAX5",9,25,118
"PBX1",72,7,20
"PBX3",46,82,111
"PGR",90,174,174
"POU2F1",168,74,153
"POU2F2",13,37,30
"PPARG",125,91,101
"PRDM1",105,130,131
"PRDM14",22,128,94
"RARG",81,105,89
"RBPJ",179,165,120
"RELA",71,152,178
"REST",151,134,164
"RFX2",52,27,4
"RFX5",56,150,135
"RUNX1",17,12,47
"RUNX2",10,53,34
"RUNX3",121,175,28
"RXRA",31,102,109
"RXRG",99,157,102
"SETDB1",101,141,67
"SIX5",163,187,176
"SMAD3",103,108,149
"SOX17",77,36,100
"SP1",116,92,40
"SP4",157,160,169
"SPI1",37,43,18
"SPIB",136,62,75
"SREBF1",88,49,177
"SRF",108,142,38
"STAT1",145,64,170
"STAT2",122,114,110
"STAT3",127,163,103
"STAT4",5,16,10
"STAT5A",186,151,119
"STAT5B",162,109,91
"TBP",19,59,15
"TCF12",188,162,154
"TCF21",63,70,26
"TCF3",193,191,191
"TCF4",119,166,12
"TCF7L2",95,45,142
"TEAD4",102,137,44
"TFAP2A",28,4,1
"TFAP2C",79,47,64
"TFAP4",115,124,61
"TFDP1",27,24,49
"THAP1",70,115,66
"TP63",109,86,117
"TP73",183,123,129
"USF1",97,52,116
"USF2",172,118,73
"VDR",131,144,48
"VEZF1",2,9,5
"XBP1",158,182,180
"YY1",181,181,156
"ZBTB33",134,110,179
"ZBTB7A",84,143,163
"ZBTB7B",171,84,130
"ZEB1",191,159,161
"ZFP42",155,164,137
"ZFX",93,183,160
"ZKSCAN1",41,38,45
"ZNF143",44,18,32
"ZNF263",153,21,188
"ZNF384",159,168,107
"ZNF76",12,8,7
