"","P1_2020Oct","P3_2023Jan"
"AHR",129,155
"AR",117,9
"ARID3A",11,134
"ARNT",37,8
"ARNTL",14,20
"ASCL2",30,12
"ATF1",94,75
"ATF2",176,182
"ATF3",135,2
"BACH1",149,103
"BACH2",26,17
"BARX2",116,146
"BATF",56,154
"BCL11A",10,56
"BCL6",97,138
"BHLHE40",47,19
"CEBPA",79,42
"CEBPD",6,139
"CLOCK",15,14
"CTCF",160,147
"E2F2",159,6
"E2F3",151,104
"E2F4",112,132
"E2F6",175,95
"E2F7",23,29
"E2F8",150,161
"EBF1",27,158
"EGR1",170,179
"EGR2",164,156
"EHF",168,174
"ELF1",5,66
"ELK1",133,71
"ELK3",4,3
"ELK4",48,141
"EPAS1",73,129
"ESR1",70,47
"ESR2",127,67
"ESRRA",147,21
"ETS2",144,117
"ETV1",77,108
"ETV5",92,176
"ETV6",179,165
"ETV7",146,123
"FOS",132,173
"FOSL1",162,60
"FOSL2",76,85
"FOXD2",141,16
"FOXH1",98,78
"FOXK1",171,180
"FOXM1",42,80
"FOXO3",36,111
"FOXP1",163,84
"FOXP2",108,112
"FOXP3",41,127
"GATA1",34,53
"GATA2",101,24
"GATA3",148,100
"GATA4",121,43
"GLI2",64,36
"GLIS1",75,32
"GMEB1",91,31
"GMEB2",111,26
"GRHL2",25,157
"GTF2B",139,183
"GTF2I",136,79
"HEY1",38,11
"HIF1A",130,65
"HINFP",158,23
"HNF1B",60,63
"HNF4A",161,35
"HNF4G",99,140
"HOXA1",123,76
"HOXA4",156,150
"HOXB13",57,45
"HOXC6",44,99
"HSF1",58,128
"HSF2",114,110
"IRF2",45,52
"IRF3",177,160
"IRF4",87,82
"JUN",2,40
"JUNB",122,7
"JUND",166,178
"KLF1",13,68
"KLF10",8,164
"KLF3",157,175
"KLF4",183,121
"KLF9",137,118
"KMT2A",106,77
"LHX2",120,113
"MAF",102,92
"MAFF",51,109
"MAFK",126,22
"MECOM",20,162
"MEF2A",113,88
"MEF2C",53,50
"MEIS1",95,90
"MITF",172,64
"MNT",118,101
"MXI1",74,120
"MYB",54,27
"MYBL2",62,69
"MYC",181,41
"NANOG",152,44
"NFAT5",93,105
"NFATC1",89,151
"NFE2",71,61
"NFIC",39,181
"NFYA",69,18
"NFYB",50,170
"NKX2-1",90,1
"NR2C2",78,38
"NR2F2",178,148
"NRF1",12,37
"PAX5",28,152
"PAX6",119,159
"PBX1",155,57
"PBX3",3,34
"PGR",72,119
"POU2F1",180,58
"POU2F2",153,133
"PPARG",61,153
"PRDM1",55,62
"RARA",165,169
"RARG",85,91
"RBPJ",131,145
"RELA",81,136
"REST",140,172
"RFX2",173,87
"RFX5",43,55
"RUNX1",68,39
"RUNX2",17,130
"RUNX3",83,96
"RXRA",35,124
"RXRG",169,177
"SETDB1",67,4
"SIX5",134,93
"SMAD3",110,81
"SOX17",82,97
"SP1",103,166
"SP4",125,54
"SPDEF",18,10
"SPI1",182,168
"SPIB",24,107
"SREBF1",40,49
"SRF",52,142
"STAT1",96,122
"STAT2",128,116
"STAT3",63,86
"STAT4",104,149
"STAT5A",174,171
"STAT5B",145,89
"TBP",167,163
"TBX21",29,106
"TCF12",16,144
"TCF21",66,25
"TCF3",86,137
"TCF4",138,73
"TCF7L2",107,70
"TEAD4",80,33
"TFAP2A",105,74
"TFAP2C",59,98
"TFAP4",32,15
"TFDP1",1,5
"THAP1",22,102
"TP63",65,94
"TP73",88,126
"USF1",84,167
"USF2",143,135
"VDR",142,114
"VEZF1",109,83
"XBP1",154,48
"YY1",33,125
"ZBTB33",100,115
"ZBTB7A",19,143
"ZBTB7B",9,30
"ZEB1",115,46
"ZFX",31,131
"ZKSCAN1",21,28
"ZNF143",49,13
"ZNF263",46,72
"ZNF384",7,51
"ZNF76",124,59
