"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",31,3,181
"AR",48,121,180
"ARID3A",159,8,127
"ARNT",41,76,40
"ARNTL",160,68,177
"ASCL2",32,51,58
"ATF1",51,2,171
"ATF2",170,59,156
"ATF3",40,40,126
"BACH1",107,60,100
"BACH2",43,34,168
"BARX2",95,63,55
"BATF",110,13,135
"BCL11A",50,81,167
"BCL6",74,52,34
"BHLHE40",169,79,144
"CEBPA",82,47,165
"CEBPD",34,15,155
"CLOCK",35,102,86
"CTCF",36,116,133
"E2F2",11,25,15
"E2F3",79,73,79
"E2F4",54,30,93
"E2F6",136,94,94
"E2F7",55,43,65
"E2F8",106,181,136
"EBF1",47,84,121
"EGR1",114,163,114
"EGR2",126,110,173
"EHF",171,169,3
"ELF1",49,33,23
"ELK1",158,66,166
"ELK3",57,157,43
"ELK4",112,89,170
"EPAS1",102,145,85
"ESR1",76,53,104
"ESR2",132,56,60
"ESRRA",121,1,42
"ETS2",180,151,25
"ETV1",14,179,81
"ETV5",24,119,16
"ETV6",130,175,172
"ETV7",61,70,112
"FOS",179,171,151
"FOSL1",26,95,175
"FOSL2",39,23,139
"FOXD2",115,107,99
"FOXH1",18,35,123
"FOXK1",84,88,109
"FOXM1",64,140,140
"FOXO3",37,42,45
"FOXP1",92,172,102
"FOXP2",129,91,70
"FOXP3",149,132,174
"GATA1",101,148,44
"GATA2",117,48,98
"GATA3",25,29,163
"GATA4",17,67,26
"GLI2",96,31,87
"GLIS1",135,146,106
"GMEB1",172,37,11
"GMEB2",5,72,117
"GRHL2",8,158,92
"GTF2B",183,180,8
"GTF2I",100,7,157
"HEY1",21,125,73
"HIF1A",88,101,2
"HINFP",167,87,62
"HNF1B",174,134,149
"HNF4A",105,170,10
"HNF4G",90,10,29
"HOXA1",46,11,130
"HOXA4",178,177,153
"HOXB13",45,161,46
"HOXC6",162,58,128
"HSF1",81,54,9
"HSF2",60,138,148
"IRF2",175,162,64
"IRF3",63,153,35
"IRF4",87,77,131
"JUN",29,166,129
"JUNB",58,164,169
"JUND",176,183,6
"KLF1",6,64,134
"KLF10",177,127,122
"KLF3",147,165,18
"KLF4",69,168,33
"KLF9",146,44,14
"KMT2A",133,12,4
"LHX2",91,141,12
"MAF",109,83,125
"MAFF",71,46,51
"MAFK",118,99,108
"MECOM",154,111,5
"MEF2A",137,24,182
"MEF2C",70,130,115
"MEIS1",12,14,159
"MITF",111,113,138
"MNT",113,160,110
"MXI1",145,136,80
"MYB",104,103,59
"MYBL2",62,75,132
"MYC",59,167,142
"NANOG",168,120,119
"NFAT5",56,104,161
"NFATC1",7,93,179
"NFE2",85,18,176
"NFIC",161,78,141
"NFYA",73,144,95
"NFYB",67,155,57
"NKX2-1",1,17,83
"NR2C2",4,100,21
"NR2F2",127,156,150
"NRF1",38,4,90
"PAX5",99,174,61
"PAX6",150,137,146
"PBX1",108,96,137
"PBX3",80,74,160
"PGR",103,135,143
"POU2F1",94,147,118
"POU2F2",83,62,82
"PPARG",157,85,78
"PRDM1",165,57,48
"RARA",141,109,183
"RARG",22,86,52
"RBPJ",144,150,88
"RELA",78,139,63
"REST",27,142,27
"RFX2",16,41,53
"RFX5",182,45,164
"RUNX1",28,6,41
"RUNX2",119,5,76
"RUNX3",128,82,113
"RXRA",166,26,91
"RXRG",181,149,120
"SETDB1",33,122,24
"SIX5",139,39,67
"SMAD3",164,97,32
"SOX17",53,154,54
"SP1",122,129,152
"SP4",156,105,56
"SPDEF",116,69,71
"SPI1",120,131,77
"SPIB",143,9,178
"SREBF1",89,27,116
"SRF",68,115,28
"STAT1",142,126,124
"STAT2",124,133,147
"STAT3",151,55,20
"STAT4",3,19,162
"STAT5A",19,176,103
"STAT5B",86,28,31
"TBP",155,114,38
"TBX21",66,106,17
"TCF12",42,36,89
"TCF21",97,98,13
"TCF3",123,178,107
"TCF4",148,61,36
"TCF7L2",9,118,39
"TEAD4",134,182,1
"TFAP2A",15,38,72
"TFAP2C",140,124,66
"TFAP4",93,117,68
"TFDP1",10,21,84
"THAP1",52,123,37
"TP63",2,32,50
"TP73",23,22,154
"USF1",77,50,101
"USF2",163,16,97
"VDR",30,159,111
"VEZF1",131,128,7
"XBP1",75,20,49
"YY1",153,112,158
"ZBTB33",173,92,30
"ZBTB7A",138,173,69
"ZBTB7B",44,90,96
"ZEB1",65,152,19
"ZFX",152,71,74
"ZKSCAN1",13,49,105
"ZNF143",72,65,47
"ZNF263",125,143,22
"ZNF384",98,108,75
"ZNF76",20,80,145
