"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AR",-0.624900447566547,-0.806766881319052,-0.317261486128405
"ASCL2",0.466393381282514,-0.672531331006943,-0.446355714856197
"ATF3",0.600275991574681,0.354390924326993,-0.384383078680335
"BACH1",0.476017958064895,0.610815976712068,0.465874560461806
"BACH2",0.562916629168285,0.394951426769277,-0.338971308436785
"CDX2",-0.708414956030308,-0.415085184838638,-0.472929561880067
"CEBPA",0.52767681325931,0.487485390753529,0.382444274428177
"CEBPB",-0.510309995689928,0.750928215047074,0.496453563189239
"CEBPD",-0.349012628804688,-0.782728576215182,-0.451286819146627
"CLOCK",0.330775380898539,-0.489041571288963,0.317255976169542
"E2F7",-0.613590779652112,-0.741505929438498,-0.509779724287014
"EBF1",-0.324684495989619,-0.321525572473032,-0.418495292437901
"EGR2",-0.437515851920285,-0.434248577924583,-0.403695325873862
"ELK1",-0.328474241479953,-0.561134891523252,0.426200794590431
"EPAS1",-0.507511033334322,-0.494433116083929,-0.674178655445008
"FOXD2",-0.46813257038941,-0.717080954659275,-0.571590701609215
"FOXO3",-0.324564751034072,-0.79032650969179,-0.335512431760763
"FOXP1",0.710027106072689,-0.769504064974815,0.571947880518275
"GLIS1",0.518538510408084,-0.35723071625831,0.473141887309996
"GMEB2",-0.517712908449346,-0.720045840983939,-0.391776834039155
"HEY1",-0.388378630980114,-0.576427582950415,-0.569842207996804
"HNF1B",0.451281507108259,0.364536762817109,0.489518436769931
"HSF2",0.632336487737525,-0.333890678163628,0.388593096324095
"IRF2",0.444688240444215,0.366691558895846,0.58122933108659
"IRF4",-0.65402354526401,-0.753746804538841,-0.644701419082695
"KLF4",0.622046475472479,0.760586397427535,0.469183098745104
"MAFF",-0.658418245916821,-0.819441542627081,-0.575027655327703
"MECOM",0.469808543885256,0.769289998862912,-0.345650739371177
"MEF2A",-0.71182753530279,-0.314304649782649,0.325408018745777
"NR2F2",-0.530571054913302,-0.562799597138162,-0.397066870407373
"PAX6",0.482571714972033,-0.686800101658936,-0.320807286579697
"POU2F2",-0.547946990118893,-0.778853791123597,0.355542626594093
"RUNX2",0.35816688751928,0.595934534084627,0.561601730580824
"RXRA",-0.533988496925096,-0.767753764326166,-0.345670374860942
"RXRG",0.631575469035267,0.761733606462311,0.469552149110986
"SP2",-0.656414341438653,-0.746297523721747,-0.535750314299649
"TBX21",-0.578166787491712,0.47586276308496,-0.355615241173164
"TCF3",0.749868289055216,-0.380984123396667,0.409863632987941
"TFDP1",0.728250221642714,0.666510230812442,0.390415548611604
"TP63",0.522464716520349,0.718839108063314,0.559528717088248
"TP73",0.525229183818963,-0.74192989970195,0.411904287994833
"YY1",0.443453256619685,0.783020620188098,0.404309344001724
"ZNF263",-0.489759603477518,0.796381769372233,0.402594027020403
