"","P1_2020Oct","P3_2023Jan"
"BCL6",-0.36036220354695,-0.320574164090226
"EGR1",0.421061153332978,0.375644996493201
"ELK1",-0.465587160352097,-0.311849142942907
"ELK4",-0.435620834976005,-0.43277981239339
"GATA2",0.417108663579469,0.308096445675242
"GLI2",0.425860605176524,0.317102919117637
"JUNB",-0.314585919156822,-0.435875787639213
"KLF3",-0.511605433910807,0.322075242997292
"KLF4",0.512936374338009,-0.380429685509473
"MEIS1",0.430176078682906,-0.315601840210571
"NR2F2",0.594002745813036,-0.300121963981456
"NR5A2",-0.377583766044381,0.597992309602313
"PRDM1",-0.451793777742913,-0.320949433816993
"RELA",-0.393151735889834,-0.455108361135993
"SP2",0.425860605176524,-0.403414956273917
"TCF21",-0.485833587456805,-0.305938644746335
"TCF3",-0.484462315501507,0.407261470973273
"USF1",0.451108141765264,0.499108736599357
"ZBTB7A",0.60412595936539,0.362135286329609
"ZKSCAN1",-0.470507606779935,-0.370672672613545
