"","P1_2020Oct","P3_2023Jan"
"BATF",0.525664291576097,0.362049575057151
"E2F3",0.363090200632259,-0.303115636971124
"ETV5",-0.613241406042867,-0.359891166496675
"ETV7",0.389339142399233,-0.364771046720359
"FOXO3",-0.494939723793556,0.312781553568036
"FOXP2",-0.463368415954016,0.341685459508317
"GLI2",-0.530865694783378,0.306963234839798
"IRF2",0.482601511534426,0.524117904793724
"IRF4",-0.551993875253262,0.485923457658353
"JUNB",0.541349143108129,-0.305367889382055
"KLF1",-0.310753600918691,0.303772543924312
"KLF9",-0.348816582528559,-0.41432059976084
"MAX",0.565904604761105,-0.33004882205184
"MEIS1",-0.464658686517063,-0.449793575233003
"NFE2",-0.416515466133396,0.332488762163682
"NR2F2",-0.312809969628547,-0.35670047558119
"PAX5",0.321761221659681,0.593656197981217
"PBX1",-0.34712310241456,0.330518041304118
"RUNX3",0.444820776610225,0.370495521598142
"SIX5",-0.481996697207998,-0.349943718348397
"SPIB",0.415467121300921,0.459365647979459
"STAT5A",0.558606511888874,0.526557844905566
"STAT5B",0.561630583521014,0.456081113213518
"TAL1",-0.352929319948269,-0.304710982428867
"ZEB1",0.34200234111747,-0.435529309963773
"ZFX",-0.456997705048975,0.372372398607251
