"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AR",-0.779868502814161,-0.312569521690768,-0.361928096372471
"CEBPD",-0.771786639312954,-0.343715239154616,0.364962708695325
"EBF1",0.533674474866535,0.399777530589544,-0.312565069254034
"ELF1",-0.756520897144007,0.339710789766407,0.452764158569922
"FOXK1",0.811757406086366,0.547052280311457,0.319443523852505
"GRHL2",-0.741443105289041,0.337931034482759,-0.308923534466609
"HEY1",0.647864732294444,0.411790878754171,0.320455061293457
"IRF3",-0.754035776325806,0.337931034482759,-0.447908778853354
"RARG",-0.424537992547908,-0.323692992213571,0.424643417711468
"RUNX1",0.37780101447116,-0.335261401557286,0.390251144719115
"TCF21",-0.686394546660664,-0.546607341490545,-0.338460427742394
"TFDP1",-0.449618917780336,0.361067853170189,-0.373257315711128
"ZBTB33",-0.6040305424003,0.495884315906563,0.40663805126253
