"","ND251_34","ND251_LMPP"
"ARNTL",0.401924893243721,0.380723674431598
"BCL11A",0.359951228717226,0.343833677198738
"FOXD2",0.335524447499971,-0.336559849527444
"FOXO3",-0.306625665756468,-0.548926107549015
"HOXA1",0.302031932640364,0.333303315761319
"MNT",0.497882279348657,0.377951732949889
"RFX5",0.365304787229353,0.316232591279884
"SREBF1",-0.505972814551393,-0.336184220805533
"SRF",-0.342764192294482,-0.57768864751586
"STAT5A",0.313778458701082,0.413631739069274
"TEAD4",-0.346302463724912,0.462539082708328
"TP63",0.500409233878745,0.494212802733572
"VDR",0.353094072062261,0.453923210139165
