"","ND251_34","ND251_LMPP"
"BCL11A",-0.346879069661639,-0.361260401849398
"CTCFL",0.384377883545068,-0.33484697487378
"E2F8",0.376341181928022,0.367194780932792
"EGR2",-0.464323744997615,-0.304582934638589
"ESR1",-0.431877450730027,-0.428768487108553
"ESR2",0.344413643312973,0.310517075506687
"HEY1",0.454987480251012,-0.367788181962101
"HOXC6",0.415889615438622,0.39940106814674
"JUNB",-0.456615945160272,-0.362336213927958
"KLF1",-0.451663700477268,-0.365081110068361
"MAX",0.402884625149318,0.337157229317948
"MITF",-0.491261602954735,-0.44079281178954
"ONECUT1",-0.474726935029596,-0.367404360548287
"PRDM1",0.389125567365086,0.36570434397036
"RARG",-0.351769812385837,0.337971708514167
"RUNX1",-0.317658954233168,-0.359020330707586
"SREBF1",0.423396865410293,0.328445409420123
"TCF3",0.479942568536183,0.352509480393882
"TFAP2C",-0.323703527184535,0.433725985017463
"ZFX",0.378536534457582,0.429098641276655
"ZNF143",0.39089842817763,-0.317733925318147
