"","ND251_34","ND251_LMPP"
"ARID3A",-0.421289091595306,-0.421507086313395
"ATF2",0.406565629785543,0.341741644728985
"ATF3",-0.362704208940219,-0.352858525693332
"CEBPA",-0.406289871675554,-0.438915672037566
"E2F1",-0.441493065371128,-0.397516356060377
"E2F7",-0.395930895554251,-0.375326443273066
"EGR1",0.37307329137969,0.443169331839942
"ELK3",-0.401290131702303,-0.357550500533631
"EPAS1",0.384302854623104,-0.364500059364255
"ETV1",0.426778266119793,0.331872007629675
"ETV6",0.394283565693009,0.335367331866444
"FOXA2",-0.65384124765981,-0.361832476275015
"FOXO3",-0.408976708548271,-0.350114150152122
"FOXP3",0.334143753799923,0.388548275801216
"GLIS1",-0.389379113862477,-0.386454764425392
"HINFP",0.319011707984261,0.426807895321618
"HOXA4",0.433676550148725,0.346294785823616
"HSF2",-0.397299579786027,0.345635158485647
"KLF5",-0.425613152011098,-0.348705697760536
"KLF9",-0.351561271281095,0.339504665342516
"MEF2C",0.390135643965274,0.359857199032774
"MEIS1",0.356472941910318,-0.442037767510329
"MNT",-0.434102459271483,-0.304235272733471
"MYC",-0.336795940438925,0.402746660583979
"MZF1",-0.430565247912989,-0.401910416311358
"NFYA",0.502728690905478,0.364436080550357
"NR2C2",-0.342204264418075,-0.459788499667633
"PBX3",0.508340585007709,0.419976933359925
"PGR",0.367208739323281,0.35922744934498
"PPARG",0.369898463715474,-0.324202233723516
"REST",0.359425430574856,0.327995753277288
"SP2",0.353949249888013,-0.326288021641315
"SPDEF",-0.508466192104928,-0.41242641095779
"SPI1",0.458266666009079,0.316974202537932
"TEAD4",0.484957452288457,0.404597314939057
"USF1",0.440644134645089,0.436781040355092
"USF2",0.55455100294702,0.424211102198752
"YY1",0.479588109822237,0.358460097690402
"ZBTB7A",-0.367604329491537,0.426057886742903
"ZEB1",-0.309565188017475,0.455754947484604
"ZFX",-0.44770845104391,0.360076037791511
"ZNF263",0.347512968975292,-0.361917794671601
"ZNF384",-0.376759209991214,0.337327700828481
