"","ND251_34","ND251_LMPP"
"ARID3A",-0.33716659743002,-0.379274936458874
"ATF2",0.331027620703228,0.33956547524162
"BACH2",-0.311248722534949,-0.327458160751735
"EBF1",-0.309071308745371,0.374651590598505
"EGR1",0.363341829333421,0.394863498786222
"ELK3",-0.336758874529183,-0.308015360181126
"EPAS1",0.305132879022389,-0.309275933201527
"ETV1",0.364760184531015,0.376090524833061
"ETV6",0.304895763576512,0.353767552046655
"FOXA2",-0.369103445503055,-0.328201678436447
"FOXO3",-0.442000541025457,-0.349963054243424
"FOXP1",0.325303596006721,0.330076965878297
"HINFP",0.352822000161462,0.39686552016934
"HOXA4",0.417908744228817,0.344850452146567
"HOXA6",0.36571587544397,0.320167611072584
"IRF4",-0.363989559331915,-0.302769983180782
"JUND",0.302092307176783,0.319124987973827
"KLF3",0.330053134053709,0.340905485354751
"KLF5",-0.316176097166345,-0.313266689281485
"MEIS1",0.312283933871827,-0.368852644949599
"MYBL2",-0.300192491957988,-0.317154441916909
"MYC",-0.350301925636074,0.412388338521656
"NFYA",0.34005246590545,0.407500411285571
"PPARG",0.435889034990566,-0.316231511918728
"RUNX2",-0.306043749332771,-0.307684920715108
"RUNX3",-0.348075353766253,0.312956845596703
"RXRG",0.33076448039134,0.311119257408882
"SP2",0.311757653248051,-0.321648984275779
"SPDEF",-0.350144330614119,-0.368615217052247
"TCF12",-0.342780739358926,0.432787411714113
"TEAD4",0.322436523267855,0.359044133021857
"USF2",0.334477361275561,0.322687320785697
"YY1",0.348128849324164,0.35574664578995
"ZBTB33",0.354082760337101,0.306408762979423
"ZBTB7A",-0.371506408131394,0.480594662357325
"ZEB1",-0.38957923175007,0.426298934432693
"ZFX",-0.380881143198874,0.351487554203952
"ZNF384",-0.408509430121216,0.356710349722067
"ZNF76",-0.305352644557592,-0.339970035077024
