"","ND251_34","ND251_LMPP"
"CLOCK",-0.57736156744846,-0.347891527476445
"DUX4",0.33412480354952,-0.392295417713307
"EBF1",0.372359200573944,0.695656714062812
"HNF4A",-0.471857034403093,-0.652896976304121
"HNF4G",0.572233124829052,-0.605791908928466
"LHX2",0.352019641650761,0.638140451525556
"POU2F1",0.316720925283545,0.626243673257595
"SP4",-0.544608355447081,0.338515985715165
"TBX21",-0.417976712071227,0.493951842890014
"TFAP4",-0.320773863513088,0.326793096840768
"TP63",0.436558318035876,0.429667067410239
"ZNF250",0.5231558582463,0.614915633644042
