"","ND251_34","ND251_MPP"
"ASCL1",0.340742868337277,0.312166347617799
"ATF3",0.318519594199137,0.434684241104381
"E2F1",0.455905266384214,0.508281923136338
"E2F7",0.342920448416683,0.360286646654799
"EBF1",0.387312598839334,0.33533510967645
"FOXH1",-0.303900868008988,-0.377317383769233
"IRF4",-0.414209464571963,-0.355975084835676
"KLF1",0.302861087035538,0.363003222618795
"KLF5",0.410370693038048,0.332441582742165
"MAX",0.400246436509987,0.380828559958164
"MXI1",-0.319833812344142,0.33000082864516
"NRF1",-0.451669033532898,0.470232274450801
"PAX6",-0.436576774026913,-0.499487817112119
"POU2F2",-0.361753835309319,-0.467806785275319
"STAT2",-0.304680797235386,-0.5152707995413
"STAT5B",-0.364249931821048,-0.314395758876324
"TBX21",-0.392176735915486,-0.413799065510738
"ZBTB7A",0.438950730357918,0.333506143104226
