"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"CEBPD",-0.39788038331111,-0.367736363426406,-0.33399441921541,-0.32635030004112
"E2F6",0.591032635612985,-0.635270470058844,0.46196342638646,-0.399232239625265
"FOXK1",0.533039461041687,-0.564091471064485,0.518101511214804,0.357512838380711
"GATA3",-0.350554347622193,-0.408785434672128,-0.33628479870538,-0.651123275588624
"IRF4",-0.343520455743958,0.325189934204194,-0.493892811679869,-0.730389586310696
"MEF2A",-0.450851593146063,-0.695401214062065,-0.332533197879079,-0.735061667168311
"MEIS1",-0.421553621420928,0.44754571125054,-0.3875362875299,-0.391681538456035
"NKX2-1",-0.401568872238218,0.316707141367623,-0.324934846930158,-0.776908319498785
"RBPJ",0.392553614639863,0.325662784091507,0.58485553896105,0.587684834861424
"SP1",0.341215868717203,0.387741937914078,0.387502305638357,0.703572747213631
"YY1",0.538064254123718,0.442974829006521,0.323031861003773,0.601916176564511
