"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.552760642807272,0.698922136434174,0.364479479608273
"BACH2",-0.516187914866159,-0.48968029165111,-0.399675156862252
"BATF",0.383069128991917,0.534136116567097,0.353604421837829
"BCL11A",-0.4990141010295,-0.665565212102675,-0.341967096438401
"E2F1",0.301748253062912,-0.553110778873349,-0.409655769909591
"E2F4",0.363634848689378,0.564422402513991,0.303835666410452
"ETV7",-0.389270492740036,0.343552082172818,-0.308034237567401
"FOSL2",0.38533491367195,0.585398518991009,0.365000699171492
"FOXD2",-0.424346650957381,-0.335134588904028,-0.473197940435206
"FOXP3",0.436889258876733,0.500443884738114,0.480272066081468
"GATA1",-0.54184634276757,-0.400782207604265,-0.441700750074566
"GMEB2",-0.344784492324005,0.561598359202224,-0.359148230373456
"HOXA4",0.54478296446599,-0.35871971656685,0.380219217384525
"KLF5",-0.403833747176833,-0.753286434577384,-0.330405447606028
"MAFK",-0.393185164051719,-0.451828932720944,-0.347702590472656
"MEF2A",-0.562693783372851,0.731653302847434,-0.421106747511648
"MNT",-0.389372183207854,-0.545736577675317,-0.55931278834154
"MYBL2",-0.430948950358519,-0.474619231015837,-0.475483883928604
"NFYB",-0.530313790790863,-0.64810451858222,-0.322800415165216
"POU2F2",-0.544405717721699,-0.458178501169688,-0.362844370360236
"RELA",-0.581919222509312,0.635984245111703,-0.3240896868382
"REST",0.555387553311732,0.568132092946689,0.340366298543766
"SIX5",-0.396770483020817,-0.379702454641114,0.340846894021718
"SMAD3",0.591887640216927,-0.37899200819194,0.378270204784958
"STAT1",0.381659821176879,0.590196766054105,0.301779985199482
"TCF21",-0.532099344431222,0.518361875951478,-0.321582487611959
"TFAP2A",0.334951540995723,0.352985141696205,0.342737990854375
"TP73",-0.361628024498988,-0.617871120521024,-0.451640576093518
"USF1",0.463587898992141,0.421713263263099,0.425177539724676
"VDR",-0.431441903690743,0.764995116354446,-0.499123750707346
"ZBTB33",-0.434427755039852,0.56653382613441,-0.434140346966049
"ZNF76",-0.564692520919056,-0.510601245129529,-0.345590195857319
