"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"CEBPD",-0.364819254528095,0.3577397676688,-0.379121849114452
"E2F7",0.395363464654868,-0.529990793691198,0.3922283060727
"ELF1",-0.365882323279553,-0.377961219812574,-0.460149296960341
"EPAS1",0.499564042066728,0.392636950351705,0.458315098539154
"JUNB",0.397178606314794,0.482275381500999,0.427980860956969
"KLF3",0.378670472130235,-0.442173843572384,-0.346865724534273
"PGR",-0.318355878614186,0.625628312761141,0.314816330050334
"RARA",-0.303773425290481,0.387730435173801,-0.362381982389368
"SP2",-0.373162321667136,0.382965894164381,-0.382236107743028
"TCF3",0.324062746024042,0.405120759365485,-0.324740450183945
"XBP1",0.398266251016838,0.529102062568584,0.463633730944354
"ZFX",0.399352262450796,0.629086419699622,-0.327787704815659
