"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARNT",0.47118981976471,0.327997793613534,0.372159004892396
"BARX2",-0.344370261511501,-0.330804652428284,-0.306041263221092
"CEBPD",-0.359294296016691,-0.411854454183784,0.497856726465266
"ESRRA",-0.462730770416416,-0.433440121672288,0.350572055652698
"GATA3",-0.525724883388819,-0.396424543290529,0.677090082152588
"GMEB2",-0.560966853011652,-0.427820356762147,-0.741480867884717
"HINFP",0.300414099148239,0.339134600948124,-0.417553275293589
"HOXC6",0.313488186650899,0.376544230957549,-0.797298550918793
"HSF1",-0.577012273157789,-0.383760520292976,0.447219911248717
"MAX",0.397376703496414,0.301876897222394,-0.432417431770067
"POU2F2",-0.335592195473288,-0.551293372188367,0.463255930683922
"RUNX1",-0.487477790538906,-0.45961965856582,0.596786630980911
"TCF3",0.382245797861379,0.472343288385987,-0.649520464123603
"THAP1",-0.448825280645553,-0.384760730096342,0.728898760327864
