"","P1_2020Oct","P3_2023Jan"
"AR",-0.551325147542129,0.460355469620877
"ARID3A",-0.641449046423519,0.42323344340279
"ASCL2",0.633602224595269,-0.450122211442887
"ATF1",-0.56116231286331,-0.610960800323154
"BARX2",-0.66060789242023,0.319912822902259
"CDX2",-0.698906492389739,0.449910488859894
"CEBPB",0.519140768230763,0.357740591063656
"CEBPD",-0.631869623425163,0.304668796926771
"E2F7",-0.480226450490059,0.458802837345596
"E2F8",0.537612301366605,-0.351882932934186
"EGR1",-0.541879368711164,-0.524436838073392
"EHF",-0.580206606716543,-0.45689733409866
"ETV6",0.544413834885617,0.52133157352283
"FOS",-0.647439168926227,-0.514556450867057
"FOXA2",-0.686296210595192,0.334733403711761
"FOXK1",-0.346238626668516,-0.448710727556268
"FOXO3",0.60741274079259,0.594799309821363
"GATA3",-0.709216185302767,0.416176023969694
"GATA4",-0.667447609987068,0.460496618009539
"GLIS1",-0.634962531299072,0.480751411782526
"GTF2I",-0.667461929005002,0.335509719849402
"HES1",0.712929583953849,0.505734676575687
"HNF4A",0.567123797330149,-0.433537275775111
"HOXA1",0.699302651885934,-0.477504998843301
"IRF1",0.574689011805681,-0.416317172358356
"KLF1",0.731577718310887,0.300152048489589
"KLF10",0.469196033674314,0.50157079911016
"MBD2",-0.685723449877802,0.317654448683668
"MNT",-0.308880308876722,-0.524930857433709
"MYBL2",0.303892517629447,0.50227654105347
"MYC",-0.687193535719104,-0.515544489587691
"MZF1",-0.495361652447102,0.437771727434969
"NR2F2",0.580564582164912,0.387381752682661
"PAX6",-0.622886826174089,-0.389640126901251
"POU2F2",0.680497008331614,0.466001405167354
"RBPJ",-0.459440009454763,-0.54772632220261
"RXRG",-0.475128880105284,-0.373760933176784
"SPIB",0.647023917406119,-0.579696432234537
"SRF",-0.667695806297937,-0.435795649993702
"TBP",0.67774775688814,-0.448781301750599
"TCF4",0.650479573734375,0.330428377857573
"THAP1",-0.749252159448361,-0.419775307880573
"USF1",0.628900813706689,-0.497336347450302
