"","P1_2020Oct","P3_2023Jan"
"AR",-0.413699699396523,0.484526089838892
"ATF1",-0.418989708247433,-0.318806168652917
"BATF",0.540607393679951,0.521933056716476
"CDX2",-0.596252748515109,0.382609749893173
"CEBPA",0.513503259883366,0.457000208551613
"EGR1",-0.474658934963688,-0.379857161764445
"FOS",-0.54403539580536,-0.422486988168333
"FOXO3",0.35329429147079,0.533719780242054
"HOXA1",0.628007124749227,-0.408653468341906
"HOXC6",0.637804144751092,-0.312595200567582
"IRF1",0.564245330341373,-0.484384931473316
"KLF10",0.425649963073263,0.340332819403225
"LHX2",0.600769308418504,0.347602475230378
"MEF2A",0.418813056327322,0.320852964953766
"MZF1",-0.430075809828492,0.539860169144601
"NFATC1",-0.558898028975832,0.309913191621642
"NFYA",0.402503787162422,-0.409006364255846
"NFYB",0.336173378348621,0.302714114977277
"NKX2-1",-0.531158903142089,0.361435995056805
"NR5A2",0.611091509804485,0.445213485026035
"PAX6",-0.577107499875986,-0.414440961330513
"POU2F2",0.580979518989784,0.479444388678164
"SPI1",-0.609033753653996,-0.338003706371224
"SPIB",0.584760824955416,-0.334757063962981
"SRF",-0.628833091835154,-0.512475446222898
"TBP",0.615942276043225,-0.495395283988228
