"","P1_2020Oct","P3_2023Jan"
"AHR",0.47880048006222,-0.343178484872248
"ARID3A",-0.487524989064463,0.311459078801943
"CEBPB",0.328790583500634,0.335036226617594
"CEBPD",-0.493767030867054,0.550416658014618
"EHF",-0.448293397597141,-0.303741634021445
"ETV6",0.396606421567408,0.42276020903078
"FOXA2",-0.469621569549444,0.312591914733025
"GATA3",-0.474323429390017,0.402439964516991
"GATA4",-0.452201250587729,0.392669254611406
"GLI2",0.353146504465228,-0.310113836133783
"GTF2I",-0.395587605549054,0.301405159913587
"MEF2A",0.357054357455816,0.31591962028058
"MEF2C",0.507025988627041,0.357905351976318
"MNT",-0.363860813766228,-0.354436041937378
"NFAT5",-0.435861928903705,0.406404890275779
"NR2F2",0.437249049304281,0.346010574699953
"RBPJ",-0.326925145720549,-0.423185022504936
"STAT1",0.556675332620067,-0.353869623971837
"STAT5B",-0.370614655164893,0.54404445590228
"TCF12",0.514535571485331,-0.320875777479065
"THAP1",-0.532960356944015,-0.4350797997813
"TP73",-0.527493189296228,0.512962270043209
"USF1",0.352658620738129,-0.35394042621753
"XBP1",0.540125551289058,-0.34806383982504
