"","P1_2020Oct","P3_2023Jan"
"ARNT",-0.567861368846842,-0.317703984903378
"ASCL2",0.449270326375108,-0.342197206555911
"ATF1",-0.391284819684094,-0.311970022608999
"ATF2",0.623447177962093,0.374264921609661
"CDX2",-0.55199749984299,0.356142769173105
"E2F3",0.524571016172682,-0.398191825998552
"EGR1",-0.436826385652883,-0.313739764057881
"ETV6",0.35897751399841,0.365274635049338
"FOS",-0.474220475421324,-0.439108248296714
"FOXO3",0.423070035478045,0.429268485840927
"HEY1",0.307089442464975,-0.339931937501341
"HOXA1",0.538978781258307,-0.31104975705558
"IKZF1",-0.547835150155687,0.342409575529777
"IRF3",-0.435384651181216,-0.347648010218469
"LHX2",0.679521548260433,0.31345660542606
"MNT",-0.449184109695739,-0.328251643938717
"MZF1",-0.604422030714719,0.466220687293593
"NFATC1",-0.5505270264782,0.329455068123957
"NKX2-1",-0.60029799955158,0.384458632355224
"NRF1",0.3935072940856,-0.320464781563634
"PAX6",-0.589966367473889,-0.350975124142368
"POU2F2",0.574979034710286,0.45963724910375
"SPI1",-0.608498163722653,-0.347435641244603
"SPIB",0.634200313805586,-0.393024180967815
"SRF",-0.629923008545791,-0.414898185276002
"STAT5A",-0.516318164030883,0.329101119834181
"TBP",0.62292987788588,-0.45135485912298
"TCF7L2",-0.487938507071998,0.317208457297691
"ZNF263",0.625904353324102,-0.329950595729644
