"","P1_2020Oct","P3_2023Jan"
"AR",-0.404174976066292,0.613469828148941
"ATF1",-0.453677475466673,-0.379619276345069
"BATF",0.561944509291163,0.319252547652633
"CDX2",-0.568959033497695,0.414316040967356
"CEBPA",0.56344284983596,0.322355510342431
"CEBPD",-0.584333725329971,0.370874563310183
"E2F8",0.451778304967218,-0.320239853963024
"EGR1",-0.446763158748806,-0.445698277261905
"ETV6",0.499558189919601,0.495698289695242
"FOS",-0.553412557399137,-0.415303347277746
"FOXO3",0.493101964578487,0.500211689971312
"FOXP1",0.574060071849248,0.319605157049201
"GATA3",-0.553388698473264,0.423695450916064
"GATA4",-0.596726051428177,0.380959192052027
"HOXA1",0.560789737278931,-0.318476806980184
"HOXC6",0.578645757401953,-0.34196059279161
"IRF1",0.466160465483195,-0.452186290158755
"KLF10",0.496117732808778,0.404442977863453
"MEF2A",0.518335164581303,0.407545940553251
"MEF2C",0.520010061177557,0.349647477636792
"MZF1",-0.514532051797218,0.51685485348932
"NR2F2",0.516435994081848,0.326727866859874
"PAX6",-0.567451149382549,-0.410648903243049
"POU2F2",0.554414632285784,0.318758894497438
"RBPJ",-0.432905894602025,-0.436459911071824
"SPIB",0.563008617385079,-0.323554382290762
"SRF",-0.569579365570381,-0.425246932260963
"TBP",0.596554267161894,-0.41361082217422
"TCF4",0.514045329709417,0.392101648983574
"TP73",-0.566243887733398,0.324048035445958
