"","P1_2020Oct","P3_2023Jan"
"BATF",-0.355646145988793,0.559745346095755
"E2F3",0.314919212979699,0.38843695899415
"EPAS1",0.333973930380075,0.371335264276351
"ETV5",-0.316194484266214,-0.370268594155916
"FOSL1",0.391398898137359,0.519800590164918
"IRF3",0.337129409332606,-0.348830273374708
"NR5A2",0.35857779069537,-0.474062008552591
"PPARG",0.496894119278835,0.525326291116681
"RXRG",0.438525154919048,0.409717902216605
"SOX17",0.365389358757471,0.311286982414468
"SP2",-0.446102430740788,-0.307434146624262
"SP4",0.30581986428547,0.578350870819413
"TP63",-0.345748390271169,0.312866586800468
"USF1",0.350482387253865,0.470366550321137
"ZEB1",0.426502336334182,-0.465569449178414
"ZNF76",-0.320747856744348,0.514793652277191
