"","Celltype","Donor","Num of Samples","Protein","Num of TFs","Correlated TFs"
"48","HSC.CACNB2","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD35","7","BCL6,CDX2,GMEB1,HINFP,KMT2A,MECOM,ZBTB7A"
"49","HSC.CACNB2","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD71","1","ESR2"
"50","HSC.CACNB2","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD133","5","FOXP3,NR2C2,PBX3,PPARG,ZNF76"
"51","HSC.CACNB2","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD9.1","2","HES1,KLF10"
"52","HSC.CACNB2","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD62L","1","NR2C2"
"53","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD35","13","AR,GATA2,GMEB1,HEY1,HOXA1,HOXA6,HSF1,KMT2A,LHX2,PAX6,POU2F1,RARG,ZBTB33"
"54","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD133","6","CEBPB,FOXA1,MAX,SPI1,SPIB,TCF4"
"55","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD62L","7","CEBPB,CTCF,FOXA1,MAX,SPI1,SPIB,STAT5B"
"56","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD71","4","ETV4,NFATC1,PGR,TCF4"
"57","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD131","1","GATA3"
"58","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD9.1","1","HES1"
"59","HSC.HIST1H2AC","ND251_34, ND251_HSC, ND251_MPP","3","CD117","1","IRF2"
"60","HSC.MYADM-CD97","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD62L","3","AHR,E2F2,IRF1"
"61","HSC.MYADM-CD97","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD9.1","2","AHR,RFX2"
"62","HSC.MYADM-CD97","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD35","10","BACH2,ELK4,FOXK1,GRHL2,HNF1B,LHX2,PPARG,PRDM1,TAL1,TP73"
"63","HSC.MYADM-CD97","ND251_34, ND251_HSC, ND251_LMPP, ND251_MPP","4","CD71","2","GATA4,GMEB2"
