"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.465608465608466,0.158730158730159,0.402116402116402,0.523809523809524
"AR",0.275132275132275,0.0105820105820106,0.597883597883598,0.232804232804233
"ARID3A",0.037037037037037,0.248677248677249,0.0158730158730159,0.132275132275132
"ARNT",0.957671957671958,0.206349206349206,0.0211640211640212,0.666666666666667
"ARNTL",0.439153439153439,0.55026455026455,0.455026455026455,0.428571428571429
"ASCL1",0.904761904761905,0.857142857142857,0.174603174603175,0.904761904761905
"ASCL2",0.0952380952380952,0.253968253968254,0.248677248677249,0.0264550264550265
"ATF1",0.53968253968254,0.71957671957672,0.492063492063492,0.740740740740741
"ATF2",0.978835978835979,0.984126984126984,0.968253968253968,0.978835978835979
"ATF3",0.0423280423280423,0.0211640211640212,0.0529100529100529,0.137566137566138
"BACH1",0.830687830687831,0.735449735449735,0.19047619047619,0.846560846560847
"BACH2",0.28042328042328,0.0687830687830688,0.296296296296296,0.158730158730159
"BARX2",0.587301587301587,0.486772486772487,0.529100529100529,0.291005291005291
"BATF",0.740740740740741,0.724867724867725,0.222222222222222,0.677248677248677
"BCL11A",0.206349206349206,0.0793650793650794,0.211640211640212,0.317460317460317
"BCL6",0.608465608465608,0.603174603174603,0.0634920634920635,0.0899470899470899
"BHLHE40",0.835978835978836,0.582010582010582,0.714285714285714,0.894179894179894
"CEBPA",0.624338624338624,0.153439153439153,0.0264550264550265,0.703703703703704
"CEBPB",0.402116402116402,0.962962962962963,0.994708994708995,0.264550264550265
"CEBPD",0.555555555555556,0.111111111111111,0.772486772486772,0.116402116402116
"CLOCK",0.0211640211640212,0.0158730158730159,0.312169312169312,0.53968253968254
"CTCF",0.962962962962963,0.53968253968254,0.957671957671958,0.470899470899471
"CTCFL",0.0846560846560847,0.137566137566138,0.756613756613757,0.275132275132275
"DUX4",0.412698412698413,0.343915343915344,0.195767195767196,0.227513227513228
"E2F1",0.0793650793650794,0.0423280423280423,0.137566137566138,0.0105820105820106
"E2F2",0.195767195767196,0.0740740740740741,0.142857142857143,0.0158730158730159
"E2F3",0.661375661375661,0.73015873015873,0.259259259259259,0.687830687830688
"E2F4",0.656084656084656,0.481481481481481,0.0899470899470899,0.671957671957672
"E2F6",0.37037037037037,0.941798941798942,0.830687830687831,0.55026455026455
"E2F7",0.502645502645503,0.0582010582010582,0.164021164021164,0.365079365079365
"E2F8",0.878306878306878,0.973544973544973,0.73015873015873,0.862433862433862
"EBF1",0.0634920634920635,0.624338624338624,0.206349206349206,0.285714285714286
"EGR1",0.619047619047619,0.62962962962963,0.153439153439153,0.767195767195767
"EGR2",0.518518518518518,0.529100529100529,0.751322751322751,0.35978835978836
"EHF",0.899470899470899,0.91005291005291,0.82010582010582,0.957671957671958
"ELF1",0.105820105820106,0.296296296296296,0.275132275132275,0.597883597883598
"ELK1",0.693121693121693,0.439153439153439,0.380952380952381,0.211640211640212
"ELK3",0.185185185185185,0.195767195767196,0.386243386243386,0.0846560846560847
"ELK4",0.386243386243386,0.846560846560847,0.925925925925926,0.380952380952381
"EPAS1",0.148148148148148,0.417989417989418,0.322751322751323,0.502645502645503
"ESR1",0.111111111111111,0.391534391534392,0.984126984126984,0.322751322751323
"ESR2",0.55026455026455,0.470899470899471,0.571428571428571,0.650793650793651
"ESRRA",0.222222222222222,0.0952380952380952,0.0476190476190476,0.238095238095238
"ETS2",0.62962962962963,0.830687830687831,0.513227513227513,0.952380952380952
"ETV1",0.888888888888889,0.925925925925926,0.132275132275132,0.507936507936508
"ETV5",0.481481481481481,0.322751322751323,0.317460317460317,0.465608465608466
"ETV6",0.968253968253968,0.989417989417989,0.978835978835979,0.947089947089947
"ETV7",0.71957671957672,0.873015873015873,0.470899470899471,0.407407407407407
"FOS",0.867724867724868,0.412698412698413,0.465608465608466,0.571428571428571
"FOSL1",0.19047619047619,0.35978835978836,0.0317460317460317,0.100529100529101
"FOSL2",0.0740740740740741,0.0846560846560847,0.534391534391534,0.343915343915344
"FOXA1",0.751322751322751,0.931216931216931,0.671957671957672,0.375661375661376
"FOXA2",0.0476190476190476,0.00529100529100529,0.55026455026455,0.169312169312169
"FOXD2",0.216931216931217,0.0529100529100529,0.037037037037037,0.301587301587302
"FOXG1",0.158730158730159,0.275132275132275,0.148148148148148,0.0476190476190476
"FOXH1",0.603174603174603,0.534391534391534,0.481481481481481,0.693121693121693
"FOXM1",0.507936507936508,0.894179894179894,0.603174603174603,0.417989417989418
"FOXO3",0.259259259259259,0.285714285714286,0.158730158730159,0.312169312169312
"FOXP1",0.291005291005291,0.576719576719577,0.17989417989418,0.412698412698413
"FOXP2",0.576719576719577,0.645502645502645,0.121693121693122,0.306878306878307
"FOXP3",0.703703703703704,0.687830687830688,0.291005291005291,0.534391534391534
"GATA1",0.529100529100529,0.428571428571429,0.735449735449735,0.80952380952381
"GATA2",0.227513227513228,0.634920634920635,0.682539682539683,0.566137566137566
"GATA3",0.492063492063492,0.164021164021164,0.53968253968254,0.608465608465608
"GATA4",0.116402116402116,0.301587301587302,0.423280423280423,0.555555555555556
"GLI2",0.253968253968254,0.17989417989418,0.407407407407407,0.195767195767196
"GLIS1",0.391534391534392,0.338624338624339,0.185185185185185,0.259259259259259
"GMEB1",0.666666666666667,0.592592592592593,0.0740740740740741,0.804232804232804
"GMEB2",0.248677248677249,0.661375661375661,0.486772486772487,0.333333333333333
"GRHL2",0.264550264550265,0.312169312169312,0.306878306878307,0.126984126984127
"GTF2B",0.989417989417989,0.994708994708995,0.439153439153439,0.989417989417989
"GTF2I",0.343915343915344,0.746031746031746,0.576719576719577,0.455026455026455
"HEY1",0.100529100529101,0.354497354497354,0.941798941798942,0.105820105820106
"HIF1A",0.613756613756614,0.444444444444444,0.804232804232804,0.44973544973545
"HINFP",0.947089947089947,0.544973544973545,0.46031746031746,0.714285714285714
"HNF1B",0.476190476190476,0.714285714285714,0.544973544973545,0.619047619047619
"HNF4A",0.169312169312169,0.523809523809524,0.428571428571429,0.0423280423280423
"HNF4G",0.417989417989418,0.465608465608466,0.238095238095238,0.698412698412698
"HOXA1",0.793650793650794,0.888888888888889,0.862433862433862,0.91005291005291
"HOXA4",0.851851851851852,0.968253968253968,0.91005291005291,0.973544973544973
"HOXA6",0.677248677248677,0.835978835978836,0.878306878306878,0.931216931216931
"HOXB13",0.80952380952381,0.64021164021164,0.216931216931217,0.883597883597884
"HSF1",0.312169312169312,0.19047619047619,0.962962962962963,0.164021164021164
"HSF2",0.788359788359788,0.777777777777778,0.783068783068783,0.746031746031746
"IRF2",0.708994708994709,0.915343915343915,0.80952380952381,0.841269841269841
"IRF4",0.338624338624339,0.132275132275132,0.0846560846560847,0.248677248677249
"JUN",0.798941798941799,0.698412698412698,0.634920634920635,0.941798941798942
"JUNB",0.777777777777778,0.476190476190476,0.560846560846561,0.148148148148148
"JUND",1,1,1,1
"KLF1",0.164021164021164,0.433862433862434,0.00529100529100529,0.0211640211640212
"KLF10",0.470899470899471,0.238095238095238,0.0105820105820106,0.497354497354497
"KLF3",0.687830687830688,0.952380952380952,0.656084656084656,0.962962962962963
"KLF4",0.931216931216931,0.978835978835979,0.37037037037037,0.857142857142857
"KLF9",0.952380952380952,0.751322751322751,0.518518518518518,0.206349206349206
"KMT2A",0.0687830687830688,0.116402116402116,0.433862433862434,0.201058201058201
"MAF",0.433862433862434,0.571428571428571,0.592592592592593,0.71957671957672
"MAFF",0.0529100529100529,0.169312169312169,0.0687830687830688,0.603174603174603
