"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.169312169312169,0.412698412698413,0.470899470899471
"AR",0.142857142857143,0.0582010582010582,0.0793650793650794
"ARID3A",0.645502645502645,0.105820105820106,0.037037037037037
"ARNT",0.502645502645503,0.746031746031746,0.53968253968254
"ARNTL",0.671957671957672,0.26984126984127,0.121693121693122
"ASCL1",0.862433862433862,0.888888888888889,0.73015873015873
"ASCL2",0.523809523809524,0.349206349206349,0.804232804232804
"ATF1",0.185185185185185,0.841269841269841,0.904761904761905
"ATF2",0.978835978835979,0.936507936507937,0.80952380952381
"ATF3",0.746031746031746,0.0264550264550265,0.0211640211640212
"BACH1",0.534391534391534,0.878306878306878,0.343915343915344
"BACH2",0.28042328042328,0.0899470899470899,0.243386243386243
"BARX2",0.777777777777778,0.899470899470899,0.735449735449735
"BATF",0.661375661375661,0.582010582010582,0.597883597883598
"BCL11A",0.148148148148148,0.158730158730159,0.566137566137566
"BCL6",0.693121693121693,0.132275132275132,0.518518518518518
"BHLHE40",0.925925925925926,0.291005291005291,0.931216931216931
"CEBPA",0.740740740740741,0.264550264550265,0.529100529100529
"CEBPB",0.994708994708995,0.894179894179894,0.962962962962963
"CEBPD",0.0687830687830688,0.285714285714286,0.402116402116402
"CLOCK",0.0476190476190476,0.00529100529100529,0.116402116402116
"CTCF",0.894179894179894,0.656084656084656,0.158730158730159
"CTCFL",0.211640211640212,0.566137566137566,0.423280423280423
"DUX4",0.227513227513228,0.53968253968254,0.264550264550265
"E2F1",0.338624338624339,0.169312169312169,0.788359788359788
"E2F2",0.571428571428571,0.116402116402116,0.174603174603175
"E2F3",0.888888888888889,0.91005291005291,0.894179894179894
"E2F4",0.26984126984127,0.126984126984127,0.523809523809524
"E2F6",0.82010582010582,0.957671957671958,0.936507936507937
"E2F7",0.0158730158730159,0.391534391534392,0.714285714285714
"E2F8",0.835978835978836,0.941798941798942,0.91005291005291
"EBF1",0.73015873015873,0.830687830687831,0.148148148148148
"EGR1",0.62962962962963,0.777777777777778,0.920634920634921
"EGR2",0.80952380952381,0.671957671957672,0.830687830687831
