"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.53968253968254,0.423280423280423,0.619047619047619,0.534391534391534
"AR",0.0211640211640212,0.0476190476190476,0.0105820105820106,0.126984126984127
"ARID3A",0.380952380952381,0.0211640211640212,0.259259259259259,0.439153439153439
"ARNT",0.608465608465608,0.62962962962963,0.724867724867725,0.925925925925926
"ARNTL",0.751322751322751,0.391534391534392,0.671957671957672,0.248677248677249
"ASCL1",0.857142857142857,0.666666666666667,0.952380952380952,0.894179894179894
"ASCL2",0.206349206349206,0.518518518518518,0.195767195767196,0.391534391534392
"ATF1",0.783068783068783,0.793650793650794,0.989417989417989,0.698412698412698
"ATF2",0.846560846560847,0.973544973544973,0.994708994708995,0.989417989417989
"ATF3",0.412698412698413,0.148148148148148,0.285714285714286,0.037037037037037
"BACH1",0.71957671957672,0.798941798941799,0.608465608465608,0.888888888888889
"BACH2",0.619047619047619,0.291005291005291,0.137566137566138,0.174603174603175
"BARX2",0.571428571428571,0.883597883597884,0.17989417989418,0.73015873015873
"BATF",0.708994708994709,0.608465608465608,0.534391534391534,0.682539682539683
"BCL11A",0.417989417989418,0.121693121693122,0.661375661375661,0.132275132275132
"BCL6",0.746031746031746,0.714285714285714,0.28042328042328,0.560846560846561
"BHLHE40",0.402116402116402,0.878306878306878,0.71957671957672,0.455026455026455
"CEBPA",0.100529100529101,0.211640211640212,0.53968253968254,0.703703703703704
"CEBPB",0.17989417989418,0.645502645502645,0.455026455026455,0.137566137566138
"CEBPD",0.0158730158730159,0.513227513227513,0.883597883597884,0.46031746031746
"CLOCK",0.0899470899470899,0.037037037037037,0.650793650793651,0.0211640211640212
"CTCF",0.671957671957672,0.687830687830688,0.841269841269841,0.952380952380952
"CTCFL",0.375661375661376,0.111111111111111,0.0582010582010582,0.365079365079365
"DUX4",0.343915343915344,0.216931216931217,0.502645502645503,0.185185185185185
"E2F1",0.00529100529100529,0.222222222222222,0.0899470899470899,0.0952380952380952
"E2F2",0.121693121693122,0.0529100529100529,0.0529100529100529,0.0423280423280423
"E2F3",0.656084656084656,0.724867724867725,0.253968253968254,0.613756613756614
"E2F4",0.238095238095238,0.0582010582010582,0.132275132275132,0.846560846560847
"E2F6",0.560846560846561,0.497354497354497,0.169312169312169,0.862433862433862
"E2F7",0.0264550264550265,0.137566137566138,0.116402116402116,0.333333333333333
"E2F8",0.82010582010582,0.846560846560847,0.402116402116402,0.82010582010582
"EBF1",0.423280423280423,0.571428571428571,0.925925925925926,0.666666666666667
"EGR1",0.26984126984127,0.761904761904762,0.375661375661376,0.867724867724868
"EGR2",0.338624338624339,0.597883597883598,0.873015873015873,0.222222222222222
"EHF",0.80952380952381,0.920634920634921,0.984126984126984,0.957671957671958
"ELF1",0.201058201058201,0.0687830687830688,0.64021164021164,0.0740740740740741
"ELK1",0.116402116402116,0.338624338624339,0.560846560846561,0.423280423280423
"ELK3",0.523809523809524,0.751322751322751,0.624338624338624,0.380952380952381
"ELK4",0.306878306878307,0.73015873015873,0.365079365079365,0.19047619047619
"EPAS1",0.603174603174603,0.227513227513228,0.544973544973545,0.793650793650794
"ESR1",0.211640211640212,0.656084656084656,0.317460317460317,0.253968253968254
"ESR2",0.0846560846560847,0.698412698412698,0.576719576719577,0.312169312169312
