"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.396825396825397,0.285714285714286,0.624338624338624,0.428571428571429
"AR",0.0264550264550265,0.476190476190476,0.0317460317460317,0.566137566137566
"ARID3A",0.121693121693122,0.952380952380952,0.19047619047619,0.0687830687830688
"ARNT",0.338624338624339,0.984126984126984,0.576719576719577,1
"ARNTL",0.285714285714286,0.899470899470899,0.238095238095238,0.592592592592593
"ASCL1",0.857142857142857,0.767195767195767,0.883597883597884,0.227513227513228
"ASCL2",0.783068783068783,0.883597883597884,0.312169312169312,0.306878306878307
"ATF1",0.904761904761905,0.465608465608466,0.878306878306878,0.365079365079365
"ATF2",0.867724867724868,0.830687830687831,0.952380952380952,0.793650793650794
"ATF3",0.00529100529100529,0.380952380952381,0.0211640211640212,0.264550264550265
"BACH1",0.682539682539683,0.433862433862434,0.703703703703704,0.740740740740741
"BACH2",0.137566137566138,0.846560846560847,0.206349206349206,0.518518518518518
"BARX2",0.851851851851852,0.592592592592593,0.862433862433862,0.0952380952380952
"BATF",0.613756613756614,0.862433862433862,0.830687830687831,0.19047619047619
"BCL11A",0.476190476190476,0.238095238095238,0.26984126984127,0.37037037037037
"BCL6",0.470899470899471,0.936507936507937,0.275132275132275,0.100529100529101
"BHLHE40",0.502645502645503,0.957671957671958,0.846560846560847,0.26984126984127
"CEBPA",0.0158730158730159,0.91005291005291,0.708994708994709,0.375661375661376
"CEBPB",0.698412698412698,0.46031746031746,0.502645502645503,0.116402116402116
"CEBPD",0.243386243386243,0.26984126984127,0.211640211640212,0.777777777777778
"CLOCK",0.0423280423280423,0.158730158730159,0.00529100529100529,0.312169312169312
"CTCF",0.571428571428571,0.216931216931217,0.0476190476190476,0.825396825396825
"CTCFL",0.17989417989418,0.761904761904762,0.306878306878307,0.238095238095238
"DUX4",0.0634920634920635,0.354497354497354,0.53968253968254,0.862433862433862
"E2F1",0.73015873015873,0.920634920634921,0.0264550264550265,0.396825396825397
"E2F2",0.132275132275132,0.772486772486772,0.0158730158730159,0.671957671957672
"E2F3",0.412698412698413,0.560846560846561,0.761904761904762,0.656084656084656
"E2F4",0.417989417989418,0.111111111111111,0.111111111111111,0.0317460317460317
"E2F6",0.862433862433862,0.195767195767196,0.317460317460317,0.989417989417989
"E2F7",0.116402116402116,0.275132275132275,0.0740740740740741,0.571428571428571
"E2F8",0.973544973544973,0.55026455026455,0.936507936507937,0.544973544973545
"EBF1",0.634920634920635,0.0582010582010582,0.476190476190476,0.502645502645503
"EGR1",0.576719576719577,0.0317460317460317,0.645502645502645,0.328042328042328
"EGR2",0.560846560846561,0.248677248677249,0.619047619047619,0.338624338624339
"EHF",0.978835978835979,0.73015873015873,0.978835978835979,0.994708994708995
"ELF1",0.375661375661376,0.037037037037037,0.412698412698413,0.708994708994709
"ELK1",0.656084656084656,0.35978835978836,0.322751322751323,0.158730158730159
"ELK3",0.142857142857143,0.365079365079365,0.0952380952380952,0.153439153439153
"ELK4",0.619047619047619,0.857142857142857,0.328042328042328,0.423280423280423
"EPAS1",0.317460317460317,0.0634920634920635,0.148148148148148,0.0899470899470899
"ESR1",0.19047619047619,0.423280423280423,0.35978835978836,0.55026455026455
"ESR2",0.544973544973545,0.386243386243386,0.613756613756614,0.724867724867725
"ESRRA",0.164021164021164,0.121693121693122,0.0846560846560847,0.693121693121693
"ETS2",0.878306878306878,0.19047619047619,0.915343915343915,0.174603174603175
"ETV1",0.735449735449735,0.703703703703704,0.804232804232804,0.624338624338624
"ETV5",0.497354497354497,0.116402116402116,0.37037037037037,0.523809523809524
"ETV6",0.989417989417989,0.989417989417989,0.984126984126984,0.962962962962963
"ETV7",0.677248677248677,0.492063492063492,0.661375661375661,0.253968253968254
"FOS",0.111111111111111,0.698412698412698,0.518518518518518,0.677248677248677
"FOSL1",0.37037037037037,0.333333333333333,0.534391534391534,0.291005291005291
"FOSL2",0.481481481481481,0.555555555555556,0.227513227513228,0.804232804232804
"FOXA1",0.962962962962963,0.634920634920635,0.947089947089947,0.841269841269841
"FOXA2",0.169312169312169,0.587301587301587,0.126984126984127,0.137566137566138
"FOXD2",0.0899470899470899,0.677248677248677,0.0899470899470899,0.296296296296296
"FOXG1",0.439153439153439,0.28042328042328,0.507936507936508,0.80952380952381
"FOXH1",0.455026455026455,0.137566137566138,0.592592592592593,0.243386243386243
"FOXM1",0.814814814814815,0.793650793650794,0.677248677248677,0.481481481481481
"FOXO3",0.62962962962963,0.211640211640212,0.137566137566138,0.846560846560847
"FOXP1",0.703703703703704,0.0793650793650794,0.582010582010582,0.661375661375661
"FOXP2",0.693121693121693,0.666666666666667,0.391534391534392,0.534391534391534
"FOXP3",0.53968253968254,0.201058201058201,0.756613756613757,0.64021164021164
"GATA1",0.211640211640212,0.105820105820106,0.587301587301587,0.878306878306878
"GATA2",0.71957671957672,0.835978835978836,0.301587301587302,0.587301587301587
"GATA3",0.296296296296296,0.375661375661376,0.169312169312169,0.185185185185185
"GATA4",0.195767195767196,0.00529100529100529,0.428571428571429,0.835978835978836
"GLI2",0.322751322751323,0.142857142857143,0.105820105820106,0.507936507936508
"GLIS1",0.201058201058201,0.439153439153439,0.354497354497354,0.164021164021164
"GMEB1",0.603174603174603,0.582010582010582,0.338624338624339,0.873015873015873
"GMEB2",0.486772486772487,0.873015873015873,0.698412698412698,0.603174603174603
"GRHL2",0.158730158730159,0.544973544973545,0.253968253968254,0.62962962962963
"GTF2B",0.994708994708995,0.777777777777778,0.989417989417989,0.814814814814815
"GTF2I",0.275132275132275,0.576719576719577,0.380952380952381,0.703703703703704
"HEY1",0.46031746031746,0.174603174603175,0.116402116402116,0.735449735449735
