"","ND251_34","ND251_LMPP"
"AHR",0.867724867724868,0.55026455026455
"AR",0.0846560846560847,0.142857142857143
"ARID3A",0.174603174603175,0.275132275132275
"ARNT",0.724867724867725,0.894179894179894
"ARNTL",0.555555555555556,0.544973544973545
"ASCL1",0.592592592592593,0.920634920634921
"ASCL2",0.746031746031746,0.433862433862434
"ATF1",0.137566137566138,0.793650793650794
"ATF2",0.984126984126984,0.984126984126984
"ATF3",0.264550264550265,0.211640211640212
"BACH1",0.169312169312169,0.925925925925926
"BACH2",0.111111111111111,0.354497354497354
"BARX2",0.91005291005291,0.698412698412698
"BATF",0.518518518518518,0.566137566137566
"BCL11A",0.380952380952381,0.201058201058201
"BCL6",0.470899470899471,0.455026455026455
"BHLHE40",0.71957671957672,0.264550264550265
"CEBPA",0.634920634920635,0.317460317460317
"CEBPB",0.973544973544973,0.582010582010582
"CEBPD",0.608465608465608,0.380952380952381
"CLOCK",0.46031746031746,0.0476190476190476
"CTCF",0.693121693121693,0.904761904761905
"CTCFL",0.28042328042328,0.0582010582010582
"DUX4",0.37037037037037,0.386243386243386
"E2F1",0.312169312169312,0.396825396825397
"E2F2",0.35978835978836,0.0317460317460317
"E2F3",0.365079365079365,0.756613756613757
"E2F4",0.894179894179894,0.470899470899471
"E2F6",0.19047619047619,0.185185185185185
"E2F7",0.412698412698413,0.0793650793650794
"E2F8",0.481481481481481,0.931216931216931
"EBF1",0.338624338624339,0.671957671957672
"EGR1",0.402116402116402,0.26984126984127
"EGR2",0.142857142857143,0.44973544973545
"EHF",1,0.973544973544973
"ELF1",0.0105820105820106,0.222222222222222
"ELK1",0.814814814814815,0.391534391534392
"ELK3",0.158730158730159,0.291005291005291
"ELK4",0.00529100529100529,0.788359788359788
"EPAS1",0.476190476190476,0.338624338624339
"ESR1",0.0476190476190476,0.465608465608466
"ESR2",0.873015873015873,0.53968253968254
"ESRRA",0.349206349206349,0.0846560846560847
"ETS2",0.904761904761905,0.878306878306878
"ETV1",0.714285714285714,0.402116402116402
"ETV5",0.26984126984127,0.285714285714286
"ETV6",0.835978835978836,0.941798941798942
"ETV7",0.925925925925926,0.592592592592593
"FOS",0.566137566137566,0.365079365079365
"FOSL1",0.931216931216931,0.195767195767196
"FOSL2",0.497354497354497,0.105820105820106
"FOXA1",0.597883597883598,0.746031746031746
"FOXA2",0.121693121693122,0.00529100529100529
"FOXD2",0.783068783068783,0.216931216931217
"FOXG1",0.195767195767196,0.439153439153439
"FOXH1",0.0634920634920635,0.666666666666667
"FOXM1",0.80952380952381,0.693121693121693
"FOXO3",0.396825396825397,0.158730158730159
"FOXP1",0.941798941798942,0.777777777777778
"FOXP2",0.44973544973545,0.73015873015873
"FOXP3",0.587301587301587,0.650793650793651
"GATA1",0.391534391534392,0.830687830687831
"GATA2",0.291005291005291,0.677248677248677
"GATA3",0.64021164021164,0.164021164021164
"GATA4",0.0158730158730159,0.0740740740740741
"GLI2",0.153439153439153,0.0952380952380952
"GLIS1",0.17989417989418,0.35978835978836
"GMEB1",0.465608465608466,0.619047619047619
"GMEB2",0.830687830687831,0.634920634920635
"GRHL2",0.0423280423280423,0.174603174603175
"GTF2B",0.989417989417989,0.994708994708995
"GTF2I",0.761904761904762,0.518518518518518
"HEY1",0.582010582010582,0.100529100529101
"HIF1A",0.53968253968254,0.613756613756614
"HINFP",0.603174603174603,0.708994708994709
"HNF1B",0.772486772486772,0.783068783068783
"HNF4A",0.661375661375661,0.28042328042328
"HNF4G",0.529100529100529,0.412698412698413
"HOXA1",0.248677248677249,0.846560846560847
"HOXA4",0.740740740740741,0.82010582010582
"HOXA6",0.767195767195767,0.804232804232804
"HOXB13",0.687830687830688,0.523809523809524
"HSF1",0.216931216931217,0.227513227513228
"HSF2",0.0582010582010582,0.656084656084656
"IRF2",0.708994708994709,0.857142857142857
"IRF4",0.0793650793650794,0.0687830687830688
"JUN",0.920634920634921,0.899470899470899
"JUNB",0.343915343915344,0.502645502645503
"JUND",0.994708994708995,1
"KLF1",0.259259259259259,0.0105820105820106
"KLF10",0.164021164021164,0.597883597883598
"KLF3",0.613756613756614,0.968253968253968
"KLF4",0.201058201058201,0.962962962962963
"KLF9",0.407407407407407,0.947089947089947
"KMT2A",0.735449735449735,0.428571428571429
"MAF",0.227513227513228,0.62962962962963
"MAFF",0.682539682539683,0.0158730158730159
"MAFK",0.915343915343915,0.883597883597884
"MAX",0.507936507936508,0.957671957671958
"MECOM",0.851851851851852,0.772486772486772
"MEF2A",0.105820105820106,0.417989417989418
"MEF2C",0.883597883597884,0.64021164021164
"MEIS1",0.317460317460317,0.476190476190476
"MITF",0.243386243386243,0.312169312169312
"MNT",0.375661375661376,0.513227513227513
"MXI1",0.888888888888889,0.132275132275132
"MYB",0.968253968253968,0.492063492063492
"MYBL2",0.0529100529100529,0.137566137566138
"MYC",0.798941798941799,0.873015873015873
"MYOD1",0.899470899470899,0.037037037037037
"NANOG",0.232804232804233,0.306878306878307
"NFAT5",0.777777777777778,0.444444444444444
"NFATC1",0.439153439153439,0.407407407407407
"NFE2",0.386243386243386,0.0634920634920635
"NFIC",0.936507936507937,0.0899470899470899
"NFYA",0.417989417989418,0.71957671957672
"NFYB",0.624338624338624,0.507936507936508
"NKX2-1",0.544973544973545,0.0423280423280423
"NR2C2",0.73015873015873,0.343915343915344
"NR2F2",0.126984126984127,0.751322751322751
"NRF1",0.571428571428571,0.232804232804233
"ONECUT1",0.650793650793651,0.248677248677249
"OTX2",0.55026455026455,0.608465608465608
"PAX5",0.857142857142857,0.587301587301587
"PBX1",0.0211640211640212,0.148148148148148
"PBX3",0.296296296296296,0.37037037037037
"PGR",0.619047619047619,0.825396825396825
"POU2F1",0.100529100529101,0.153439153439153
"POU2F2",0.0952380952380952,0.19047619047619
"PPARG",0.285714285714286,0.481481481481481
"PRDM1",0.62962962962963,0.624338624338624
"PRDM14",0.671957671957672,0.534391534391534
"RARG",0.666666666666667,0.328042328042328
"RBPJ",0.952380952380952,0.888888888888889
"RELA",0.354497354497354,0.761904761904762
"REST",0.947089947089947,0.835978835978836
"RFX2",0.703703703703704,0.126984126984127
"RFX5",0.455026455026455,0.867724867724868
"RUNX1",0.185185185185185,0.0211640211640212
"RUNX2",0.82010582010582,0.17989417989418
"RUNX3",0.846560846560847,0.735449735449735
"RXRA",0.0687830687830688,0.333333333333333
"RXRG",0.978835978835979,0.497354497354497
"SETDB1",0.238095238095238,0.121693121693122
"SIX5",0.698412698412698,0.645502645502645
"SMAD3",0.148148148148148,0.349206349206349
"SOX17",0.275132275132275,0.259259259259259
"SP1",0.211640211640212,0.243386243386243
"SP4",0.793650793650794,0.46031746031746
"SPI1",0.423280423280423,0.423280423280423
"SPIB",0.560846560846561,0.576719576719577
"SRF",0.502645502645503,0.111111111111111
"STAT1",0.486772486772487,0.80952380952381
"STAT2",0.576719576719577,0.862433862433862
"STAT3",0.206349206349206,0.714285714285714
"STAT4",0.328042328042328,0.296296296296296
"STAT5A",0.957671957671958,0.915343915343915
"STAT5B",0.677248677248677,0.682539682539683
"TBP",0.306878306878307,0.703703703703704
"TCF12",0.534391534391534,0.978835978835979
"TCF21",0.0317460317460317,0.206349206349206
"TCF3",0.788359788359788,0.989417989417989
"TCF4",0.804232804232804,0.798941798941799
"TCF7L2",0.523809523809524,0.375661375661376
"TEAD4",0.322751322751323,0.841269841269841
"TFAP2A",0.037037037037037,0.301587301587302
"TFAP2C",0.0740740740740741,0.687830687830688
"TFAP4",0.645502645502645,0.814814814814815
"TFDP1",0.492063492063492,0.169312169312169
"THAP1",0.513227513227513,0.322751322751323
"TP63",0.222222222222222,0.661375661375661
"TP73",0.444444444444444,0.486772486772487
"USF1",0.962962962962963,0.555555555555556
"USF2",0.333333333333333,0.603174603174603
"VDR",0.0264550264550265,0.560846560846561
"VEZF1",0.0899470899470899,0.0264550264550265
"XBP1",0.862433862433862,0.724867724867725
"YY1",0.428571428571429,0.936507936507937
"ZBTB33",0.656084656084656,0.571428571428571
"ZBTB7A",0.878306878306878,0.91005291005291
"ZBTB7B",0.825396825396825,0.253968253968254
"ZEB1",0.132275132275132,0.767195767195767
"ZFP42",0.756613756613757,0.851851851851852
"ZFX",0.841269841269841,0.952380952380952
"ZKSCAN1",0.116402116402116,0.0529100529100529
"ZNF143",0.433862433862434,0.238095238095238
"ZNF263",0.253968253968254,0.529100529100529
"ZNF384",0.301587301587302,0.740740740740741
"ZNF76",0.751322751322751,0.116402116402116
