"","ND251_34","ND251_LMPP"
"AHR",0.661375661375661,0.555555555555556
"AR",0.259259259259259,0.037037037037037
"ARID3A",0.306878306878307,0.126984126984127
"ARNT",0.793650793650794,0.534391534391534
"ARNTL",0.148148148148148,0.465608465608466
"ASCL1",0.761904761904762,0.851851851851852
"ASCL2",0.46031746031746,0.343915343915344
"ATF1",0.666666666666667,0.735449735449735
"ATF2",0.862433862433862,0.957671957671958
"ATF3",0.55026455026455,0.0634920634920635
"BACH1",0.592592592592593,0.904761904761905
"BACH2",0.624338624338624,0.132275132275132
"BARX2",0.91005291005291,0.767195767195767
"BATF",0.873015873015873,0.82010582010582
"BCL11A",0.380952380952381,0.375661375661376
"BCL6",0.947089947089947,0.317460317460317
"BHLHE40",0.26984126984127,0.804232804232804
"CEBPA",0.0423280423280423,0.222222222222222
"CEBPB",0.253968253968254,0.566137566137566
"CEBPD",0.201058201058201,0.164021164021164
"CLOCK",0.142857142857143,0.0158730158730159
"CTCF",0.777777777777778,0.873015873015873
"CTCFL",0.529100529100529,0.116402116402116
"DUX4",0.920634920634921,0.338624338624339
"E2F1",0.439153439153439,0.0952380952380952
"E2F2",0.00529100529100529,0.0317460317460317
"E2F3",0.64021164021164,0.671957671957672
"E2F4",0.423280423280423,0.201058201058201
"E2F6",0.44973544973545,0.312169312169312
"E2F7",0.82010582010582,0.0582010582010582
"E2F8",0.962962962962963,0.915343915343915
"EBF1",0.708994708994709,0.513227513227513
"EGR1",0.735449735449735,0.608465608465608
"EGR2",0.375661375661376,0.285714285714286
"EHF",0.973544973544973,0.973544973544973
"ELF1",0.645502645502645,0.185185185185185
"ELK1",0.195767195767196,0.645502645502645
"ELK3",0.216931216931217,0.158730158730159
"ELK4",0.756613756613757,0.529100529100529
"EPAS1",0.714285714285714,0.17989417989418
"ESR1",0.132275132275132,0.301587301587302
"ESR2",0.444444444444444,0.603174603174603
"ESRRA",0.116402116402116,0.137566137566138
"ETS2",0.814814814814815,0.878306878306878
"ETV1",0.772486772486772,0.71957671957672
"ETV5",0.788359788359788,0.412698412698413
"ETV6",0.984126984126984,0.984126984126984
"ETV7",0.317460317460317,0.433862433862434
"FOS",0.534391534391534,0.576719576719577
"FOSL1",0.62962962962963,0.544973544973545
"FOSL2",0.28042328042328,0.111111111111111
"FOXA1",0.365079365079365,0.936507936507937
"FOXA2",0.677248677248677,0.00529100529100529
"FOXD2",0.312169312169312,0.211640211640212
"FOXG1",0.73015873015873,0.492063492063492
"FOXH1",0.682539682539683,0.656084656084656
"FOXM1",0.349206349206349,0.698412698412698
