"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.857142857142857,0.64021164021164,0.566137566137566
"AR",0.349206349206349,0.105820105820106,0.0476190476190476
"ARID3A",0.957671957671958,0.169312169312169,0.529100529100529
"ARNT",0.142857142857143,0.767195767195767,0.349206349206349
"ARNTL",0.867724867724868,0.698412698412698,0.883597883597884
"ASCL1",0.846560846560847,0.624338624338624,0.936507936507937
"ASCL2",0.0846560846560847,0.481481481481481,0.82010582010582
"ATF1",0.862433862433862,0.788359788359788,0.232804232804233
"ATF2",0.767195767195767,0.962962962962963,0.952380952380952
"ATF3",0.0105820105820106,0.534391534391534,0.0952380952380952
"BACH1",0.0793650793650794,0.798941798941799,0.756613756613757
"BACH2",0.777777777777778,0.28042328042328,0.439153439153439
"BARX2",0.206349206349206,0.804232804232804,0.793650793650794
"BATF",0.46031746031746,0.513227513227513,0.55026455026455
"BCL11A",0.264550264550265,0.206349206349206,0.677248677248677
"BCL6",0.391534391534392,0.0846560846560847,0.608465608465608
"BHLHE40",0.380952380952381,0.846560846560847,0.671957671957672
"CEBPA",0.0634920634920635,0.603174603174603,0.64021164021164
"CEBPB",1,0.751322751322751,0.656084656084656
"CEBPD",0.571428571428571,0.386243386243386,0.328042328042328
"CLOCK",0.338624338624339,0.0105820105820106,0.0211640211640212
"CTCF",0.64021164021164,0.931216931216931,0.862433862433862
"CTCFL",0.888888888888889,0.0423280423280423,0.185185185185185
"DUX4",0.576719576719577,0.349206349206349,0.291005291005291
"E2F1",0.444444444444444,0.275132275132275,0.444444444444444
"E2F2",0.582010582010582,0.00529100529100529,0.174603174603175
"E2F3",0.486772486772487,0.915343915343915,0.899470899470899
"E2F4",0.873015873015873,0.402116402116402,0.46031746031746
"E2F6",0.783068783068783,0.724867724867725,0.455026455026455
"E2F7",0.650793650793651,0.0899470899470899,0.00529100529100529
"E2F8",0.661375661375661,0.936507936507937,0.973544973544973
"EBF1",0.698412698412698,0.0740740740740741,0.0317460317460317
"EGR1",0.708994708994709,0.899470899470899,0.851851851851852
"EGR2",0.0264550264550265,0.465608465608466,0.523809523809524
"EHF",0.312169312169312,0.978835978835979,0.962962962962963
"ELF1",0.941798941798942,0.148148148148148,0.121693121693122
"ELK1",0.396825396825397,0.523809523809524,0.777777777777778
"ELK3",0.899470899470899,0.354497354497354,0.195767195767196
"ELK4",0.37037037037037,0.756613756613757,0.534391534391534
"EPAS1",0.248677248677249,0.412698412698413,0.396825396825397
"ESR1",0.291005291005291,0.55026455026455,0.846560846560847
"ESR2",0.619047619047619,0.492063492063492,0.301587301587302
"ESRRA",0.529100529100529,0.0211640211640212,0.0158730158730159
"ETS2",0.417989417989418,0.470899470899471,0.407407407407407
"ETV1",0.82010582010582,0.518518518518518,0.0582010582010582
"ETV5",0.227513227513228,0.306878306878307,0.576719576719577
"ETV6",0.216931216931217,0.984126984126984,0.984126984126984
"ETV7",0.947089947089947,0.793650793650794,0.693121693121693
"FOS",0.931216931216931,0.317460317460317,0.814814814814815
"FOSL1",0.301587301587302,0.137566137566138,0.62962962962963
"FOSL2",0.185185185185185,0.153439153439153,0.132275132275132
"FOXA1",0.560846560846561,0.544973544973545,0.761904761904762
"FOXA2",0.00529100529100529,0.0158730158730159,0.153439153439153
"FOXD2",0.328042328042328,0.0634920634920635,0.0529100529100529
"FOXG1",0.71957671957672,0.164021164021164,0.26984126984127
"FOXH1",0.195767195767196,0.619047619047619,0.0899470899470899
"FOXM1",0.751322751322751,0.867724867724868,0.624338624338624
"FOXO3",0.433862433862434,0.322751322751323,0.492063492063492
"FOXP1",0.439153439153439,0.835978835978836,0.71957671957672
"FOXP2",0.0317460317460317,0.380952380952381,0.253968253968254
"FOXP3",0.968253968253968,0.476190476190476,0.433862433862434
"GATA1",0.587301587301587,0.714285714285714,0.867724867724868
"GATA2",0.0582010582010582,0.661375661375661,0.783068783068783
"GATA3",0.989417989417989,0.26984126984127,0.0846560846560847
"GATA4",0.481481481481481,0.248677248677249,0.841269841269841
"GLI2",0.740740740740741,0.222222222222222,0.100529100529101
"GLIS1",0.497354497354497,0.338624338624339,0.111111111111111
"GMEB1",0.17989417989418,0.560846560846561,0.587301587301587
"GMEB2",0.423280423280423,0.587301587301587,0.164021164021164
"GRHL2",0.169312169312169,0.285714285714286,0.0740740740740741
"GTF2B",0.0687830687830688,0.994708994708995,0.994708994708995
"GTF2I",0.037037037037037,0.576719576719577,0.91005291005291
"HEY1",0.333333333333333,0.423280423280423,0.428571428571429
"HIF1A",0.455026455026455,0.439153439153439,0.402116402116402
"HINFP",0.465608465608466,0.677248677248677,0.703703703703704
"HNF1B",0.851851851851852,0.37037037037037,0.682539682539683
"HNF4A",0.354497354497354,0.455026455026455,0.243386243386243
"HNF4G",0.788359788359788,0.396825396825397,0.650793650793651
"HOXA1",0.687830687830688,0.841269841269841,0.80952380952381
"HOXA4",0.126984126984127,0.968253968253968,0.931216931216931
"HOXA6",0.920634920634921,0.957671957671958,0.947089947089947
"HOXB13",0.735449735449735,0.761904761904762,0.105820105820106
"HSF1",0.238095238095238,0.100529100529101,0.19047619047619
"HSF2",0.343915343915344,0.772486772486772,0.878306878306878
"IRF2",0.703703703703704,0.830687830687831,0.724867724867725
"IRF4",0.476190476190476,0.328042328042328,0.343915343915344
"JUN",0.28042328042328,0.53968253968254,0.571428571428571
"JUNB",0.555555555555556,0.433862433862434,0.502645502645503
"JUND",0.894179894179894,1,1
"KLF1",0.878306878306878,0.126984126984127,0.142857142857143
"KLF10",0.412698412698413,0.291005291005291,0.544973544973545
"KLF3",0.645502645502645,0.952380952380952,0.507936507936508
"KLF4",0.814814814814815,0.973544973544973,0.597883597883598
"KLF9",0.841269841269841,0.878306878306878,0.365079365079365
"KMT2A",0.365079365079365,0.121693121693122,0.116402116402116
"MAF",0.746031746031746,0.650793650793651,0.391534391534392
"MAFF",0.402116402116402,0.0687830687830688,0.338624338624339
"MAFK",0.285714285714286,0.634920634920635,0.317460317460317
"MAX",0.984126984126984,0.883597883597884,0.920634920634921
"MECOM",0.714285714285714,0.73015873015873,0.788359788359788
"MEF2A",0.925925925925926,0.211640211640212,0.227513227513228
"MEF2C",0.148148148148148,0.894179894179894,0.380952380952381
"MEIS1",0.0899470899470899,0.195767195767196,0.28042328042328
"MITF",0.915343915343915,0.507936507936508,0.17989417989418
"MNT",0.656084656084656,0.582010582010582,0.481481481481481
"MXI1",0.793650793650794,0.365079365079365,0.666666666666667
"MYB",0.132275132275132,0.656084656084656,0.206349206349206
"MYBL2",0.44973544973545,0.238095238095238,0.412698412698413
"MYC",0.232804232804233,0.592592592592593,0.613756613756614
