"","ND251_34","ND251_MPP"
"AHR",0.174603174603175,0.82010582010582
"AR",0.148148148148148,0.211640211640212
"ARID3A",0.291005291005291,0.0211640211640212
"ARNT",0.428571428571429,0.571428571428571
"ARNTL",0.619047619047619,0.333333333333333
"ASCL1",0.502645502645503,0.55026455026455
"ASCL2",0.756613756613757,0.80952380952381
"ATF1",0.714285714285714,0.650793650793651
"ATF2",0.91005291005291,0.952380952380952
"ATF3",0.0687830687830688,0.407407407407407
"BACH1",0.835978835978836,0.613756613756614
"BACH2",0.391534391534392,0.296296296296296
"BARX2",0.783068783068783,0.714285714285714
"BATF",0.328042328042328,0.873015873015873
"BCL11A",0.17989417989418,0.0582010582010582
"BCL6",0.650793650793651,0.148148148148148
"BHLHE40",0.433862433862434,0.693121693121693
"CEBPA",0.767195767195767,0.582010582010582
"CEBPB",0.915343915343915,0.455026455026455
"CEBPD",0.677248677248677,0.555555555555556
"CLOCK",0.0158730158730159,0.0105820105820106
"CTCF",0.71957671957672,0.968253968253968
"CTCFL",0.417989417989418,0.740740740740741
"DUX4",0.275132275132275,0.46031746031746
"E2F1",0.0634920634920635,0.17989417989418
"E2F2",0.0317460317460317,0.0317460317460317
"E2F3",0.301587301587302,0.275132275132275
"E2F4",0.952380952380952,0.317460317460317
"E2F6",0.708994708994709,0.481481481481481
"E2F7",0.169312169312169,0.111111111111111
"E2F8",0.968253968253968,0.793650793650794
"EBF1",0.486772486772487,0.597883597883598
"EGR1",0.804232804232804,0.412698412698413
"EGR2",0.476190476190476,0.253968253968254
"EHF",0.984126984126984,0.984126984126984
"ELF1",0.857142857142857,0.306878306878307
"ELK1",0.343915343915344,0.64021164021164
"ELK3",0.19047619047619,0.44973544973545
"ELK4",0.603174603174603,0.62962962962963
"EPAS1",0.100529100529101,0.285714285714286
"ESR1",0.333333333333333,0.132275132275132
"ESR2",0.661375661375661,0.544973544973545
"ESRRA",0.142857142857143,0.0899470899470899
"ETS2",0.703703703703704,0.888888888888889
"ETV1",0.465608465608466,0.576719576719577
