"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.73015873015873,0.91005291005291,0.037037037037037,0.259259259259259
"AR",0.148148148148148,0.407407407407407,0.0423280423280423,0.0105820105820106
"ARID3A",0.132275132275132,0.19047619047619,0.142857142857143,0.312169312169312
"ARNT",0.804232804232804,0.698412698412698,0.862433862433862,0.925925925925926
"ARNTL",0.481481481481481,0.650793650793651,0.111111111111111,0.428571428571429
"ASCL1",0.44973544973545,0.587301587301587,0.814814814814815,0.714285714285714
"ASCL2",0.661375661375661,0.947089947089947,0.915343915343915,0.703703703703704
"ATF1",0.80952380952381,0.560846560846561,0.936507936507937,0.497354497354497
"ATF2",0.957671957671958,0.259259259259259,0.259259259259259,0.857142857142857
"ATF3",0.0105820105820106,0.603174603174603,0.55026455026455,0.365079365079365
"BACH1",0.899470899470899,0.53968253968254,0.899470899470899,0.396825396825397
"BACH2",0.164021164021164,0.0529100529100529,0.206349206349206,0.354497354497354
"BARX2",0.751322751322751,0.486772486772487,0.751322751322751,0.878306878306878
"BATF",0.714285714285714,0.222222222222222,0.470899470899471,0.756613756613757
"BCL11A",0.116402116402116,0.285714285714286,0.571428571428571,0.164021164021164
"BCL6",0.111111111111111,0.571428571428571,0.0899470899470899,0.544973544973545
"BHLHE40",0.492063492063492,0.529100529100529,0.555555555555556,0.798941798941799
"CEBPA",0.386243386243386,0.105820105820106,0.587301587301587,0.0476190476190476
"CEBPB",0.656084656084656,0.80952380952381,0.687830687830688,0.904761904761905
"CEBPD",0.391534391534392,0.0634920634920635,0.232804232804233,0.698412698412698
"CLOCK",0.0529100529100529,0.100529100529101,0.507936507936508,0.0264550264550265
"CTCF",0.560846560846561,0.428571428571429,0.35978835978836,0.666666666666667
"CTCFL",0.312169312169312,0.412698412698413,0.0264550264550265,0.238095238095238
"DUX4",0.275132275132275,0.777777777777778,0.671957671957672,0.507936507936508
"E2F1",0.0846560846560847,0.343915343915344,0.407407407407407,0.142857142857143
"E2F2",0.0158730158730159,0.243386243386243,0.105820105820106,0.0423280423280423
"E2F3",0.17989417989418,0.899470899470899,0.793650793650794,0.624338624338624
"E2F4",0.687830687830688,0.291005291005291,0.666666666666667,0.37037037037037
"E2F6",0.62962962962963,0.253968253968254,0.608465608465608,0.444444444444444
"E2F7",0.0952380952380952,0.444444444444444,0.0740740740740741,0.0740740740740741
"E2F8",0.931216931216931,0.619047619047619,0.724867724867725,0.962962962962963
"EBF1",0.55026455026455,0.502645502645503,0.597883597883598,0.0952380952380952
"EGR1",0.936507936507937,0.968253968253968,0.714285714285714,0.873015873015873
"EGR2",0.412698412698413,0.661375661375661,0.476190476190476,0.476190476190476
"EHF",0.984126984126984,0.470899470899471,0.867724867724868,0.851851851851852
"ELF1",0.227513227513228,0.227513227513228,0.544973544973545,0.105820105820106
"ELK1",0.513227513227513,0.380952380952381,0.592592592592593,0.0899470899470899
"ELK3",0.582010582010582,0.671957671957672,0.121693121693122,0.35978835978836
"ELK4",0.772486772486772,0.666666666666667,0.661375661375661,0.439153439153439
"EPAS1",0.338624338624339,0.132275132275132,0.698412698412698,0.285714285714286
"ESR1",0.0476190476190476,0.592592592592593,0.433862433862434,0.111111111111111
"ESR2",0.455026455026455,0.936507936507937,0.798941798941799,0.417989417989418
"ESRRA",0.0793650793650794,0.0423280423280423,0.365079365079365,0.0317460317460317
"ETS2",0.915343915343915,0.767195767195767,0.777777777777778,0.883597883597884
"ETV1",0.26984126984127,0.888888888888889,0.137566137566138,0.28042328042328
"ETV5",0.343915343915344,0.492063492063492,0.412698412698413,0.148148148148148
