"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.492063492063492,0.830687830687831,0.82010582010582,0.904761904761905
"AR",0.28042328042328,0.126984126984127,0.0105820105820106,0.444444444444444
"ARID3A",0.19047619047619,0.0158730158730159,0.343915343915344,0.0423280423280423
"ARNT",0.936507936507937,0.735449735449735,0.798941798941799,0.560846560846561
"ARNTL",0.391534391534392,0.148148148148148,0.333333333333333,0.100529100529101
"ASCL1",0.724867724867725,0.804232804232804,0.777777777777778,0.978835978835979
"ASCL2",0.518518518518518,0.222222222222222,0.296296296296296,0.751322751322751
"ATF1",0.82010582010582,0.613756613756614,0.62962962962963,0.544973544973545
"ATF2",0.973544973544973,0.978835978835979,0.941798941798942,0.285714285714286
"ATF3",0.470899470899471,0.555555555555556,0.0476190476190476,0.0158730158730159
"BACH1",0.693121693121693,0.582010582010582,0.735449735449735,0.708994708994709
"BACH2",0.656084656084656,0.354497354497354,0.148148148148148,0.888888888888889
"BARX2",0.423280423280423,0.306878306878307,0.846560846560847,0.851851851851852
"BATF",0.597883597883598,0.603174603174603,0.920634920634921,0.783068783068783
"BCL11A",0.783068783068783,0.407407407407407,0.142857142857143,0.116402116402116
"BCL6",0.0476190476190476,0.507936507936508,0.153439153439153,0.798941798941799
"BHLHE40",0.756613756613757,0.746031746031746,0.714285714285714,0.619047619047619
"CEBPA",0.957671957671958,0.0105820105820106,0.661375661375661,0.873015873015873
"CEBPB",0.306878306878307,1,0.0634920634920635,0.0740740740740741
"CEBPD",0.216931216931217,0.756613756613757,0.650793650793651,0.439153439153439
"CLOCK",0.232804232804233,0.0952380952380952,0.391534391534392,0.412698412698413
"CTCF",0.650793650793651,0.0423280423280423,0.227513227513228,0.994708994708995
"CTCFL",0.211640211640212,0.645502645502645,0.80952380952381,0.0846560846560847
"DUX4",0.222222222222222,0.82010582010582,0.174603174603175,0.624338624338624
"E2F1",0.73015873015873,0.0264550264550265,0.0264550264550265,0.656084656084656
"E2F2",0.941798941798942,0.116402116402116,0.232804232804233,0.132275132275132
"E2F3",0.899470899470899,0.380952380952381,0.301587301587302,0.216931216931217
"E2F4",0.428571428571429,0.0899470899470899,0.158730158730159,0.947089947089947
"E2F6",0.126984126984127,0.00529100529100529,0.555555555555556,0.407407407407407
"E2F7",0.148148148148148,0.169312169312169,0.264550264550265,0.582010582010582
"E2F8",0.455026455026455,0.296296296296296,0.804232804232804,0.857142857142857
"EBF1",0.396825396825397,0.206349206349206,0.687830687830688,0.0264550264550265
"EGR1",0.253968253968254,0.248677248677249,0.407407407407407,0.375661375661376
"EGR2",0.312169312169312,0.666666666666667,0.312169312169312,0.148148148148148
"EHF",0.952380952380952,0.835978835978836,0.978835978835979,0.634920634920635
"ELF1",0.619047619047619,0.470899470899471,0.592592592592593,0.64021164021164
"ELK1",0.904761904761905,0.132275132275132,0.486772486772487,0.592592592592593
"ELK3",0.0793650793650794,0.947089947089947,0.513227513227513,0.296296296296296
