"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.862433862433862,0.656084656084656,0.35978835978836
"AR",0.195767195767196,0.0211640211640212,0.0423280423280423
"ARID3A",0.185185185185185,0.185185185185185,0.312169312169312
"ARNT",0.227513227513228,0.851851851851852,0.613756613756614
"ARNTL",0.582010582010582,0.322751322751323,0.661375661375661
"ASCL1",0.555555555555556,0.888888888888889,0.624338624338624
"ASCL2",0.365079365079365,0.380952380952381,0.164021164021164
"ATF1",0.767195767195767,0.867724867724868,0.867724867724868
"ATF2",0.920634920634921,0.978835978835979,0.920634920634921
"ATF3",0.0158730158730159,0.470899470899471,0.0846560846560847
"BACH1",0.835978835978836,0.873015873015873,0.73015873015873
"BACH2",0.412698412698413,0.444444444444444,0.354497354497354
"BARX2",0.851851851851852,0.328042328042328,0.751322751322751
"BATF",0.846560846560847,0.740740740740741,0.481481481481481
"BCL11A",0.0899470899470899,0.349206349206349,0.142857142857143
"BCL6",0.544973544973545,0.560846560846561,0.211640211640212
"BHLHE40",0.608465608465608,0.846560846560847,0.846560846560847
"CEBPA",0.37037037037037,0.582010582010582,0.698412698412698
"CEBPB",0.169312169312169,0.428571428571429,0.952380952380952
"CEBPD",0.423280423280423,0.534391534391534,0.132275132275132
"CLOCK",0.00529100529100529,0.0582010582010582,0.174603174603175
"CTCF",0.19047619047619,0.417989417989418,0.878306878306878
"CTCFL",0.206349206349206,0.19047619047619,0.365079365079365
"DUX4",0.64021164021164,0.502645502645503,0.291005291005291
"E2F1",0.0423280423280423,0.00529100529100529,0.0105820105820106
"E2F2",0.105820105820106,0.174603174603175,0.111111111111111
"E2F3",0.883597883597884,0.751322751322751,0.566137566137566
"E2F4",0.174603174603175,0.26984126984127,0.317460317460317
"E2F6",0.433862433862434,0.243386243386243,0.968253968253968
"E2F7",0.0211640211640212,0.116402116402116,0.560846560846561
"E2F8",0.931216931216931,0.952380952380952,0.301587301587302
"EBF1",0.687830687830688,0.35978835978836,0.0476190476190476
"EGR1",0.645502645502645,0.899470899470899,0.534391534391534
"EGR2",0.439153439153439,0.126984126984127,0.650793650793651
"EHF",0.968253968253968,0.973544973544973,0.931216931216931
"ELF1",0.301587301587302,0.227513227513228,0.00529100529100529
"ELK1",0.534391534391534,0.566137566137566,0.587301587301587
"ELK3",0.164021164021164,0.301587301587302,0.26984126984127
"ELK4",0.867724867724868,0.878306878306878,0.375661375661376
"EPAS1",0.153439153439153,0.306878306878307,0.798941798941799
"ESR1",0.306878306878307,0.201058201058201,0.322751322751323
"ESR2",0.830687830687831,0.386243386243386,0.53968253968254
"ESRRA",0.0105820105820106,0.0317460317460317,0.0264550264550265
"ETS2",0.333333333333333,0.941798941798942,0.682539682539683
"ETV1",0.28042328042328,0.291005291005291,0.756613756613757
"ETV5",0.455026455026455,0.317460317460317,0.396825396825397
"ETV6",0.989417989417989,0.984126984126984,0.978835978835979
"ETV7",0.751322751322751,0.724867724867725,0.597883597883598
