"","ND251_34","ND251_LMPP","ND251_MPP"
"AHR",0.746031746031746,0.402116402116402,0.0529100529100529
"AR",0.00529100529100529,0.174603174603175,0.0476190476190476
"ARID3A",0.0158730158730159,0.582010582010582,0.507936507936508
"ARNT",0.708994708994709,0.587301587301587,0.71957671957672
"ARNTL",0.73015873015873,0.0634920634920635,0.624338624338624
"ASCL1",0.380952380952381,0.338624338624339,0.798941798941799
"ASCL2",0.312169312169312,0.0317460317460317,0.756613756613757
"ATF1",0.857142857142857,0.777777777777778,0.941798941798942
"ATF2",0.899470899470899,0.417989417989418,0.978835978835979
"ATF3",0.0846560846560847,0.222222222222222,0.428571428571429
"BACH1",0.71957671957672,0.925925925925926,0.73015873015873
"BACH2",0.0634920634920635,0.343915343915344,0.206349206349206
"BARX2",0.894179894179894,0.73015873015873,0.952380952380952
"BATF",0.957671957671958,0.746031746031746,0.391534391534392
"BCL11A",0.227513227513228,0.105820105820106,0.423280423280423
"BCL6",0.634920634920635,0.788359788359788,0.216931216931217
"BHLHE40",0.402116402116402,0.703703703703704,0.62962962962963
"CEBPA",0.0211640211640212,0.936507936507937,0.412698412698413
"CEBPB",0.915343915343915,0.0529100529100529,0.714285714285714
"CEBPD",0.624338624338624,0.433862433862434,0.259259259259259
"CLOCK",0.037037037037037,0.798941798941799,0.238095238095238
"CTCF",0.317460317460317,0.835978835978836,0.544973544973545
"CTCFL",0.354497354497354,0.0264550264550265,0.333333333333333
"DUX4",0.301587301587302,0.62962962962963,0.380952380952381
"E2F1",0.470899470899471,0.306878306878307,0.111111111111111
"E2F2",0.0105820105820106,0.0582010582010582,0.201058201058201
"E2F3",0.613756613756614,0.259259259259259,0.973544973544973
"E2F4",0.232804232804233,0.296296296296296,0.222222222222222
"E2F6",0.904761904761905,0.0740740740740741,0.566137566137566
"E2F7",0.201058201058201,0.82010582010582,0.582010582010582
"E2F8",0.925925925925926,0.613756613756614,0.677248677248677
"EBF1",0.481481481481481,0.00529100529100529,0.455026455026455
"EGR1",0.756613756613757,0.783068783068783,0.264550264550265
"EGR2",0.64021164021164,0.0846560846560847,0.894179894179894
"EHF",0.978835978835979,0.312169312169312,0.989417989417989
"ELF1",0.650793650793651,0.0158730158730159,0.529100529100529
"ELK1",0.597883597883598,0.137566137566138,0.354497354497354
"ELK3",0.17989417989418,0.492063492063492,0.402116402116402
"ELK4",0.365079365079365,0.894179894179894,0.761904761904762
"EPAS1",0.465608465608466,0.523809523809524,0.17989417989418
"ESR1",0.0264550264550265,0.941798941798942,0.396825396825397
"ESR2",0.555555555555556,0.534391534391534,0.19047619047619
"ESRRA",0.132275132275132,0.380952380952381,0.037037037037037
"ETS2",0.841269841269841,0.322751322751323,0.920634920634921
"ETV1",0.100529100529101,0.91005291005291,0.656084656084656
"ETV5",0.259259259259259,0.735449735449735,0.576719576719577
"ETV6",0.984126984126984,0.423280423280423,0.984126984126984
"ETV7",0.714285714285714,0.973544973544973,0.947089947089947
"FOS",0.608465608465608,0.888888888888889,0.80952380952381
"FOSL1",0.428571428571429,0.952380952380952,0.82010582010582
"FOSL2",0.285714285714286,0.931216931216931,0.137566137566138
"FOXA1",0.693121693121693,0.904761904761905,0.767195767195767
"FOXA2",0.296296296296296,0.275132275132275,0.343915343915344
"FOXD2",0.0423280423280423,0.71957671957672,0.0740740740740741
"FOXG1",0.534391534391534,0.714285714285714,0.603174603174603
"FOXH1",0.518518518518518,0.349206349206349,0.301587301587302
"FOXM1",0.783068783068783,0.216931216931217,0.968253968253968
"FOXO3",0.412698412698413,0.428571428571429,0.597883597883598
"FOXP1",0.0476190476190476,0.0952380952380952,0.523809523809524
"FOXP2",0.793650793650794,0.555555555555556,0.37037037037037
