"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.455026455026455,0.433862433862434,0.788359788359788
"AR",0.148148148148148,0.0793650793650794,0.0846560846560847
"ARID3A",0.142857142857143,0.0634920634920635,0.301587301587302
"ARNT",0.423280423280423,0.153439153439153,0.597883597883598
"ARNTL",0.253968253968254,0.17989417989418,0.243386243386243
"ASCL1",0.931216931216931,0.925925925925926,0.962962962962963
"ASCL2",0.338624338624339,0.582010582010582,0.91005291005291
"ATF1",0.693121693121693,0.798941798941799,0.613756613756614
"ATF2",0.788359788359788,0.962962962962963,0.984126984126984
"ATF3",0.354497354497354,0.232804232804233,0.216931216931217
"BACH1",0.645502645502645,0.777777777777778,0.682539682539683
"BACH2",0.164021164021164,0.35978835978836,0.0687830687830688
"BARX2",0.735449735449735,0.830687830687831,0.867724867724868
"BATF",0.365079365079365,0.53968253968254,0.835978835978836
"BCL11A",0.407407407407407,0.0158730158730159,0.35978835978836
"BCL6",0.656084656084656,0.148148148148148,0.603174603174603
"BHLHE40",0.201058201058201,0.354497354497354,0.248677248677249
"CEBPA",0.899470899470899,0.380952380952381,0.121693121693122
"CEBPB",0.962962962962963,0.428571428571429,0.349206349206349
"CEBPD",0.481481481481481,0.296296296296296,0.735449735449735
"CLOCK",0.0476190476190476,0.0317460317460317,0.0582010582010582
"CTCF",0.671957671957672,0.412698412698413,0.433862433862434
"CTCFL",0.529100529100529,0.571428571428571,0.46031746031746
"DUX4",0.433862433862434,0.349206349206349,0.0740740740740741
"E2F1",0.216931216931217,0.423280423280423,0.37037037037037
"E2F2",0.0423280423280423,0.0476190476190476,0.0476190476190476
"E2F3",0.386243386243386,0.73015873015873,0.703703703703704
"E2F4",0.767195767195767,0.698412698412698,0.185185185185185
"E2F6",0.0317460317460317,0.343915343915344,0.71957671957672
"E2F7",0.439153439153439,0.0211640211640212,0.0529100529100529
"E2F8",0.941798941798942,0.984126984126984,0.931216931216931
"EBF1",0.793650793650794,0.867724867724868,0.428571428571429
"EGR1",0.507936507936508,0.603174603174603,0.486772486772487
"EGR2",0.317460317460317,0.375661375661376,0.291005291005291
"EHF",0.936507936507937,0.947089947089947,0.978835978835979
"ELF1",0.037037037037037,0.0846560846560847,0.037037037037037
"ELK1",0.322751322751323,0.650793650793651,0.465608465608466
"ELK3",0.994708994708995,0.243386243386243,0.619047619047619
"ELK4",0.412698412698413,0.291005291005291,0.888888888888889
"EPAS1",0.44973544973545,0.486772486772487,0.402116402116402
"ESR1",0.248677248677249,0.105820105820106,0.761904761904762
"ESR2",0.576719576719577,0.46031746031746,0.227513227513228
"ESRRA",0.0793650793650794,0.0423280423280423,0.116402116402116
"ETS2",0.894179894179894,0.936507936507937,0.894179894179894
"ETV1",0.677248677248677,0.835978835978836,0.804232804232804
"ETV5",0.513227513227513,0.529100529100529,0.455026455026455
"ETV6",0.968253968253968,0.978835978835979,0.989417989417989
"ETV7",0.417989417989418,0.772486772486772,0.396825396825397
"FOS",0.64021164021164,0.714285714285714,0.947089947089947
"FOSL1",0.571428571428571,0.677248677248677,0.275132275132275
"FOSL2",0.0158730158730159,0.132275132275132,0.00529100529100529
"FOXA1",0.71957671957672,0.957671957671958,0.968253968253968
"FOXA2",0.0582010582010582,0.0264550264550265,0.0105820105820106
"FOXD2",0.0634920634920635,0.0740740740740741,0.153439153439153
"FOXG1",0.174603174603175,0.185185185185185,0.518518518518518
"FOXH1",0.502645502645503,0.64021164021164,0.544973544973545
"FOXM1",0.80952380952381,0.656084656084656,0.857142857142857
"FOXO3",0.312169312169312,0.259259259259259,0.158730158730159
"FOXP1",0.587301587301587,0.645502645502645,0.492063492063492
"FOXP2",0.46031746031746,0.306878306878307,0.497354497354497
