"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.767195767195767,0.529100529100529,0.73015873015873
"AR",0.0529100529100529,0.396825396825397,0.174603174603175
"ARID3A",0.0740740740740741,0.259259259259259,0.111111111111111
"ARNT",0.936507936507937,0.566137566137566,0.756613756613757
"ARNTL",0.349206349206349,0.444444444444444,0.46031746031746
"ASCL1",0.724867724867725,0.888888888888889,0.708994708994709
"ASCL2",0.571428571428571,0.296296296296296,0.603174603174603
"ATF1",0.947089947089947,0.973544973544973,0.793650793650794
"ATF2",0.915343915343915,0.798941798941799,0.978835978835979
"ATF3",0.0105820105820106,0.243386243386243,0.00529100529100529
"BACH1",0.835978835978836,0.64021164021164,0.412698412698413
"BACH2",0.148148148148148,0.518518518518518,0.253968253968254
"BARX2",0.582010582010582,0.380952380952381,0.597883597883598
"BATF",0.899470899470899,0.682539682539683,0.804232804232804
"BCL11A",0.222222222222222,0.486772486772487,0.26984126984127
"BCL6",0.751322751322751,0.0793650793650794,0.455026455026455
"BHLHE40",0.867724867724868,0.746031746031746,0.62962962962963
"CEBPA",0.428571428571429,0.26984126984127,0.952380952380952
"CEBPB",0.957671957671958,0.576719576719577,0.851851851851852
"CEBPD",0.576719576719577,0.285714285714286,0.566137566137566
"CLOCK",0.111111111111111,0.201058201058201,0.0634920634920635
"CTCF",0.952380952380952,0.037037037037037,0.825396825396825
"CTCFL",0.195767195767196,0.0634920634920635,0.338624338624339
"DUX4",0.603174603174603,0.46031746031746,0.428571428571429
"E2F1",0.00529100529100529,0.80952380952381,0.0105820105820106
"E2F2",0.037037037037037,0.0158730158730159,0.0687830687830688
"E2F3",0.439153439153439,0.846560846560847,0.714285714285714
"E2F4",0.158730158730159,0.592592592592593,0.19047619047619
"E2F6",0.296296296296296,0.851851851851852,0.211640211640212
"E2F7",0.291005291005291,0.507936507936508,0.132275132275132
"E2F8",0.873015873015873,0.343915343915344,0.936507936507937
"EBF1",0.444444444444444,0.439153439153439,0.417989417989418
"EGR1",0.645502645502645,0.661375661375661,0.751322751322751
"EGR2",0.338624338624339,0.53968253968254,0.391534391534392
"EHF",0.978835978835979,0.978835978835979,0.973544973544973
"ELF1",0.661375661375661,0.0529100529100529,0.301587301587302
"ELK1",0.518518518518518,0.582010582010582,0.497354497354497
"ELK3",0.714285714285714,0.164021164021164,0.312169312169312
"ELK4",0.333333333333333,0.952380952380952,0.523809523809524
"EPAS1",0.132275132275132,0.44973544973545,0.28042328042328
"ESR1",0.587301587301587,0.0687830687830688,0.35978835978836
"ESR2",0.486772486772487,0.455026455026455,0.513227513227513
"ESRRA",0.0634920634920635,0.291005291005291,0.0476190476190476
"ETS2",0.677248677248677,0.894179894179894,0.560846560846561
"ETV1",0.619047619047619,0.386243386243386,0.788359788359788
"ETV5",0.671957671957672,0.544973544973545,0.291005291005291
"ETV6",0.962962962962963,0.613756613756614,0.968253968253968
"ETV7",0.502645502645503,0.703703703703704,0.703703703703704
"FOS",0.682539682539683,0.867724867724868,0.814814814814815
"FOSL1",0.529100529100529,0.777777777777778,0.216931216931217
"FOSL2",0.0264550264550265,0.185185185185185,0.0264550264550265
"FOXA1",0.973544973544973,0.708994708994709,0.984126984126984
"FOXA2",0.201058201058201,0.00529100529100529,0.0158730158730159
"FOXD2",0.0793650793650794,0.19047619047619,0.142857142857143
"FOXG1",0.544973544973545,0.587301587301587,0.169312169312169
"FOXH1",0.841269841269841,0.481481481481481,0.407407407407407
"FOXM1",0.433862433862434,0.666666666666667,0.645502645502645
"FOXO3",0.322751322751323,0.841269841269841,0.0899470899470899
"FOXP1",0.470899470899471,0.941798941798942,0.518518518518518
"FOXP2",0.624338624338624,0.264550264550265,0.481481481481481
"FOXP3",0.396825396825397,0.465608465608466,0.592592592592593
"GATA1",0.597883597883598,0.0952380952380952,0.698412698412698
"GATA2",0.560846560846561,0.957671957671958,0.306878306878307
"GATA3",0.116402116402116,0.306878306878307,0.37037037037037
"GATA4",0.417989417989418,0.142857142857143,0.100529100529101
"GLI2",0.402116402116402,0.328042328042328,0.285714285714286
"GLIS1",0.365079365079365,0.211640211640212,0.164021164021164
"GMEB1",0.592592592592593,0.375661375661376,0.867724867724868
"GMEB2",0.82010582010582,0.417989417989418,0.53968253968254
"GRHL2",0.0687830687830688,0.317460317460317,0.0317460317460317
"GTF2B",0.994708994708995,0.962962962962963,0.994708994708995
"GTF2I",0.354497354497354,0.534391534391534,0.857142857142857
"HEY1",0.46031746031746,0.433862433862434,0.322751322751323
"HIF1A",0.62962962962963,0.560846560846561,0.55026455026455
"HINFP",0.904761904761905,0.677248677248677,0.502645502645503
"HNF1B",0.666666666666667,0.423280423280423,0.677248677248677
"HNF4A",0.0582010582010582,0.597883597883598,0.439153439153439
"HNF4G",0.37037037037037,0.693121693121693,0.328042328042328
"HOXA1",0.788359788359788,0.402116402116402,0.846560846560847
"HOXA4",0.772486772486772,0.925925925925926,0.894179894179894
"HOXA6",0.91005291005291,0.17989417989418,0.947089947089947
"HOXB13",0.608465608465608,0.735449735449735,0.534391534391534
"HSF1",0.17989417989418,0.428571428571429,0.248677248677249
"HSF2",0.55026455026455,0.619047619047619,0.64021164021164
"IRF2",0.851851851851852,0.756613756613757,0.862433862433862
"IRF4",0.0476190476190476,0.391534391534392,0.0529100529100529
"JUN",0.253968253968254,0.968253968253968,0.957671957671958
"JUNB",0.35978835978836,0.0846560846560847,0.492063492063492
"JUND",1,1,1
"KLF1",0.0317460317460317,0.169312169312169,0.0423280423280423
"KLF10",0.28042328042328,0.698412698412698,0.423280423280423
"KLF3",0.941798941798942,0.804232804232804,0.941798941798942
"KLF4",0.968253968253968,0.994708994708995,0.915343915343915
"KLF9",0.64021164021164,0.0264550264550265,0.201058201058201
"KMT2A",0.248677248677249,0.603174603174603,0.687830687830688
"MAF",0.650793650793651,0.275132275132275,0.798941798941799
"MAFF",0.0846560846560847,0.0476190476190476,0.037037037037037
"MAFK",0.613756613756614,0.835978835978836,0.91005291005291
"MAX",0.804232804232804,0.989417989417989,0.507936507936508
"MECOM",0.777777777777778,0.714285714285714,0.777777777777778
"MEF2A",0.423280423280423,0.28042328042328,0.238095238095238
"MEF2C",0.925925925925926,0.671957671957672,0.962962962962963
"MEIS1",0.227513227513228,0.148148148148148,0.232804232804233
"MITF",0.656084656084656,0.216931216931217,0.222222222222222
"MNT",0.756613756613757,0.349206349206349,0.380952380952381
"MXI1",0.153439153439153,0.783068783068783,0.661375661375661
"MYB",0.740740740740741,0.814814814814815,0.386243386243386
"MYBL2",0.238095238095238,0.365079365079365,0.275132275132275
"MYC",0.275132275132275,0.232804232804233,0.608465608465608
"MYOD1",0.100529100529101,0.301587301587302,0.126984126984127
"NANOG",0.164021164021164,0.862433862433862,0.486772486772487
"NFAT5",0.380952380952381,0.248677248677249,0.243386243386243
"NFATC1",0.825396825396825,0.55026455026455,0.470899470899471
"NFE2",0.0158730158730159,0.105820105820106,0.195767195767196
"NFIC",0.343915343915344,0.497354497354497,0.354497354497354
"NFYA",0.73015873015873,0.82010582010582,0.349206349206349
"NFYB",0.746031746031746,0.740740740740741,0.888888888888889
"NKX2-1",0.0899470899470899,0.116402116402116,0.158730158730159
"NR2C2",0.206349206349206,0.650793650793651,0.671957671957672
"NR2F2",0.0952380952380952,0.931216931216931,0.920634920634921
"NRF1",0.317460317460317,0.608465608465608,0.296296296296296
"ONECUT1",0.44973544973545,0.253968253968254,0.317460317460317
"OTX2",0.814814814814815,0.883597883597884,0.724867724867725
"PAX5",0.285714285714286,0.492063492063492,0.153439153439153
"PBX1",0.0423280423280423,0.338624338624339,0.0211640211640212
"PBX3",0.523809523809524,0.0423280423280423,0.80952380952381
"PGR",0.878306878306878,0.333333333333333,0.666666666666667
"POU2F1",0.555555555555556,0.312169312169312,0.0740740740740741
"POU2F2",0.301587301587302,0.412698412698413,0.17989417989418
"PPARG",0.798941798941799,0.767195767195767,0.444444444444444
"PRDM1",0.185185185185185,0.947089947089947,0.582010582010582
"PRDM14",0.386243386243386,0.656084656084656,0.619047619047619
"RARG",0.126984126984127,0.121693121693122,0.185185185185185
"RBPJ",0.634920634920635,0.724867724867725,0.624338624338624
"RELA",0.783068783068783,0.470899470899471,0.925925925925926
"REST",0.492063492063492,0.936507936507937,0.878306878306878
"RFX2",0.137566137566138,0.100529100529101,0.0582010582010582
"RFX5",0.80952380952381,0.793650793650794,0.772486772486772
"RUNX1",0.216931216931217,0.634920634920635,0.402116402116402
"RUNX2",0.312169312169312,0.206349206349206,0.206349206349206
"RUNX3",0.412698412698413,0.91005291005291,0.656084656084656
"RXRA",0.497354497354497,0.227513227513228,0.465608465608466
"RXRG",0.698412698412698,0.825396825396825,0.71957671957672
"SETDB1",0.391534391534392,0.513227513227513,0.375661375661376
"SIX5",0.534391534391534,0.687830687830688,0.883597883597884
"SMAD3",0.455026455026455,0.35978835978836,0.44973544973545
"SOX17",0.26984126984127,0.222222222222222,0.227513227513228
"SP1",0.142857142857143,0.857142857142857,0.634920634920635
