"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",-0.661628474707796,-0.30127651892195,-0.371072531825724,0.544515985658187
"BCL11A",0.648680671799871,-0.33302234582982,-0.371072531825724,0.507433731050914
"EHF",-0.627715023157945,0.30322676338952,0.371072531825724,-0.471728080438655
"EPAS1",0.627389560148068,-0.333426880571099,-0.371072531825724,0.543050301156627
"ETV1",-0.616238848448361,0.310539690114377,-0.371072531825724,-0.414075275856771
"ETV7",0.34824758815436,0.309240700038351,-0.371072531825724,-0.568478393783679
"FOSL2",0.442222078920716,-0.336071769621571,0.371072531825724,0.395064652100672
"FOXM1",-0.65934844538036,0.326986554340327,0.371072531825724,-0.623336204422046
"GTF2B",-0.641289258365933,0.311296423686524,-0.371072531825724,-0.332920204907994
"GTF2I",-0.700053810317817,0.315352789185722,0.371072531825724,-0.60313200113229
"IRF1",0.658631462182943,0.333131598445971,0.371072531825724,0.487060498120327
"IRF4",-0.755421538541572,-0.328871514918989,-0.371072531825724,0.493411913423475
"KLF10",-0.667013191385364,-0.336155316247737,-0.371072531825724,-0.539312294519311
"ONECUT1",-0.715862392982224,-0.328259734808001,-0.371072531825724,0.511689496420701
"RXRA",0.671012224642091,-0.332672461142491,-0.371072531825724,0.575358783526528
"TP63",0.691507561352162,-0.300095304072794,-0.371072531825724,0.66676818701368
"ZNF143",0.570433750178148,-0.311970970623578,0.371072531825724,-0.523922408744837
"ZNF76",0.494828140249305,-0.335251604338833,-0.371072531825724,0.359761327765049
