"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.611716784261248,-0.363019209795182,-0.617547408406754
"AR",-0.628293232011169,-0.361830855799891,-0.62686028510595
"ASCL2",0.629239785857893,-0.362721995044435,0.568116190960625
"BATF",-0.542072772567008,-0.308415207983489,-0.561708736438678
"BCL6",-0.605845831531773,-0.332193836618026,-0.615139111123957
"CDX2",-0.600815150658747,-0.355224562139221,-0.611734453758586
"CEBPA",-0.610047190814015,-0.362918110797648,-0.604208543591752
"CEBPD",-0.62878728223263,-0.33084290558262,-0.623738105621781
"CTCF",0.629223038392759,-0.323495623870177,-0.623742552312013
"CTCFL",-0.629277467654445,-0.31904165973527,-0.626174288928069
"CUX1",0.480772863309283,0.353909132259113,-0.602634038411339
"DUX4",-0.629203070261252,-0.307762317195934,-0.611134979621158
"E2F1",-0.628065852965308,-0.363246117728392,0.609070735574136
"E2F2",0.629876511599633,0.312790315609102,0.563718866526601
"E2F3",0.629119332935581,0.359670685365108,0.626050686013136
"EGR1",0.625306386017799,0.362873107523792,0.619823058658891
"EGR2",0.630126113243461,0.363162423776923,0.6058746204439
"ELK1",0.519624083821063,0.353693799633965,0.623579306023144
"ELK3",-0.627089024854688,0.306311850914905,-0.624751574156605
"ELK4",0.630367663221359,0.349655434686319,-0.627051040580156
"ESRRA",-0.576263366771902,-0.362412203830012,-0.616454653124058
"ETV5",0.519709753546558,0.327442577994314,0.603947922323557
"FOS",0.581438977631667,0.360485245064898,0.625459502315124
"FOSL1",-0.613381224642285,0.306895037350248,-0.626930452370465
"FOXA2",-0.629119655002218,-0.358154009916734,-0.601427176535222
"FOXG1",-0.624749210735447,-0.363000746004905,-0.602055064269559
"FOXH1",0.521354869929363,-0.361505342898401,-0.625546551928995
"FOXO3",0.624898005521833,-0.35426845409712,-0.626582781488398
"FOXP1",0.629881020532553,-0.330618456239527,0.588084920176823
"FOXP3",-0.625380783410992,0.308429086835443,-0.581753586962244
"GATA1",-0.587691579326221,-0.346824277354747,-0.617547408406754
"GATA3",-0.63007909151443,-0.362629933026787,0.62449879112204
