"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.476383739177555,0.61351284097807,0.541698404290136
"AR",0.502013158032463,0.605320747832678,0.524738426273367
"ARNT",-0.512382415483676,0.320853826706364,0.58092906507848
"ARNTL",-0.511295440583134,-0.726092563946572,0.42756950205096
"ASCL1",0.540970338467881,-0.335682527264075,0.591751781530642
"ASCL2",-0.511572417891124,0.624335412912956,-0.455380082543383
"ATF1",0.492150189334924,-0.372581884977342,0.599446816661567
"ATF2",-0.504783897312273,-0.352181935048413,-0.524892553078879
"BACH1",0.520781269248514,0.702217921830633,0.534475547367784
"BACH2",0.51201300505081,0.41930051494284,0.532674185617889
"BARX2",-0.511649713884051,0.535066464384504,0.578355712683668
"BATF",0.568005578194156,0.717658386057632,0.581985794633531
"BCL6",0.537269470739843,0.5488484345974,0.543454545461397
"BHLHE40",0.567041954815661,-0.716816967922033,0.509942026841353
"CDX2",0.539633117790236,0.587446124344435,0.501332254772288
"CEBPA",0.534289710212492,0.622035807194395,0.555664252427902
"CEBPB",0.55501985138235,0.72666572553609,-0.522390573830678
"CEBPD",0.506526921952787,0.546655252606679,0.532664915399269
"CTCF",-0.510500258055893,0.700054743499114,0.532678104734704
"CTCFL",0.506771048463782,0.707029781378291,0.527074521365612
"CUX1",-0.546373650440144,-0.650722175961228,0.492273216254492
"DUX4",0.512218805631979,0.718131378926957,0.500724113357288
"E2F1",0.512808187578051,0.618716139081468,-0.498716771871715
"E2F2",-0.51001683603346,-0.71383932734835,-0.582078195349207
"E2F3",-0.510633593643693,-0.598381468042542,-0.526866808174418
"E2F8",-0.512344089553849,0.680688194369667,-0.518371971742715
"EBF1",0.556994441935009,0.498385185829488,0.526927479117419
"EGR1",-0.49662466112551,-0.612073852547475,-0.512363061253798
"EGR2",-0.509103777117004,-0.615593853670896,-0.495624588704706
"EHF",0.535569603028715,0.546217122988191,0.582267142000267
"ELF1",0.512383703750224,-0.735838512624744,0.55497607058872
"ELF2",0.513102556484449,0.443625238526156,0.506448812509489
"ELK1",-0.56658236572438,-0.651111935587863,-0.533007461282423
"ELK3",0.513666173099545,-0.719230448446948,0.51830172911057
"ELK4",-0.508053517813103,-0.658723349616841,0.523947744455948
"ESR1",-0.531459388604799,-0.735681769752526,-0.524349680032375
"ESR2",0.509347259494726,0.412651459533716,0.539780298079734
"ESRRA",0.4383708581224,0.607737258403791,0.50799822026876
"ETV1",-0.494437506592301,0.71608911450034,-0.544270173964696
"ETV5",-0.566745009376165,-0.691532610102504,-0.555969415966052
"FOS",-0.554195038724487,-0.600356570875012,-0.51922362597366
"FOSL1",0.47881147748875,-0.718886644520972,0.525081198259415
"FOSL2",-0.528097979112368,-0.732407897864142,-0.583495031445448
"FOXA1",-0.503003190875208,0.709749819296395,-0.535431284297218
"FOXA2",0.511659375883167,0.594330495621976,0.558430169120065
"FOXG1",0.495576656288069,0.621133269837475,0.557911715186024
"FOXH1",-0.56667093404961,0.631945954253191,0.528171195765123
"FOXK1",0.522658273610101,0.734322993378208,0.576781659709041
"FOXO3",-0.516457524644137,0.650189857976884,0.525908207275004
"FOXP1",-0.509998156168502,0.68613869374199,-0.475208401862922
"FOXP2",-0.522924944785701,0.308687314105808,-0.584224891584605
"FOXP3",0.515578282724587,-0.514763201280575,0.574654559057718
"GATA1",0.450928236306733,0.663173849576125,0.541698404290136
"GATA2",-0.501832478648995,-0.73449283544137,0.534569606171343
"GATA3",0.509596217005279,0.625409170029481,-0.531111211685028
"GATA4",-0.520989646362781,0.58519691750831,0.526854673985818
"GATA6",0.513753131091588,0.470522679535858,-0.583214889960809
"GFI1B",0.514893569053905,0.545649250689842,0.524453235157447
"GLI2",-0.370363911145036,-0.562073983783029,0.415108820873035
"GLIS1",0.515241723088716,0.618919728062657,0.537278394199164
"GMEB1",-0.565585569482254,0.691345752823782,-0.599187325907838
"GMEB2",-0.49542721736841,0.714326331966391,0.54453207648262
"GRHL2",0.500242757727788,0.541897575069311,0.533688633931917
"GTF2B",-0.494667784237898,0.433464793703856,-0.517497857957716
"GTF2I",0.529955659475724,0.710831789432876,-0.518955769412883
"HES1",0.51721212677509,0.599613651390283,-0.512939774366647
