"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.389486617728641,-0.361617913502013,-0.397588785989881
"AR",-0.379931866802901,-0.363550679857812,-0.41819783859954
"ASCL2",0.367189300302179,-0.357746865574744,0.428464643405025
"BACH2",-0.366227931390144,-0.315091421195095,-0.408072423469917
"BCL6",-0.33052265779051,-0.356029843824298,-0.394731674464139
"CDX2",-0.325516131915274,-0.363724433515891,-0.437059794153665
"CEBPA",-0.334621921948761,-0.358728434422783,-0.381260162618476
"CEBPD",-0.374563982160729,-0.35531496998567,-0.407955980479934
"E2F1",-0.363758324416113,-0.359993961569771,0.437472431933702
"E2F3",0.367914272302511,0.36413643120133,0.413492486657386
"EGR1",0.383872030042376,0.362014450864002,0.433888851812201
"EGR2",0.370505620465402,0.361041413988159,0.437912578899076
"ELF2",-0.36255894825919,-0.323023264833162,-0.436540134337527
"ELK4",0.37110691887705,0.336550175163527,-0.420991867418087
"ESR2",-0.370709488646748,-0.312672452031187,-0.400571083150809
"ESRRA",-0.387040199552488,-0.363084424853857,-0.436350057172001
"FOS",0.3055347956769,0.364005439291751,0.427151362433856
"FOXA2",-0.367016994651278,-0.364122957684489,-0.378049124697291
"FOXG1",-0.384248848007897,-0.358936105549772,-0.379008328537754
"FOXO3",0.355683791754933,-0.3427631719356,-0.414812852185874
"FOXP1",0.369456327361413,-0.310955975157471,0.436630801597688
"FOXP3",-0.356205217640556,0.346055323777386,-0.357753978270984
"GATA1",-0.389731066306274,-0.332962024576047,-0.397588785989881
"GATA3",-0.370316567349367,-0.357251328983967,0.409817259496519
"GATA4",0.350298193447715,-0.363376275005593,-0.413481633718513
"GATA6",-0.361505468288916,-0.332078227876682,0.327638957091361
"GFI1B",-0.358284801916941,-0.354995032103035,-0.418851878901853
"GLIS1",-0.358093494334445,-0.359850419775856,-0.402776113932645
"GRHL2",-0.380444274822682,-0.353827449870513,-0.406838052408465
"HES1",-0.354596172721117,-0.364108412133758,0.433471541239039
"HEY1",0.325169910280287,0.318302769589919,-0.436603292412352
"HNF1B",0.300182048166676,0.34771356307453,0.414577855912238
"HNF4A",0.342591138819577,-0.348066844755048,-0.411473990762416
"HOXA1",0.356977533436556,-0.334328367207587,0.437435426426853
"HOXA4",0.367037284849422,0.363403366010768,0.432367706914577
"HOXA6",0.380690655800138,0.364052639792142,0.420893889497713
"HSF2",0.379898049805995,0.362684965978024,0.430037038291768
"IRF2",0.35893537652408,0.340831364651443,0.42314534674028
"IRF3",0.358821687001149,0.348373820773381,0.428845777515281
"JUNB",0.369441834362739,0.348145085509427,0.414979037812355
"KLF10",0.362566033725208,0.361164002392412,-0.408797535448317
"KLF3",0.367138091706865,0.3641142529465,0.41711766971123
"KLF9",-0.378546336129677,0.36389996577565,0.408561182557322
"KMT2A",-0.364660433066904,-0.353091775473501,-0.396886133565536
"LHX2",0.379938952268919,0.3499012342819,0.411494792228587
"MAX",-0.321314128499757,-0.336639007789931,-0.36474033156708
"MECOM",0.379581780368267,0.362938380170902,-0.366206081255878
"MEF2A",0.352088883950534,0.358798692511586,0.372882070647281
"MEIS1",-0.360672603965123,-0.362022331642058,0.309393810229807
"MITF",0.343598885327369,0.309768236915866,0.343039654189191
"MNT",0.379325415325058,-0.307450741075488,0.337425293248858
"MYB",-0.370408678407606,-0.363494805628677,-0.412935595231505
