"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"E2F2",-0.547867914534172,-0.301569268664676,0.44530103369368,-0.403015391202607
"ELF1",0.376750691928032,-0.305044041202702,-0.453759962124201,0.318184996947206
"GFI1B",0.503825160572906,-0.325746466133319,0.429180146768721,-0.323671735707109
"GLI2",-0.577273189674224,-0.301513717092503,-0.448686183224177,0.313443606892175
"GMEB1",0.523758125111813,0.329053626752825,-0.449932928272706,-0.316339333984461
"GTF2B",-0.467199804962238,0.318723499662499,-0.392172334885189,-0.318020598379205
"HINFP",0.338042536473114,0.319725724015283,0.449940819064152,0.328243707821052
"MYOD1",-0.52626169437302,-0.325458939271953,-0.453586364712381,-0.407892586318272
"NFAT5",-0.501709211324818,-0.320931972435439,-0.453176043557169,0.434233692310625
"NFYA",0.531832898941675,0.30246898468531,-0.446555669533654,-0.311460898124886
"PBX1",-0.611789611783648,-0.300170307165446,-0.437181409295352,0.309657251262711
"RARG",0.501998084701112,-0.327522657556188,0.441387201136274,0.328046767924153
"SRF",-0.505249707969538,0.323881319558423,0.438712222835951,-0.34917144813651
"TCF3",-0.374495129317754,0.315625980131761,-0.453515347589363,0.349465391648147
"YY1",-0.482249809697867,0.33098607139971,0.453578473920934,0.441845938182303
"ZFX",0.518278651433142,0.328011438446974,0.433204450406376,0.481830884574835
"ZNF263",0.577457879209887,-0.313331773145366,-0.453736289749862,-0.311411381163409
