"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"BATF",0.453206897447543,0.345343773943741,-0.377220077220077,0.38895068819446
"CLOCK",0.337343242882495,-0.330270476949735,-0.377220077220077,-0.428140451727074
"EGR1",0.459965627427109,0.319067325634349,-0.377220077220077,-0.314712116460911
"LHX2",0.557190425128796,0.316457071029107,0.377220077220077,0.451986012460304
"MNT",0.387106209189848,-0.319048627992928,-0.377220077220077,0.312535434136103
"NFAT5",-0.528500255756309,-0.314149180702038,0.377220077220077,-0.316944418160733
"NRF1",0.454861251082821,-0.329605052017561,0.377220077220077,-0.36222660486823
"ONECUT1",-0.355480217182345,-0.318199570579572,-0.377220077220077,0.339319340059009
"PGR",-0.381416639120234,0.332202374383149,-0.377220077220077,0.434750359913073
"PPARG",-0.460007283008017,0.313413879100456,-0.377220077220077,0.427958637952863
"RUNX1",0.423879576850964,-0.349397223919135,-0.377220077220077,-0.449153236558879
"RXRA",0.551182167469768,-0.309168166280928,-0.377220077220077,-0.336266139393688
"SPIB",0.459284357120014,-0.338079988607566,-0.377220077220077,-0.316255871802912
"T",0.544861940863408,-0.316899969192797,-0.377220077220077,0.315786479467555
"TEAD4",0.523706504630936,0.325517905486305,0.377220077220077,0.353099846650834
"TFAP2C",0.458731860786153,0.331255704282964,-0.377220077220077,-0.449910793951427
"USF2",0.442350691617016,0.309257228433445,0.377220077220077,0.345966295245237
