"","ND251_34","ND251_LMPP"
"AR",-0.360277036288868,0.314786146376749
"BCL6",-0.328661843891625,-0.408433952340546
"CEBPD",-0.387327426199081,0.374212424606349
"CLOCK",0.369802782168412,-0.387525669916187
"CTCFL",0.325015248801411,-0.444865664463933
"CUX1",0.35498029133409,0.361907441444669
"DUX4",-0.353508536049478,-0.408521218865459
"EGR1",-0.365350788018705,0.372582638913819
"ESR1",-0.316024686661726,-0.359463958650558
"FOS",0.347542811419877,0.392147688079266
"FOSL1",-0.374454158495714,0.354946549725455
"FOSL2",-0.35553121577218,0.321550074861169
"FOXO3",-0.306066071580825,0.346547018510962
"GATA1",0.381568954096189,0.38129516353095
"GMEB1",0.303348177686249,-0.398818903264925
"HEY1",-0.312186579743033,-0.375041107034861
"HIF1A",0.367391831889343,-0.384892672399238
"IRF1",-0.368640593949013,0.371627212420739
"KLF1",-0.359287995750011,-0.329156430595851
"KLF9",-0.340490978612326,-0.359620725132827
"MAF",-0.348930616313922,-0.364269456481821
"MNT",-0.342985879281962,-0.406797517735129
"MXI1",0.329359681513206,-0.431031167037981
"MYBL2",-0.33570055945065,0.357607769496477
"MZF1",0.353272425576011,-0.371897553028932
"NANOG",0.300687999685186,-0.436144940454686
"NKX2-1",0.336052101711145,-0.32479170672655
"NRF1",-0.353634461635327,0.32563437757135
"OTX2",-0.314036111785192,-0.358590624125439
"PBX3",0.388439768874081,-0.41586389569355
"RARG",0.349502528349653,0.39404267575323
"TBP",0.377082855100314,0.318853626448204
"TFAP2C",-0.346782011005372,0.319524408461877
"ZBTB33",0.355612542713041,0.392966897116234
"ZNF250",-0.335787133290921,0.356036051260695
"ZNF263",-0.360594473703196,-0.397526675657132
