"","ND251_34","ND251_LMPP"
"CTCFL",0.590781197735963,-0.379036420759966
"EBF1",0.449361517927999,0.350325642711295
"ELK3",-0.38552773970132,-0.308478826764134
"ETV7",0.316714653934191,-0.300486478432716
"FOS",0.590209285700232,0.307634022640047
"GATA2",-0.555978513946915,0.326413406043625
"MXI1",0.582108073010605,-0.3270127856267
"NANOG",0.579075365151406,-0.418092540653887
"NKX2-1",0.587134602645749,-0.304204218561697
"PBX3",0.579453141908953,-0.306969908113243
"SIX5",-0.594551094962321,0.314396380549719
"ZNF250",-0.452834965337671,0.417008310504264
"ZNF263",-0.567091446898099,-0.303010383354621
