"","ND251_34","ND251_LMPP"
"BACH2",0.358120560631202,0.485985808973956
"CEBPD",-0.327355365938441,0.488559534459172
"ELK1",-0.312260036334778,-0.420319868858445
"FOSL1",-0.317137029336726,0.399457619711719
"FOSL2",-0.374076381738167,0.461745459603363
"FOXA1",-0.311034885322455,-0.303851207097712
"GATA1",0.302146637721272,0.492339563842155
"GATA4",0.343967049471703,-0.351552437423684
"GTF2I",-0.363879032734094,-0.477140304881096
"HES1",0.325175279233428,0.389607239434764
"HOXB13",-0.318511716982246,0.401717829284016
"NRF1",-0.389528500501735,0.464091921738313
"ONECUT1",-0.38973312957874,-0.34799990280578
"PBX3",0.318446130739616,-0.496565185487039
"PGR",0.328575270051354,-0.460559404501487
"RFX2",-0.333515225846227,-0.400856038095019
"SMAD3",0.364673937994766,0.415338624876562
"STAT3",0.351207770658027,0.42747404797089
"STAT4",-0.302503426881177,0.451679244822832
"TAL1",-0.313073305743387,-0.351718636495413
"TBP",0.310098313777702,0.452001869953463
"THAP1",0.341201933482433,0.312001610525281
"ZBTB33",0.302018088685717,0.495520771473643
