"","ND251_34","ND251_LMPP"
"AHR",-0.338704409363092,-0.506867743604205
"AR",-0.644451731804737,0.418063468495721
"ATF1",-0.622107810665635,-0.345831704979977
"BACH1",0.566732034288488,-0.314115791871488
"BARX2",0.553087472371795,0.494832224719371
"BCL6",-0.573411337237901,-0.497606314019118
"BHLHE40",0.632877071705439,0.36639980824238
"CEBPD",-0.628259800224305,0.503846098311284
"CLOCK",0.649394311049314,-0.539360044265999
"CTCFL",0.543737497622499,-0.576349476434649
"CUX1",0.641416400495832,0.498942369156011
"DUX4",-0.620667536777486,-0.547645836928256
"E2F1",-0.525475664224672,-0.50740507478672
"E2F4",-0.484914508332732,-0.384659293608119
"EGR1",-0.647544779007156,0.355621804134829
"EGR2",-0.507365990909747,-0.518669428785122
"EHF",0.626798538738514,0.504469517021153
"ELF1",-0.434499675348099,-0.519874297302078
"ELK1",-0.619245627037273,-0.490156322835718
"ELK4",-0.585051583579828,0.442194199106684
"EPAS1",0.623579565950246,0.449712893693304
"ESR1",-0.566467065868264,-0.518838337237088
"ESR2",0.629812882449777,0.494876501680391
"ESRRA",-0.505101953814168,-0.350565411238277
"ETV6",-0.328869096418335,-0.436026938998051
"ETV7",0.532745243357753,-0.373554157871001
"FOS",0.602282401243515,0.410936209624548
"FOSL1",-0.614386998183261,0.307129634526895
"FOSL2",-0.593672239311082,0.489499774659829
"FOXA1",-0.617435446740692,-0.36337228196835
"FOXM1",0.626016750726368,-0.426546028908155
"FOXO3",-0.548979150133468,0.475315049188284
"FOXP3",0.334438680142453,-0.493507636795308
"GATA1",0.648032740652321,0.521838915256475
"GATA4",0.437249050639138,-0.492009347696763
"GLI2",-0.411187701267782,-0.484753297348939
"GMEB1",0.541767286893901,-0.444175047765083
"GTF2I",-0.337122469190863,-0.509169368510699
"HES1",0.633173521522126,0.473458706569644
"HEY1",-0.548412484997147,-0.534988624591861
"HIF1A",0.64671314545061,-0.482373010894553
"HINFP",0.649016534291767,0.494676417390592
"HNF1B",0.586819788681126,0.483420874206594
"HNF4A",0.428906480576634,-0.339719488101914
"HNF4G",0.641180290022365,0.400883539309262
"HOXB13",-0.583983839549816,0.480062790145834
"HOXC6",0.531047871398495,0.497592855420948
"HSF1",-0.509039751821658,-0.497305994840241
"HSF2",-0.642053898774193,-0.395367408007056
"IRF1",-0.63752320113333,0.52673108524198
"IRF2",-0.597452630336261,0.405439415465677
"IRF3",-0.590366692682543,-0.448880319233077
"JUNB",-0.63717952922195,0.495314213659022
"KLF1",-0.635579224901785,-0.533505572940593
"KLF5",0.643711918987873,-0.370665391571063
"KLF9",-0.592116533635905,-0.470528820293885
"KMT2A",0.453708574089499,0.40408303419163
"LHX2",0.479987669786386,0.517883293187431
"MAF",-0.634666264404379,-0.502903485499837
"MEF2C",-0.314274845708364,-0.489809447868927
"MNT",-0.593092456926235,-0.468821500896169
"MXI1",0.600881479100944,-0.529259501534326
"MYBL2",-0.598376084632487,0.485943867475559
"MYC",0.4875773097835,0.529848419949918
"MZF1",0.616260141272767,-0.511552012960204
"NANOG",0.491192423477251,-0.533659357216742
"NFIC",0.525027054325085,0.328229937043905
"NKX2-1",0.590873018475645,-0.545059420776647
"NR2F2",-0.580827829554473,-0.481602617593816
"NRF1",-0.574164267303291,0.487526913466299
"ONECUT1",-0.620990221091224,-0.462792998325683
"OTX2",-0.548370509801864,-0.361201389377981
"PBX1",-0.595217451187439,-0.438305524124248
"PBX3",0.647576260403618,-0.497206482208966
"PGR",0.427466206688485,-0.495045413786276
"POU2F1",-0.515002853001554,-0.332256361083105
"POU2F2",0.520719349909163,-0.469227699658532
"PPARG",0.353374740114514,0.509281697868539
"PRDM14",0.594225787198877,-0.393094521775053
"RARA",0.647156508450787,0.421037734042206
"RARG",0.640372267513166,0.460664337720197
"RBPJ",-0.321764794616681,-0.468341379108644
"RELA",-0.637562552878908,0.467544418778715
"REST",0.604669740475238,0.430586762299446
"RFX2",-0.642822569537814,-0.490569305096951
"RUNX3",0.356824576476838,-0.300712509148878
"SMAD3",0.422854182106761,0.466139638315094
"SOX17",-0.643864079070774,-0.337693427079473
"SPDEF",0.607201369440746,-0.504081832052589
"SREBF1",0.442506443848338,0.511123923574772
"SRF",0.549189026109883,0.332634101913682
"STAT3",0.644968551396659,0.505676348910077
"STAT4",-0.547292271973031,0.491680021889405
"STAT5A",0.426891671203048,-0.467331504364651
"TAL1",-0.646149103763994,-0.463175677426512
"TBP",0.61568035888792,0.519708811962343
"TCF12",0.487362186907674,0.362706152001347
"TCF3",0.615192397242754,0.4231112052604
"TCF4",-0.600393517455779,0.360459132464243
"TCF7L2",0.483059729391163,-0.40619383140073
"TEAD4",-0.405597129946023,-0.452851276187212
"TFAP2C",-0.613854437893108,0.513879911364474
"TP63",-0.624180335932735,-0.396335165864586
"USF1",0.514202700841472,-0.4184491194499
"VDR",-0.497061080467761,-0.509154774761986
"VEZF1",0.30709971076467,-0.509411935078767
"YY1",-0.603767273776653,-0.312026678230099
"ZBTB33",0.637843261997364,0.509527566969543
"ZBTB7B",-0.528348341651855,0.325205916095262
"ZFX",0.612078362442694,0.487401785042498
"ZKSCAN1",-0.540227321916955,-0.444798770968123
"ZNF250",-0.59875648483974,0.41565361636339
"ZNF263",-0.644811144414348,-0.428980295302958
"ZNF384",-0.548698441015013,0.434382644205911
"ZNF76",0.378517882089053,-0.465080711548168
