"","ND251_34","ND251_LMPP"
"CLOCK",-0.443374741200828,-0.318620027675511
"E2F2",0.308551874856223,-0.325866240874789
"E2F4",-0.432568438003221,-0.320428655814824
"ETV7",0.309960892569588,-0.324859689828012
"HINFP",0.338167126754083,0.314342132338167
"HOXA4",-0.318228088336784,0.321522400750424
"IRF1",0.483600759144237,0.321840143927003
"MYC",0.306898435702784,0.302564804490976
"RUNX3",-0.362131930066713,0.308860962351991
"SPIB",-0.364242581090407,0.306969097547272
"TAL1",0.332125603864734,-0.313187049746232
"TBX21",-0.463262019783759,0.324702480680328
"ZNF250",-0.340496319300667,0.309609434113076
"ZNF76",-0.307174488152749,-0.323118457442232
