"","ND251_34","ND251_LMPP"
"AR",0.324890729238555,0.491551946477816
"ARID3A",-0.323516218081435,0.478550899174903
"ARNT",0.552150908672648,0.53377431529126
"ATF1",0.722440763745112,-0.318871067069524
"ATF2",-0.641551644812514,-0.465240664266983
"BACH1",0.468636415919025,-0.453118525483733
"BACH2",-0.698835403726708,0.49670661710435
"BCL11A",-0.58645042558086,-0.598706959567577
"CDX2",-0.405388773867035,-0.392652501572581
"CEBPA",0.575345065562457,0.501120982336593
"CEBPD",0.696670117322291,0.50574553987501
"CLOCK",-0.581823671497585,-0.555110359985947
"CTCFL",-0.637011157119853,0.355899560501828
"CUX1",0.657375776397516,0.530087983484553
"E2F1",-0.372219346675868,-0.550010840878498
"E2F2",0.521486082355648,-0.597660316730597
"E2F3",0.715668852081896,-0.496693710482194
"E2F4",-0.587658155049459,-0.626637565242878
"E2F6",0.713503565677479,0.518447887763474
"E2F8",0.549203473659995,-0.46097744592508
"EBF1",0.586792615596963,0.531682697373648
"EGR1",-0.39462272831838,0.577750121434665
"ELF1",-0.322949735449735,-0.585232995638558
"ELK1",0.581792040487693,-0.415379174020187
"ELK3",-0.623619737750173,-0.398328807833958
"ELK4",-0.468078559926386,0.532207962504844
"EPAS1",0.471161145617667,0.405226263043006
"ESR2",-0.391882332643202,-0.457441648080521
"ESRRA",-0.540387048539222,0.41580624028941
"ETV4",-0.336565447435013,0.453618301399774
"ETV5",-0.361001840349666,0.475802143654874
"ETV7",0.365585461237635,-0.616557146198202
"FOS",0.687692661605705,-0.520938954127067
"FOSL1",0.545479641131815,0.538544114623747
"FOXA1",-0.388008971704624,0.614437883185279
"FOXH1",-0.342238900391074,-0.459157808652472
"FOXO3",0.647667931907062,0.481151119914104
"FOXP2",0.328536922015183,-0.484835800605048
"FOXP3",0.721069128134346,0.389622158243489
"GATA3",-0.614343225212791,0.480255812098515
"GATA6",0.364107430411778,-0.617322980560155
"GFI1B",0.616655164481251,0.486725960674342
"GLIS1",0.536082355647573,0.500875691802251
"GMEB1",-0.385829307568438,-0.465540904784444
"GRHL2",-0.455705083965954,-0.561084101439597
"GTF2B",0.443823326432022,-0.46801867578334
"HEY1",0.447029560616517,0.311659247184769
"HIF1A",0.639012537382103,-0.485101836401275
"HINFP",0.38970554405337,0.538648811633928
"HNF4G",0.565318035426731,0.516028544629835
"HOXA1",-0.428347135955832,-0.359215058734144
"HOXA4",-0.347682309638831,0.568676475311225
"HOXB13",0.481547619047619,0.515889701602705
"HOXC6",-0.40716011042098,-0.354165827010512
"HSF2",-0.627662755923625,-0.504413024740722
"IRF1",0.678358638141247,0.569677378728552
"IRF2",0.659362778927996,0.627394051294306
"IRF3",0.62941108810674,-0.542035315702116
"JUND",-0.498700253048079,-0.379565193640287
"KLF3",0.559011962272832,0.607205298162386
"KLF5",-0.712543133195307,-0.621725187534302
"KMT2A",-0.695054060271452,0.480948181516012
"LHX2",0.51387451115712,0.549000366813949
"MAFK",-0.605213365539452,-0.50669436889465
"MEF2A",-0.432042213020474,-0.54371975700901
"MEIS1",-0.42795318610536,0.52085764268483
"MITF",0.712755923625489,0.410217926202669
"MNT",0.662942834138486,-0.590303114531281
"MYBL2",0.619746376811594,0.465476124376091
"MYC",0.342238900391074,0.631112013616288
"MYOD1",-0.712425235794801,0.418408253127103
"MZF1",-0.707407407407407,-0.490547516181073
"NANOG",0.509704968944099,-0.448531574279344
"NFATC1",0.479836668967104,-0.534810433420846
"NFYA",0.363566827697262,-0.601269395086468
"NKX2-1",-0.315470439383483,0.433956830145432
"NR2C2",0.397926731078905,-0.61783839030524
"NR2F2",-0.335323211410168,-0.495748875202809
