"","ND251_34","ND251_LMPP"
"ARNT",0.445005175983437,0.580457420241408
"ATF1",0.731559121233034,-0.385339064385885
"ATF2",-0.602717391304348,-0.515448197143769
"BACH1",0.365852887048539,-0.504967558175919
"BACH2",-0.712790430181734,0.544220291752366
"BCL11A",-0.493656544743501,-0.635720666065151
"CDX2",-0.306053025074764,-0.343571645216072
"CEBPA",0.609575569358178,0.548339827199866
"CEBPD",0.689659535311709,0.552709727635502
"CLOCK",-0.485167931907062,-0.534227426216877
"CTCFL",-0.695836208879687,0.419119642781003
"CUX1",0.597616172072694,0.576679505129067
"E2F2",0.485524499654934,-0.588885096906731
"E2F3",0.676084080975385,-0.544201252612618
"E2F4",-0.496422820335864,-0.632079507666687
"E2F6",0.687244076374511,0.564944525487744
"E2F8",0.42894237405107,-0.511727677255982
"EBF1",0.494110881067403,0.578295744769866
"EGR1",-0.306550494593973,0.619500572590896
"ELK1",0.64629917184265,-0.471784426913687
"ELK3",-0.52914653784219,-0.350040824940844
"ELK4",-0.392379802162411,0.578841694840891
"EPAS1",0.361047849091327,0.462911916688456
"ESR2",-0.490559581320451,-0.508652353040187
"ESRRA",-0.41879169542213,0.472184308708267
"FOS",0.628712330342765,-0.56736767631094
"FOSL1",0.631078904991949,0.585175890536264
"FOXO3",0.654603749712445,0.529665564390851
"FOXP3",0.667169887278583,0.340141451755384
"GATA3",-0.532358523119393,0.528847932974191
"GFI1B",0.672808833678399,0.534849698559379
"GLIS1",0.4545692431562,0.548104141980603
"GRHL2",-0.332407407407407,-0.605470105685354
"GTF2B",0.355394524959742,-0.517903442338533
"HEY1",0.504727398205659,0.378708361904143
"HIF1A",0.556239935587762,-0.533293960154437
"HINFP",0.317650103519669,0.514007326843996
"HNF4G",0.464702668507016,0.562635160900611
"HOXA1",-0.320634920634921,-0.422121990176143
"HOXA6",-0.320514147688061,-0.325312577468312
"HOXB13",0.401245111571199,0.562500214081407
"HOXC6",-0.318987232574189,-0.417563449995659
"HSF2",-0.574514032666207,-0.551422934817895
"IRF1",0.604931561996779,0.552659124311695
"IRF2",0.669185645272602,0.650535849080288
"IRF3",0.679543363239015,-0.588430246639488
"JUND",-0.554353577179664,-0.440229132392867
"KLF3",0.632634575569358,0.641502350214622
"KLF5",-0.690234644582471,-0.649258920893562
"KMT2A",-0.729126409017713,0.529472697244207
"LHX2",0.413072233724408,0.594741170477576
"MAF",-0.305489417989418,-0.516244621984563
"MAFK",-0.676089832068093,-0.553610774603859
"MECOM",-0.57724292615597,-0.330245536113573
"MEF2A",-0.337200943179204,-0.589948075481971
"MEIS1",-0.346831147918104,0.567281795641559
"MITF",0.732439038417299,0.46729200277958
"MNT",0.643762939958592,-0.629450738155691
"MXI1",-0.33531746031746,0.410577300702074
"MYBL2",0.60095180584311,0.515645196933325
"MYOD1",-0.676386013342535,0.474432493955728
"MZF1",-0.67168449505406,-0.538430195556361
"NANOG",0.430273752012882,-0.500880621402142
"NFATC1",0.403485162180814,-0.581509886820811
"ONECUT1",0.324861973775017,0.496832266285538
"PBX3",-0.316278467908903,0.560263687643393
"POU2F1",-0.570560156429722,0.557442314923911
"PRDM1",-0.485150678628939,-0.550952422525062
"RARA",-0.671417069243156,0.557218705915419
"RARG",0.309989648033126,0.521236092160248
"RFX2",-0.373984932137106,-0.617320418443733
"RUNX3",-0.31122325741891,0.645634725953061
"RXRA",0.662129054520359,-0.634842418777497
"RXRG",0.715553830227743,-0.539376092366469
"SETDB1",0.328229238555325,-0.649532120923643
"SIX5",0.317814009661836,-0.551831448222275
"SNAI2",-0.599114331723027,0.572713500797878
"SOX17",0.306429721647113,0.424773545731808
"SP1",0.467325166781689,0.539976388968314
"SP4",-0.628229238555326,-0.480726666965542
"SPIB",-0.432942259029216,0.646710869772875
"SREBF1",0.559032091097309,0.592169736100135
"STAT2",-0.687985967333793,-0.482595235876793
"STAT3",0.688589832068093,-0.462692338168178
"STAT5B",0.46962272831838,0.548541449605097
"TAL1",0.375632620197838,-0.50873902922195
"TBX21",-0.448409822866345,0.616350515510554
"TCF3",0.5778697952611,-0.363288610972712
"TEAD4",-0.623073383942949,-0.440571123905506
"TFAP4",0.400902921555095,0.587597349797832
"TFDP1",-0.5175983436853,0.545702147811519
"TP63",0.498544973544974,0.445842653498834
"VDR",0.390737865194387,-0.649509331643305
"VEZF1",-0.594145387623649,0.490567538096465
"XBP1",0.305138601334254,-0.483454505040176
"YY1",-0.320689556015643,-0.436062434293504
"ZBTB33",-0.402599493903842,0.496631238781199
"ZBTB7B",-0.570706809293766,0.554633459852925
"ZFP42",0.482479296066253,-0.527646720602088
"ZKSCAN1",-0.42252990568208,0.490013427205506
"ZNF143",0.382965263400046,0.575798695191416
"ZNF250",-0.325278927996319,0.493372594029584
"ZNF263",-0.568509891879457,-0.616052301677567
"ZNF384",0.622262479871176,0.640551668774261
"ZNF76",-0.61521164021164,-0.561493820888947
