"","ND251_34","ND251_LMPP"
"BATF",0.38046066252588,0.304828485589041
"BCL11A",-0.622256728778468,-0.333580539383835
"CDX2",-0.521227283183805,-0.333151824310041
"CLOCK",-0.632226247987118,-0.40535294180294
"E2F2",0.467005981136416,-0.417668183012186
"E2F4",-0.618673798021624,-0.415376688564012
"EGR1",-0.502415458937198,0.301592760007144
"ELF1",-0.465688980906372,-0.312877455371386
"ELK3",-0.660895445134576,-0.335945702623623
"ETV7",0.492365424430642,-0.418730168467982
"FOXA1",-0.521138141246837,0.359672413178167
"FOXP1",0.364432367149758,0.417170868978159
"FOXP3",0.669202898550725,0.331619554213905
"GATA6",0.471270416379112,-0.418593120775013
"GLI2",0.42780940878767,-0.411101367894866
"HINFP",0.492204393834829,0.398990639930129
"HOXA4",-0.510458362088797,0.409848757611195
"HSF1",0.416793190706234,-0.33600366686371
"IRF1",0.660280078214861,0.410253345224325
"IRF2",0.51725040257649,0.385809379720552
"KLF10",0.352081895560156,-0.306085100244452
"KLF4",-0.483833678398896,0.381936466285741
"KLF5",-0.60268863584081,-0.37302327838409
"MNT",0.551268115942029,-0.320708751980391
"MYC",0.492583965953531,0.39874205918246
"NFYA",0.521765010351967,-0.337778106922374
"NR2C2",0.526627559236255,-0.365669053924905
"OTX2",0.499157464918335,0.365397510095242
"RARA",-0.328223487462618,0.411390088043298
"RFX5",0.548432827237175,0.304123482270077
"RUNX3",-0.554480101219232,0.40483531886013
"RXRA",0.318041177823787,-0.331763653816752
"SPI1",0.396414193696802,0.397447334815344
"SPIB",-0.538943524269611,0.402999771802119
"SRF",0.362617897400506,-0.344514464171611
"TAL1",0.511131239935588,-0.397363934979764
"TBX21",-0.658103289625029,0.418616718972646
"TFAP4",0.47714515757994,0.417454183247853
"TP63",0.614400736139867,0.375064048222639
"USF1",-0.487960087416609,-0.302957379451123
"VDR",0.518826201978376,-0.395593201149036
"ZFX",-0.482798481711525,0.396994635574807
"ZNF250",-0.525201288244767,0.39225351397834
"ZNF384",0.671695997239476,0.344922394231013
"ZNF76",-0.371388313779618,-0.412388744057254
