"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.348253699969647,0.689523318101275,-0.540323045316079
"AR",0.359411229066251,0.632730465095929,0.53816295526641
"ARNT",0.357935145523953,0.735384830216655,0.541369794003511
"ASCL2",0.338514319395763,0.648685906829289,-0.503595532151038
"ATF3",-0.545611863076878,0.680042948080051,0.427112506985934
"BACH2",0.38103106702452,0.59168684332382,0.541263056808432
"BCL11A",-0.383528570151122,-0.737934752680906,0.546558670035658
"BCL6",-0.391673478229657,0.599742379916735,0.543117733645044
"BHLHE40",0.349719707856366,-0.340986290395757,-0.537339599027086
"CDX2",0.352843161085803,0.48443478780955,-0.538176179343676
"CEBPA",0.352690766795173,0.676239889428292,0.546209019135555
"CEBPB",-0.348092489480386,0.726069782794488,-0.538938767799372
"CEBPD",0.366682074023323,0.643907589059382,0.505993970450484
"CTCF",-0.358622809017208,0.566347928942315,0.596365267905637
"CUX1",0.349719707856366,0.642391913463012,-0.536558906179895
"DUX4",-0.358197112569002,0.643959666641093,0.537337395014208
"E2F1",0.364193387095352,0.634031761067642,0.541514471705985
"E2F2",0.365305487579865,-0.748843873927945,-0.582600735195724
"E2F3",-0.367937752599834,-0.598320576439734,-0.538959076203745
"E2F4",-0.303594616073441,0.608045470577933,-0.547780637746869
"E2F6",0.371640556025053,-0.60407786443094,-0.542225895577018
"E2F8",-0.301963619326619,0.523589852675218,-0.450367834006344
"EBF1",-0.35198798981855,-0.468613763171903,0.530266134554986
"EGR1",-0.363257610583469,-0.612896436715253,-0.538080147354004
"EGR2",0.340427434498793,0.643157457672238,0.541907415716186
"EHF",-0.423555371394962,0.302728053536543,-0.334869845168095
"ELF1",-0.328111205010623,-0.765546346633157,0.334152596405885
"ELK1",-0.379815691070324,0.676567838204621,-0.538631622861911
"ELK4",-0.38103106702452,0.706861098783046,-0.541380184349934
"ESR1",0.352640388517279,0.723794411499557,0.612469202855771
"ESR2",0.452846561619561,0.656763893247478,0.540254248628396
"ETS2",0.32328244707447,0.640824615952028,-0.543989420738187
"ETV1",-0.348754963834694,-0.517204852724918,0.537986004518226
"ETV5",0.334259873827603,-0.671039083703641,0.543019182783511
"FOS",0.535921601323941,-0.685276331653265,-0.538442392613408
"FOSL1",0.328437404359988,-0.724235281158906,0.549102888044017
"FOSL2",-0.434871592066933,-0.739128638053141,0.538045355436434
"FOXA2",-0.39130067897324,0.599565116021205,0.538295510898056
"FOXG1",0.479892140107029,0.559530482127543,0.53987326925953
"FOXH1",-0.413371402518662,0.729290484804799,-0.600389165702411
"FOXK1",0.36023491390982,-0.626538193536829,0.429277162490849
"FOXM1",0.41676060116399,0.767018940549762,0.543082154580017
"FOXO3",0.359491834310882,0.628035553194981,-0.54399477334089
"FOXP1",-0.366546052673008,0.768941442306054,0.55278972929999
"GATA1",-0.363978019957355,0.740290753563829,-0.53480703080108
"GATA2",-0.538458147615911,0.373144262868466,0.612052172133406
"GATA4",0.364404975862508,0.638114683873107,0.306472241244952
"GATA6",-0.537880056877076,0.421173914188059,-0.454207224439354
"GFI1B",0.367525910178049,0.617421276744629,0.548144457301186
"GLI2",-0.353043414740432,-0.760632240068651,0.538150990625074
"GLIS1",-0.366617841719008,0.641896133569799,0.533072472666305
"GMEB1",-0.444226838271874,0.704182494991373,0.543899371069182
"GMEB2",-0.409792025874283,0.681731537595345,0.506232476129753
"GRHL2",-0.484787649261391,0.61888780136342,0.537898473721082
"HES1",-0.517018412001113,-0.681925999400549,-0.54029455057816
"HIF1A",-0.366717338817848,-0.694538545180295,-0.548206484520745
"HINFP",-0.414003649906233,0.754552320983102,-0.539525664942814
"HNF4A",-0.448200424940774,-0.677008923953521,-0.562414810966538
"HNF4G",0.467045679244024,-0.708986771692953,-0.540153336324494
"HOXA1",-0.361273965891387,0.752667028907915,0.60873780905377
"HOXA4",0.341005525237628,-0.629114610459031,-0.530175455168017
"HOXA6",0.38362932670691,-0.481569524924492,-0.509114537826371
"HOXB13",0.448723099573926,0.766940988593159,-0.608779370439464
"HSF2",0.352789004437067,0.768872195000263,-0.538132413945104
"IRF1",-0.354841919261253,0.670097398325028,-0.538070071866563
"IRF2",-0.358074945245109,-0.562036853152137,-0.537842586251682
"IRF4",0.353537121863795,-0.698473352691575,0.418320384757677
"JUN",0.357200882123646,0.669712289164949,0.542425358742453
"JUNB",-0.364732434668819,-0.673335819678494,-0.541963303185586
"KLF10",0.360800410079182,0.602562912264805,-0.541523130328004
"KLF3",-0.362537201209582,-0.568217610896265,0.541970230083201
"KLF9",-0.359061100034887,-0.536310288209532,-0.546543871663479
"KMT2A",0.360145492466558,0.636427912328599,0.538254264371345
"MAFF",0.355358296609668,0.62599360089316,-0.546891633409687
"MAFK",0.353198327944957,0.674947476616151,-0.5673420391842
"MAX",0.464894526777944,0.744268060252607,0.580122795003188
"MECOM",-0.358921300313731,-0.511217006578349,0.564091592478019
"MEF2A",-0.313223164435958,-0.63042367625937,-0.604673924166214
"MITF",-0.352998074290327,-0.648821009774444,0.445537897214285
"MNT",-0.351314180351716,-0.632173870087,0.541457324800655
"MXI1",-0.352879685337276,0.54802729782253,0.577637298195071
"MYBL2",-0.432653688382643,-0.692124157840301,0.52819215843704
"MYC",-0.504593869215472,0.705422445018692,0.542624349619414
"MYOD1",-0.352020735699181,-0.428177376525163,-0.552023992254469
"MZF1",0.352020735699181,-0.567521267016841,-0.540145622279422
"NANOG",0.363693382687253,0.645531022877551,0.545937295833628
"NFATC1",0.536259135785832,0.726965732349942,-0.535868420431199
"NFIC",0.360902426091918,-0.762115591486801,0.533356003180076
"NFYA",0.320404587949768,0.700669912369299,-0.53879566439181
"NKX2-1",-0.533793119082914,-0.73058666509128,0.536444769798726
"NR2C2",-0.477898419759368,0.750463742268527,-0.537878952464165
"NR5A2",0.312869257033752,-0.611306928956539,-0.541410253382766
"NRF1",-0.371839550222735,-0.481712656066215,-0.597696176824804
"ONECUT1",0.336990376489465,0.636464849548966,-0.570974567265686
"OTX2",-0.407841127062833,0.745358382358885,0.566629513306728
"PAX5",-0.542450626139021,0.601959205036232,-0.53403767287726
"PAX6",-0.366823133201426,-0.641667200783665,-0.578061885533017
"PBX1",0.352513183365596,-0.766722949538937,0.529564156453428
"PBX3",0.365305487579865,-0.637069007747036,0.463547831015184
"POU2F1",0.35110762941235,0.335575755669387,-0.538117300713943
"POU2F2",-0.367382332086051,-0.478692762317259,0.53806723813572
"PPARG",-0.349761269935629,-0.719559760946331,-0.531998173817901
"PRDM1",0.365245033646392,0.624750174642635,0.601890413331129
"PRDM14",-0.371363475496635,-0.559734714938517,0.54193150242835
"RARA",-0.352945177098539,0.733712917177554,0.540081863335459
"RARG",-0.365603978876388,0.619399388677024,0.541770294629293
"RBPJ",0.363630409839885,0.712891434711915,0.61002180398454
"RFX5",-0.353226035997798,-0.615130168493291,-0.584172353807039
"RUNX1",-0.355982987255555,0.609322292059233,-0.61211986681465
"RUNX3",0.399118128245463,-0.650014087159664,0.6094835525539
"RXRA",-0.400843584263337,-0.599219504272908,-0.519720877511984
"RXRG",0.449108493399816,-0.61312540238458,-0.531120032115616
"SETDB1",-0.350660522196039,0.743698067691536,-0.462958572429373
"SMAD3",0.356941433992491,-0.68731064565923,-0.547780637746869
"SOX17",0.31026721898052,-0.743173665328058,-0.572571846884077
"SP1",0.445745743350382,-0.740236937870515,-0.580168921844129
"SP2",-0.304826364967953,-0.703483990216442,0.540151289741107
"SP4",0.342549619455083,0.467256946278465,0.383010209302509
"SPI1",0.353669364843267,-0.756542580906324,-0.526561346337009
"SPIB",0.363012016478735,0.659270034089724,0.580122480144205
"SREBF1",-0.531175967546313,0.619756246477153,0.541182452908903
"SRF",0.359318029252147,-0.577283135956198,-0.54520288725687
"STAT1",-0.347938835732809,-0.619831873122288,-0.541457324800655
"STAT2",-0.525478184316486,-0.643059569105786,-0.54147416975622
"STAT3",0.536022357879729,0.469424178846085,-0.525417306223975
"STAT4",-0.359637931316775,0.640091635498568,0.54131374910462
"STAT5A",0.363630409839885,0.679477488701946,0.541592084445179
"STAT5B",0.36725890530521,-0.581853025959289,0.540177580466149
"T",-0.364461651425138,0.636995283629467,-0.563683535236656
"TBP",0.357333125103118,-0.559490308261515,0.5385867554569
"TBX21",0.353824278047791,0.696760814816949,0.53835690839965
"TCF12",0.364344521929035,-0.668855893392465,0.571163325225715
"TCF21",-0.339734733177748,-0.768089377719781,0.400738501743532
"TCF4",-0.342549619455083,0.716261426416143,0.53976259632717
"TCF7L2",-0.363449048039466,0.668488005630054,0.54204705567494
"TEAD4",0.367941530970676,0.757710873759602,0.562907407844712
"TFAP2A",0.347974100527335,-0.670578221063256,0.509970954258861
"TFAP2C",-0.526236377398793,-0.768275505984488,0.5364452420872
"TFAP4",0.344646615272427,-0.593824692410148,-0.544069867208224
"TFDP1",0.366988122061529,-0.750524458734666,-0.575727206177533
"THAP1",-0.380692273105682,0.596691726290002,0.542711880416558
"TP63",0.424096937882324,0.449402129068335,0.53194700923324
"USF1",-0.364705986072925,-0.762477630738547,-0.540273140167348
"USF2",0.358197112569002,-0.680297515663533,0.539237411544305
"VDR",0.529605424732964,0.646955367755572,0.53933753670075
"VEZF1",0.363820587838936,-0.699360193602708,0.560188757960029
"YY1",0.31751035588475,-0.568625108812833,0.521670641761321
"ZBTB33",0.479067195806512,-0.610865918369222,-0.538233168819515
"ZBTB7A",-0.369111566474767,-0.62529513839662,-0.538146897458301
"ZBTB7B",-0.363802955441673,-0.747068397622887,-0.611938980329185
"ZEB1",-0.354896075909989,0.339457381663208,-0.594263426767736
"ZFP42",0.342419895389506,-0.532433900038515,-0.54379216158563
"ZKSCAN1",0.374059972820919,0.461807661058542,-0.538070071866563
"ZNF143",0.54046194361915,-0.409883070749767,0.548368794326241
"ZNF250",0.444180238364822,0.629615040975183,0.542786187136436
"ZNF263",-0.324972638297819,-0.309562857979352,-0.534844184161019
"ZNF384",0.414881491398539,0.571443663471755,0.542555552931731
