"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.422423119599291,0.905265434351177,-0.692072795396762
"AR",0.425254378816942,0.864604192434171,0.692456765925961
"ARNT",0.424680066448949,0.817530286406782,0.692530915216347
"ASCL2",0.415817267910422,0.875277127802332,-0.665931628371943
"ATF3",-0.518585176443621,0.898454658126883,0.59267795436119
"BACH2",0.439802366015821,0.829423620395524,0.692713533426217
"BATF",0.339113820902703,0.886309105354122,-0.692409537078581
"BCL11A",-0.441919513144322,-0.928940835000464,0.694695885580246
"BCL6",-0.449490108854864,0.836943052906032,0.692239828086995
"BHLHE40",0.422620854340026,-0.559065725177648,-0.692854590250392
"CDX2",0.423331188058333,0.71876152144857,-0.692573421178989
"CEBPA",0.423278290866544,0.89591972570081,0.694450138144379
"CEBPB",-0.422240498341925,0.926084511646165,-0.692374745161011
"CEBPD",0.427418125852495,0.872184059554882,0.668136743256114
"CTCF",-0.424750596038,0.567292564413054,0.723746034744689
"CUX1",0.422620854340026,0.871187463942405,-0.692456765925961
"DUX4",-0.425008784712208,0.872225506470219,0.692857109122252
"E2F1",0.427328704409233,0.865556005836072,0.691994710369093
"E2F2",0.427343817892601,-0.843163998608985,-0.718816445084658
"E2F3",-0.428891690480898,-0.835611236634086,-0.692425437457199
"E2F4",-0.383940412572907,0.844503382712802,-0.695677458458293
"E2F6",0.431528993328656,-0.840962553428376,-0.692102234711628
"E2F8",-0.382255259177348,0.509364024588586,-0.615586149353358
"EBF1",-0.423293404349912,-0.436473406695172,0.688712305476185
"EGR1",-0.426926937643027,-0.848744431395767,-0.693036578742296
"EGR2",0.417468415968403,0.871703405930215,0.692025566549382
"ELF1",-0.406721469836636,-0.884185785941278,0.493406380617281
"ELK1",-0.438476157850258,0.896130962631784,-0.692422918585339
"ELK4",-0.439802366015821,0.769907019672812,-0.69196700277863
"ESR1",0.423197685621914,0.925217649623271,0.717439881613022
"ESR2",0.389903941218625,0.880974991167105,0.692607268519612
"ESRRA",-0.427725433347649,0.301322996999719,0.688420431199377
"ETS2",0.402528737658896,0.870189097335133,-0.69290166166828
"ETV1",-0.422838740391918,-0.753716331580359,0.69307688069206
"ETV5",0.412479706999936,-0.715013720652996,0.692221408836517
"FOS",0.499251252844798,-0.902092539805152,-0.692322163710928
"FOSL1",0.40688142086895,-0.925386603466298,0.696716493100653
"FOSL2",-0.485363221086332,-0.929139825291035,0.692205036169426
"FOXA2",-0.322567075528374,0.83679829639508,0.693005092844042
"FOXG1",0.517075087563744,0.797497497917883,0.692648515046324
"FOXH1",-0.468248460628746,0.927203075717196,-0.724367094087735
"FOXK1",0.42556924305378,-0.860041865565354,0.595097488212467
"FOXM1",0.470786266377663,0.91593761340591,0.692193228957581
"FOXO3",0.425313573293467,0.861202430868396,-0.692720617753324
"FOXP1",-0.427706541493439,0.905549982011015,0.699736148172637
"FOXP2",0.304367922639116,-0.921792752382777,-0.703139458914838
"GATA1",-0.427518882408283,0.826326150497879,-0.691598302910084
"GATA2",-0.506059877102191,0.312766822444684,0.691686148566211
"GATA6",-0.504297896832844,0.649619897540858,-0.453828763942349
"GFI1B",0.42838664824501,0.852620354504491,0.695924622759581
"GLI2",-0.422040244687296,-0.924221899578601,0.692384348359978
"GLIS1",-0.427147342608814,0.870842321954001,0.691041789658457
"GMEB1",-0.492948930280242,0.915026655021883,0.692790044158972
"GMEB2",-0.464885710579312,0.899568712502943,0.668294015317889
"GRHL2",-0.42980479676773,0.853885760820398,0.692952668823451
"HES1",-0.536470724552987,-0.899724851296097,-0.692761706850544
"HIF1A",-0.427619638964071,-0.908830230785331,-0.696016719011972
"HINFP",-0.468660303050531,0.927640826170857,-0.69254492644107
"HNF4A",-0.495902356821786,-0.896419390508336,-0.603569871143961
"HNF4G",0.408057753657778,-0.917802339392992,-0.692242661817838
"HOXA1",-0.425695188748515,0.928106550826132,0.683107658157603
"HOXA4",0.417473453796192,-0.861988940461635,-0.688736392188349
"HOXA6",0.313132483535749,-0.71572526126495,-0.671287379664833
"HOXB13",0.496270118250413,0.916013493721387,-0.682982816571028
"HSF2",0.423435722984963,0.901762909288407,-0.69255358506309
"IRF1",-0.422391633175607,0.89156880017893,-0.692244393542242
"IRF2",-0.424270742941059,-0.800040529004507,-0.693072157807322
"IRF4",0.422225384858557,-0.911491387694587,0.583222739115719
"JUN",0.424396688635794,0.891301647727921,0.692326571736683
"JUNB",-0.427085629218394,-0.893859814478289,-0.692048078966633
"KLF10",0.425806020959882,0.839596397708271,-0.692408435072142
"KLF3",-0.426658673313241,-0.806319978604504,0.692166465944065
"KLF9",-0.424855130964631,-0.77367192912368,-0.694687541817209
"KMT2A",0.425770756165357,0.867159301047638,0.692244865830716
"MAFF",0.422853853875286,0.859625024124519,-0.69494619847136
"MAFK",0.423449577011384,0.895005831317453,-0.710637668154375
"MAX",0.506637967841026,0.929276680440591,0.717568973795861
"MECOM",-0.42507931430126,-0.747370847832238,0.708287088420274
"MEF2A",-0.393650825637002,-0.656208045156778,-0.723915428877292
"MITF",-0.421658629232248,-0.875347864246982,0.610618461756441
"MNT",-0.423284588151281,-0.864222855446031,0.692432206925323
"MXI1",-0.423445798640542,0.78583750306307,0.71648255287663
"MYBL2",-0.483887137544034,-0.907146564353714,0.687388166025141
"MYC",-0.45485539545059,0.915771088221528,0.692138915783094
"MYOD1",-0.42333244751528,-0.38335673958975,-0.699207972229438
"MZF1",0.42333244751528,-0.805558037453656,-0.691897418943491
"NANOG",0.426399225182086,0.873253063957227,0.694230209145079
"NFATC1",0.543430483644062,0.926433726452839,-0.692065553640163
"NFIC",0.425881588376724,-0.873382957265172,0.691125227288828
"NFYA",0.400631995496182,0.912958457234854,-0.692272415991688
"NKX2-1",-0.495739886875577,-0.809110728175374,0.692487149817775
"NR2C2",-0.515722430802287,0.928682142925124,-0.693057674294125
"NR2F2",0.343316628736022,-0.891736152140723,0.692379940334223
"NR5A2",0.393343518141848,-0.847386806515314,-0.692137656347164
"NRF1",-0.431525214957814,-0.453780544939139,-0.723934320416244
"ONECUT1",0.414776956471908,0.867188924106475,-0.712772097196968
"OTX2",-0.463277384057542,0.929283839581356,0.710140978109429
"PAX5",-0.542201253663445,0.839030407501487,-0.691269904991302
