"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.384858556687527,0.375325771439226,-0.529873662833259
"AR",0.419979773121425,0.330747239357341,0.520064073802946
"ARNT",0.416518785430098,0.457340615588772,0.532213379932463
"ASCL2",0.368892420965928,0.34158014206178,-0.457398949945293
"ATF3",-0.637219723599578,0.367074575153381,0.354754606780488
"BACH2",0.463729529101642,0.304395842083786,0.531959131304067
"BCL11A",-0.466878171470025,-0.420268964033059,0.542915751607749
"BCL6",-0.476774984162329,0.30981060934679,0.537595421950394
"CEBPA",0.39897203123957,0.363820571864272,0.542240064231232
"CEBPB",-0.385232615400891,0.409114919373137,-0.524625593312395
"CEBPD",0.43848497404889,0.337969224601356,0.460192221408836
"CTCF",-0.418405451937234,0.384045045877409,0.608717815508379
"CUX1",0.391381284217871,0.336950165070808,-0.51572311301076
"DUX4",-0.415974700028841,0.338015674459551,0.517436890452688
"E2F1",0.428385388788062,0.331654820167739,0.533759337536701
"E2F2",0.432827493441378,-0.461360557685416,-0.58955313638904
"E2F3",-0.441471146471065,-0.308939735574411,-0.524518856117316
"E2F4",-0.319488962749042,0.315342407891876,-0.544196597948694
"E2F6",0.448942245082765,-0.312820516000426,-0.535224218952936
"E2F8",-0.315141317366778,0.363866833818511,-0.38437512299179
"EBF1",-0.396898965104226,-0.336987191545555,0.501218661691895
"EGR1",-0.424191397153375,-0.318288497664081,-0.51877818971828
"EGR2",0.371204783921269,0.337449294352056,0.534714777119198
"ELK1",-0.461592230661983,0.364091886387931,-0.523451799025511
"ELK4",-0.463729529101642,0.447064026037325,-0.533657165796869
"ESR1",0.399872542956928,0.406849206341601,0.634819310301399
"ESR2",0.518672078972988,0.347556131468657,0.528276383214868
"ETS2",0.344838052728424,0.335899312190718,-0.538908226478066
"ETV5",0.362775238572632,-0.432082809950349,0.53744948481199
"FOS",0.62197147833797,-0.371588544938838,-0.52312103966436
"FOSL1",0.352955252754117,-0.407275245681136,0.546207287411151
"FOSL2",-0.526115469531847,-0.421456808293074,0.521831534701396
"FOXA2",-0.453459917152922,0.309728363784767,0.519519210333672
"FOXH1",-0.499445209214691,0.412255494438541,-0.614117489629332
"FOXK1",0.420414285768262,-0.326741042435159,0.357506316858337
"FOXM1",0.504042227072531,0.451946494273054,0.537705150305807
"FOXO3",0.42009186478974,0.327651709568053,-0.539653655119213
"FOXP1",-0.437050452585854,0.45762231180606,0.551584763973835
"GATA1",-0.42679217574966,0.459051575070158,-0.511419305578514
"GATA4",0.427112077814288,0.334159941631018,0.398417046465314
"GFI1B",0.440249473232132,0.321091564339339,0.544555537188782
"GLI2",-0.404653441529081,-0.443246198134538,0.520334222809959
"GLIS1",-0.43779479164174,0.336584198626358,0.505583551766752
"GMEB1",-0.537448063144134,0.388670179643887,0.538718838800072
"GMEB2",-0.496074902423573,0.368483075030219,0.461065797655875
"GRHL2",-0.557387785534633,0.322075053650808,0.518560307302367
"HES1",-0.616344224697195,-0.368695585010503,-0.528137845262553
"HIF1A",-0.441522784205906,-0.379658512555658,-0.544749962610496
"HINFP",-0.500126575423209,0.436560979334379,-0.526409269448446
"HNF4A",-0.541706287083135,-0.364450336674097,-0.606626522146394
"HNF4G",0.536072736157624,-0.392984858492442,-0.528734345604962
"HOXA1",-0.422018833919191,0.434607482820364,0.638274100487244
"HOXA4",0.372004539082838,-0.328419781085501,-0.500823356239324
"HOXB13",0.542555161065652,0.451831144731388,-0.638204201793122
"HOXC6",0.625220877262142,0.425111183241177,0.304701631756677
"HSF2",0.399147095755252,0.459111464758885,-0.519784321596965
"IRF1",-0.411284482356897,0.358549753125205,-0.520519202462197
"IRF3",-0.315603538066456,-0.336950695899487,-0.519785423603404
"IRF4",0.407808381182202,-0.383233582638667,0.343727930353193
"JUN",0.414507432685175,0.358227728021123,0.535542226525295
"JUNB",-0.43137030175329,-0.361224241820217,-0.534792547287883
"KLF10",0.421476007974881,0.311852848202145,-0.532813028864697
