"","ND251_34","ND251_MPP"
"AR",-0.414124887032215,-0.42723761816731
"ARNT",-0.437322876654613,0.386489350989321
"ARNTL",-0.439327178111759,-0.429381509618852
"ASCL1",-0.440043587919586,-0.422222870257935
"ASCL2",0.42966069386199,0.418284982951928
"ATF1",0.438238459158415,0.430339058838075
"ATF2",0.435171230235284,0.424804557161883
"ATF3",-0.346565783911454,-0.430258039811382
"BACH2",-0.437632282718269,-0.424779611427593
"BATF",0.374539787927889,0.38849824713621
"BHLHE40",-0.434838541464772,-0.412072271855205
"CDX2",-0.435284553686266,-0.429951984922466
"CEBPD",0.429399535930678,0.430285366530819
"CLOCK",-0.363620473766065,-0.393659982651574
"DUX4",0.39870130223759,0.428737726185397
"E2F1",-0.408332235231949,-0.424771245213728
"E2F2",-0.337830485556415,-0.419352057487903
"E2F3",0.399054887313993,0.374903346201575
"E2F7",-0.427465755681554,-0.42356104944214
"EBF1",-0.439618166055141,-0.421581992063237
"EGR1",0.422926790450101,0.428165132023442
"EHF",0.347561066088529,0.40230861630468
"ELK3",-0.411467415392831,-0.429955458102634
"ELK4",-0.436508165483935,-0.406624971029527
"EPAS1",-0.32911302401885,-0.399869985104644
"ESR1",-0.438614072551423,-0.426227031957845
"ESR2",0.327071427397896,0.427773733015548
"ESRRA",-0.425472468382711,-0.420219500617855
"ETS2",0.356403905461441,0.422987952870474
"ETV1",-0.440134148776742,-0.391127662962596
"ETV4",-0.435913615099775,-0.430052445020541
"FOXG1",-0.43789123781792,0.413498197987434
"FOXO3",-0.376936285205266,-0.426060887251179
"GATA1",-0.396855329306047,-0.376397403459244
"GATA2",0.381146875544876,0.420113514012971
"GLI2",-0.439126506266459,-0.429739443771288
"GMEB1",-0.322224769416301,-0.400578033293162
"GMEB2",-0.398120978474572,-0.427562633561799
"GRHL2",-0.388244552129598,-0.418355145560107
"GTF2I",0.364963986914813,0.428415244683358
"HEY1",-0.440190015035244,-0.414167342189287
"HIF1A",0.41013457985866,0.335861939559238
"HINFP",-0.439171480746196,0.424042161349097
"HNF4G",0.390267485871206,0.422517959508836
"HOXA4",0.346154496883498,0.424484019766982
"HOXA6",0.421750692507555,0.41835883717928
"HOXB13",-0.391899967700981,-0.315622648367594
"IKZF1",-0.439967498442644,-0.336364480332517
"IRF2",0.440270265416433,0.426825620361311
"IRF3",0.424247632789675,0.430183508423117
"JUND",0.323908497677068,0.392165838018304
"KLF1",-0.336007825926613,-0.401201742182123
"KLF10",0.425868152019738,0.430189209681129
"LHX2",0.339557138439679,-0.427219706168958
"MAF",0.43763852407464,0.426339091167047
"MAFF",-0.413234698282278,-0.424617289403502
"MAFK",-0.438936695605042,-0.390973335806063
"MAX",-0.395012048724311,-0.421044653956575
"MBD2",0.423755269318658,0.41006055784516
"MECOM",-0.42377111746866,-0.419174816079819
"MEF2C",0.303524625501026,0.423718696871538
"MEIS1",-0.435868885379112,-0.424167086615652
"MITF",-0.418920788100964,-0.417031842072095
"MNT",-0.438263577558322,-0.429997158108554
"MXI1",-0.434391947940479,-0.421300708157408
"MZF1",0.435958589579511,0.383772035307607
"NANOG",0.330147559432322,0.429223840345553
"NFAT5",-0.342899445966421,-0.308589786185349
"NFATC1",0.440219753262661,0.429719260007291
"NFE2",-0.401075771198362,-0.426753404426492
"NFYA",0.356035145322487,-0.38589255378569
"NR2C2",-0.310776102568493,0.418086334521423
"NR3C1",0.434870819067576,0.408301555919184
"NR5A2",0.433048985499646,0.426761595889153
"ONECUT1",0.380368327527291,0.421919196354166
"PAX6",0.433953706819566,-0.41653506808853
"POU2F2",0.435880633814635,-0.429180982612911
"PPARG",0.432960046171352,0.429324191224126
"PRDM1",0.434378180242601,0.429144066421185
"PRDM14",0.433422304276342,0.430086565193012
"RARA",0.421562319805693,0.389853246123745
"RARG",-0.41820021738889,-0.403833342398552
"RBPJ",0.438380725369826,0.425890089793722
"RELA",0.382548243619598,0.389800012538399
"RFX5",0.435632417519328,0.427754335631967
"RUNX2",-0.410686664543586,-0.410848008611739
"RXRA",0.336233004274136,0.4301775231944
"RXRG",0.429436586335413,0.427995951014616
"SIX5",0.439434749724516,0.319373682949328
"SP1",0.397319759647814,0.425130708439194
"SP2",-0.319219342159203,-0.418822342902491
"SP4",0.4387629778527,0.418706570230215
"SPDEF",-0.371046770001704,-0.423328914312276
"SPIB",0.43843763185439,0.42729513315714
"SREBF1",0.437664009613157,0.418812251020492
"SRF",0.437619708220873,0.430189974217644
"STAT1",0.436452880528232,0.430032392319947
"STAT2",0.44012790742037,0.429352085884974
"STAT3",0.421562319805693,0.427460316732187
"STAT4",0.354462751845231,0.400578033293162
"STAT5A",0.384931095578632,0.425463522106136
"STAT5B",0.429589774920474,0.370043515234045
"TBX21",0.435645206180913,0.426234153069385
"TCF12",0.439898201029989,0.419920173650271
"TCF21",-0.439520170641131,-0.424264008001858
"TEAD4",0.413756677601176,0.428708957768532
"TFAP2A",-0.427575407746435,-0.430138138641925
"TFAP4",0.432174828469017,0.424384411581024
"TFDP1",-0.413662781901645,-0.427696340076327
"TP63",-0.439154898318973,-0.429473690878664
"ZBTB33",0.435823819114723,0.427031520966759
"ZFX",0.350004893651724,0.404612951204877
"ZKSCAN1",-0.4347795239332,-0.426708864713516
"ZNF143",-0.352892316440562,-0.386162391487694
"ZNF263",-0.40967210758948,-0.384474535145416
"ZNF281",-0.435896512559521,-0.426821142361723
"ZNF384",0.4364129236095,0.38968917658762
"ZNF76",-0.421451872273824,-0.417457470471961
