"","ND251_34","ND251_MPP"
"AR",-0.49992912695081,-0.617155980958235
"ARNT",-0.505640396359172,0.53821741103034
"ARNTL",-0.49428244334294,-0.616791428103969
"ASCL1",-0.497474866532112,-0.598242548990954
"ASCL2",0.506085093000646,0.602868759443391
"ATF1",0.504770002499296,0.615995392684522
"ATF2",0.506049358175931,0.616487077039287
"ATF3",-0.450691066535521,-0.615153179259566
"BACH1",-0.311366767402362,-0.552980916950146
"BACH2",-0.50522247024135,-0.616479650113141
"BATF",0.413532998402978,0.542360194122374
"BCL11A",-0.411342527075631,-0.349407975688613
"BCL6",0.463955203215351,0.398347530776417
"BHLHE40",-0.506190890110121,-0.584192836205479
"CDX2",-0.506045533815409,-0.61370859843637
"CEBPD",0.506122021025845,0.616115315697879
"CLOCK",-0.465824611828172,-0.552706273590047
"CTCFL",-0.471421272800417,0.376389190152682
"DUX4",0.441753413616553,0.609934627759185
"E2F1",-0.496637851690871,-0.616468247597116
"E2F2",-0.443233135189645,-0.605372813125213
"E2F3",0.442200221305035,0.539145733110788
"E2F7",-0.505734873361502,-0.615463428177365
"E2F8",0.405023306723841,0.605840228906601
"EBF1",-0.495455390012416,-0.597151009286497
"EGR1",0.503875561060459,0.607872869373257
"EHF",0.451638987831894,0.570354201029853
"ELK3",-0.498433312468642,-0.61373454899008
"ELK4",-0.488429336051546,-0.578152691922147
"EPAS1",-0.435144643280937,-0.564322903526195
"ESR1",-0.504456527316046,-0.617240101818789
"ESR2",0.433535903081281,0.617109475294221
"ESRRA",-0.505135274821454,-0.607982329158309
"ETS2",0.459783345999105,0.6141883560215
"ETV1",-0.500775442636841,-0.558664656154071
"ETV4",-0.506093598378447,-0.614392967836823
"ETV5",0.340314208848573,-0.613684941492205
"FOXG1",-0.490975962425566,0.585756138627508
"FOXH1",0.333506357601634,0.617003466845437
"FOXO3",-0.476424943727594,-0.617127343604772
"GATA1",-0.439378791681361,-0.519961414934281
"GATA2",0.47969061106948,0.607647877198834
"GATA3",-0.331731395396259,-0.604439401415965
"GATA4",-0.364275663210658,-0.610968062688499
"GATA6",-0.338466063680253,-0.615949476805819
"GLI2",-0.493700712215249,-0.612651506562891
"GLIS1",-0.337920832249382,-0.340837630574645
"GMEB1",-0.34953293696845,-0.570650557226978
"GMEB2",-0.490612586986227,-0.617176863727046
"GRHL2",-0.484540879247407,-0.602999473343561
"GTF2I",0.46688389850294,0.608559161036947
"HEY1",-0.500578564557179,-0.594141902782847
"HIF1A",0.497693099840928,0.450513866835651
"HINFP",-0.494128734644848,0.615894277269434
"HNF4G",0.431622101291523,0.613520675360976
"HOXA4",0.45023569227947,0.616301338353936
"HOXA6",0.503355233865306,0.602942242324436
"HOXB13",-0.433514241903286,-0.464274868789151
"HOXC6",0.329434331492449,0.519985421380853
"IKZF1",-0.501695002475585,-0.451576310464736
"IRF2",0.49958062062518,0.617265287835984
"IRF3",0.504585576537493,0.615503315139549
"JUND",0.430779915914856,0.549912089222722
"KLF1",-0.441664168339416,-0.567329126634989
"KLF10",0.474009263457841,0.61487868880677
"KLF3",0.324588101839233,0.555081382727635
"LHX2",0.444903279321839,-0.617134988969923
"MAF",0.50526417106848,0.604191014424183
"MAFF",-0.499409717602182,-0.616319053757184
"MAFK",-0.493532195593217,-0.558604345144986
"MAX",-0.437331045488688,-0.609777613802899
"MBD2",0.504362386857441,0.586453548836517
"MECOM",-0.471714463575459,-0.593319392556079
"MEF2C",0.410165847830286,0.615501283656809
"MEIS1",-0.50601974232805,-0.615977546217871
"MITF",-0.501882059597427,-0.599460674098399
"MNT",-0.504789460845631,-0.613276722680981
"MXI1",-0.485077238161868,-0.611011313611349
"MYC",0.316467974820288,-0.480779027758573
"MYOD1",-0.377234830085039,-0.543329779330733
"MZF1",0.505960327062983,0.533128262796102
"NANOG",0.435998883041969,0.616991736670907
"NFAT5",-0.447375254178473,-0.404101257837318
"NFATC1",0.498047541574088,0.616562263744564
"NFE2",-0.492562827283037,-0.617345170979854
"NFYA",0.391946104786316,-0.55244543557502
"NR2C2",-0.335131496659207,0.59206183920836
"NR3C1",0.506216008510028,0.579864838681703
"NR5A2",0.483047298191784,0.61734088957537
"NRF1",-0.407938785021467,-0.377854063959377
"ONECUT1",0.420125737019287,0.597723428697249
"PAX6",0.484311692970057,-0.598797668032566
"PGR",0.505595666638509,0.337057063039531
"POU2F2",0.487366072041835,-0.616952788996441
"PPARG",0.506349371610144,0.611348321307174
"PRDM1",0.506338479831378,0.610742349665362
"PRDM14",0.50622723683252,0.616309944850705
"RARA",0.50345625817285,0.544949133201265
"RARG",-0.501556744194001,-0.572913912969969
"RBPJ",0.504658300577176,0.617145714325033
"RELA",0.480697458112774,0.5447982792249
"RFX5",0.486972040528554,0.617108492318702
"RUNX2",-0.497819211953495,-0.588262922796884
"RXRA",0.367753689643598,0.615869222315641
"RXRG",0.506109293554028,0.617165745181727
"SIX5",0.494832325196206,0.421769631167926
"SMAD3",-0.321368388013377,-0.616935095437093
"SP1",0.490074361783832,0.6167522838344
"SP2",-0.425729648979081,-0.604463254955234
"SP4",0.493218903979272,0.592714316514185
"SPDEF",-0.471844308263895,-0.615165957941317
"SPIB",0.492446260774333,0.61712164234676
"SREBF1",0.505114868033709,0.604482215460807
"SRF",0.50536831605421,0.61566666382696
"STAT1",0.505868940143954,0.616395070530678
"STAT2",0.501343742610379,0.616854120098201
"STAT3",0.50345625817285,0.617199144505484
"STAT4",0.3902236128073,0.570650557226978
"STAT5A",0.482245314492922,0.617020789058478
"STAT5B",0.506062024457979,0.533018409820843
"TAL1",-0.315199939250798,-0.348522227370101
"TBX21",0.506055783101607,0.617228546395461
"TCF12",0.502682635931617,0.594456192822225
"TCF21",-0.495052700146914,-0.616076302491712
"TEAD4",0.499759111179453,0.609713873301446
"TFAP2A",-0.475995330364018,-0.61584067233778
"TFAP4",0.481693107428459,0.616153061957821
"TFDP1",-0.499659127097972,-0.617127889702283
"TP63",-0.493728155826354,-0.611688321617357
"VEZF1",-0.405887245063156,-0.605821967405842
"ZBTB33",0.506056670353248,0.617331889888393
"ZFX",0.453635365214039,0.574499823828943
"ZKSCAN1",-0.506285673061293,-0.617285908477989
"ZNF143",-0.456289930339426,-0.53760388139898
"ZNF263",-0.454467301304508,-0.534498224855432
"ZNF281",-0.487374883368477,-0.617269307113663
"ZNF384",0.48813810334909,0.54444571867197
"ZNF76",-0.503382157363379,-0.600408590157532
