"","ND251_34","ND251_MPP"
"AR",-0.437515471450491,-0.446764863736657
"ARNT",-0.447553163429947,0.375851764670418
"ARNTL",-0.449072138239435,-0.44936358888294
"ASCL1",-0.448782282306767,-0.453050904807122
"ASCL2",0.44423104852676,0.430775893158862
"ATF1",0.447950101457225,0.450981959777952
"ATF2",0.446326094410367,0.44435720718743
"ATF3",-0.374703348178685,-0.452241173262105
"BACH1",-0.428443170446272,-0.460530431065347
"BACH2",-0.447728625090687,-0.444375206561383
"BATF",0.454952230218671,0.379320313931799
"BCL6",0.391441992879775,0.421912424745033
"BHLHE40",-0.446056951214285,-0.452421298065045
"CDX2",-0.446392240549952,-0.453296233652844
"CEBPA",-0.341111419745504,-0.452507909130248
"CEBPD",0.444258767491822,0.450622496552486
"CLOCK",-0.393954873096551,-0.388150033519465
"DUX4",0.455020609784801,0.454662176434494
"E2F1",-0.433152212638851,-0.444364284611169
"E2F2",-0.36498947245333,-0.432999165344565
"E2F3",0.455000019427751,0.462798461403029
"E2F6",-0.341330081382698,-0.453937111847542
"E2F7",-0.4436589241927,-0.442159885555437
"E2F8",0.317388207746484,0.433222410006953
"EBF1",-0.44886372588844,-0.45275627427813
"EGR1",0.441783794336538,0.454931140380481
"EHF",0.375833247846128,0.404078518336971
"ELK3",-0.435713432772622,-0.453249378486423
"ELK4",-0.449663812704483,-0.454371434119779
"EPAS1",-0.355498725218259,-0.398746422242158
"ESR1",-0.447864068642927,-0.445720725296132
"ESR2",0.35315549363423,0.447519701559895
"ESRRA",-0.442825244193833,-0.434978157191766
"ETS2",0.386084155573395,0.440768276190782
"ETV1",-0.448635304483194,-0.45963677525488
"ETV4",-0.446661567315338,-0.452718964896197
"FOXG1",-0.449675438760469,0.452034835778649
"FOXO3",-0.40736558986646,-0.445524457850774
"GATA1",-0.455236762641492,-0.360662127941035
"GATA2",0.410950178280979,0.434710198065198
"GFI1B",0.341111419745504,-0.43714352119743
"GLI2",-0.449310808930879,-0.453811837078579
"GMEB1",-0.442660307173249,-0.456568537312768
"GMEB2",-0.425861329360567,-0.447256329652418
"GRHL2",-0.417489222875562,-0.430896799147738
"GTF2I",0.395402959559407,0.454933849024135
"HEY1",-0.448563681859342,-0.423073275145551
"HIF1A",0.434470362628618,0.301592966438813
"HINFP",-0.449149176157786,0.443091462377049
"HNF4A",0.425680483000213,0.332833544891509
"HNF4G",0.455271946758293,0.439910903098929
"HOXA4",0.374232615290779,0.443807418057522
"HOXA6",0.441299538509827,0.430843106840483
"HOXB13",-0.455300920113606,-0.452917176448693
"IKZF1",-0.448426310829399,-0.302425437484177
"IRF2",0.448687346381174,0.446190609438269
"IRF3",0.442365403084693,0.45176932316893
"JUND",0.349810310188375,0.385836043615279
"KLF1",-0.363225371431837,-0.401296544709986
"KLF10",0.449953821611571,0.452449083506392
"LHX2",0.367221430443617,-0.446732338168918
"MAF",0.447791497577665,0.454546687732924
"MAFF",-0.436864901833408,-0.444121642565199
"MAFK",-0.449227468466388,-0.45962100395877
"MAX",-0.455207055008959,-0.436612168319485
"MBD2",0.442094546575097,0.41712264716618
"MECOM",-0.450148252100499,-0.451567835031369
"MEF2C",0.324365799410822,0.442286274363321
"MEIS1",-0.446618428528653,-0.44318713866093
"MITF",-0.439606387024734,-0.427770696713389
"MNT",-0.447940922991973,-0.453477821997114
"MXI1",-0.449395281406085,-0.437637673912944
"MYC",0.430696911994091,-0.327097489546055
"MZF1",0.446605762246604,0.371715491060711
"NANOG",0.356621129139079,0.449090081405664
"NFATC1",0.44887039557319,0.449662653723719
"NFE2",-0.428207345079056,-0.446106357514313
"NFYA",0.452464835540413,-0.460938977535078
"NR2C2",-0.438403579748304,0.45138781944793
"NR3C1",0.446107096229447,0.454122479186586
"NR5A2",0.449306311482906,0.446139451023463
"NRF1",-0.454603662703273,-0.410724110008504
"ONECUT1",0.455474729650601,0.452809573395178
"PAX6",0.449377995296526,-0.427082526474261
"POU2F1",0.322460900732359,0.452565970217589
"POU2F2",0.449473940853297,-0.449080513777276
"PPARG",0.445334728378465,0.454386593786677
"PRDM1",0.445993405639855,0.454735790378941
"PRDM14",0.445436670532534,0.450090357294126
"RARA",0.441201696070237,0.38173777839232
"RARG",-0.439384390545165,-0.405893222209043
"RBPJ",0.447985163194489,0.44525512255848
"RELA",0.412110030340029,0.381553699843401
"RFX5",0.449401889901066,0.447469307681604
"RUNX2",-0.434958626385157,-0.418483369255628
"RXRA",0.447926115068032,0.45124943833871
"RXRG",0.444232272322127,0.44767208460929
"SP1",0.425179185823016,0.444716801476298
"SP2",-0.344021085015137,-0.432244742555435
"SP4",0.449081071945614,0.45141580148438
"SPDEF",-0.40173634534257,-0.441576063628661
"SPIB",0.449142628852573,0.446843283339198
"SREBF1",0.447703414906127,0.43227960542052
"SRF",0.447812546857977,0.451632121630333
"STAT1",0.447052692314623,0.449923994148456
"STAT2",0.448383875725049,0.449383641583534
"STAT3",0.441201696070237,0.447166158031445
"STAT4",0.452373815759994,0.456568537312768
"STAT5A",0.414356123166804,0.444928141212952
"STAT5B",0.444258186189023,0.463027691294135
"TBX21",0.446529397415705,0.445731363275641
"TCF12",0.448340278015101,0.451734198177039
"TCF21",-0.449122497418786,-0.443483625921458
"TCF4",0.398373600433199,-0.331963371274004
"TEAD4",0.437273282347367,0.454687340607789
"TFAP2A",-0.449729836464531,-0.451462001333789
"TFAP4",0.449134704777572,0.443588673238623
"TFDP1",-0.437181497694844,-0.447432347802078
"THAP1",0.348265972219906,-0.451312785649955
"TP63",-0.449296949448348,-0.454167674216574
"TP73",0.38418730334947,0.380714675627908
"VEZF1",-0.3187457027573,-0.433196852643451
"ZBTB33",0.446553261425361,0.446494043059133
"ZFX",0.378784063234975,0.407527757590373
"ZKSCAN1",-0.446074696247106,-0.446057033987143
"ZNF143",-0.38181629161061,-0.375264600626876
"ZNF263",-0.453786075613482,-0.372550627061928
"ZNF281",-0.449455614517676,-0.446205070100353
"ZNF384",0.449702148094353,0.381245919286351
"ZNF76",-0.441174650192627,-0.428445782456159
